#Observed stellar mass range: 11 < log10(M*/Msun) < 11.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.00839522 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 9461
#Bestfit SF galaxies in bin: 3666
#Bestfit Q galaxies in bin: 5795
#Bestfit central galaxies in bin: 7633
#Bestfit satellite galaxies in bin: 1828
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 1.17184e-09 0.000588904 1.15573e-09 7.69477e-10 6.11808e-05 7.69477e-10 1.42638e-09 0.000824082 1.41273e-09 1.44986e-09 0.000561062 1.43016e-09 1.09308e-11 0.000607086 1.08672e-11 0.000000 0.057873
0.059561 0.000663953 0.00838539 0.000650981 0.000247066 0.00203061 0.000246329 0.000927681 0.012533 0.000907121 0.000709467 0.00848263 0.000696801 0.000473905 0.00859164 0.000465047 0.057873 0.061248
0.062373 0.00445134 0.0200904 0.00423835 0.00198566 0.00591655 0.00192843 0.00601117 0.0292389 0.00571245 0.00467593 0.0205904 0.00444427 0.00351356 0.0178824 0.00336927 0.061248 0.063498
0.064623 0.0129225 0.0334899 0.0118301 0.00600121 0.0136547 0.00551615 0.017301 0.0431739 0.0158195 0.0129693 0.0366819 0.0117199 0.012727 0.0253808 0.0116718 0.063498 0.065748
0.066873 0.0293318 0.0423704 0.0253891 0.0146694 0.0165406 0.0128921 0.0386075 0.0509948 0.0332589 0.0290657 0.0430399 0.0252008 0.030443 0.0382273 0.0269185 0.065748 0.067998
0.069123 0.0614626 0.0501949 0.0509943 0.0309292 0.0128536 0.026418 0.0807784 0.0653871 0.0663548 0.0625894 0.0520083 0.0518536 0.0567576 0.0438426 0.0466959 0.067998 0.070248
0.071373 0.103613 0.0534744 0.0815675 0.0499513 0.0150248 0.0394014 0.13756 0.071408 0.10793 0.105013 0.055704 0.0822978 0.0977657 0.0417022 0.0759058 0.070248 0.072498
0.073623 0.151395 0.0834278 0.106184 0.0642425 0.0419688 0.0443002 0.206529 0.109239 0.145715 0.153256 0.0882438 0.107462 0.143624 0.0667896 0.101327 0.072498 0.074748
0.075873 0.20884 0.0928658 0.127738 0.0897027 0.0525449 0.0516508 0.284207 0.110542 0.179038 0.211092 0.0925499 0.128066 0.199435 0.0988238 0.130958 0.074748 0.076998
0.078123 0.285468 0.126237 0.162704 0.131979 0.0649457 0.0718826 0.382567 0.145089 0.217625 0.289023 0.132762 0.162977 0.270623 0.0951195 0.15838 0.076998 0.079248
0.080373 0.364529 0.146545 0.19253 0.168128 0.0629507 0.0900584 0.488776 0.193164 0.257763 0.360442 0.152581 0.186215 0.381596 0.110911 0.212879 0.079248 0.081498
0.082904 0.415548 0.156514 0.20334 0.197246 0.0755221 0.103108 0.553648 0.193767 0.274375 0.416909 0.156681 0.203717 0.409865 0.138725 0.20719 0.081498 0.084311
0.085998 0.588565 0.215847 0.246486 0.286258 0.10447 0.128874 0.779809 0.271309 0.339686 0.589634 0.224416 0.24524 0.584103 0.182035 0.271606 0.084311 0.087685
0.089373 0.76447 0.232261 0.293872 0.384808 0.128321 0.15292 1.00465 0.294153 0.368698 0.77611 0.257219 0.291749 0.715866 0.193613 0.301253 0.087685 0.091061
0.092748 0.955685 0.269335 0.325095 0.466526 0.150232 0.16112 1.26513 0.334454 0.454427 0.976552 0.287367 0.321532 0.868551 0.201822 0.3488 0.091061 0.094435
0.096123 1.20862 0.324677 0.381141 0.576532 0.168917 0.188981 1.60849 0.39257 0.540004 1.23101 0.34567 0.358775 1.11513 0.201411 0.42738 0.094435 0.097811
0.099498 1.48744 0.356334 0.409522 0.710053 0.182422 0.215605 1.97922 0.435991 0.58294 1.5236 0.384733 0.411508 1.33642 0.239917 0.463661 0.097811 0.101186
0.102873 1.83034 0.37745 0.474014 0.896863 0.218103 0.249047 2.42087 0.452367 0.662852 1.88153 0.397596 0.468595 1.61659 0.269712 0.509095 0.101186 0.104560
0.106248 2.22232 0.351957 0.577303 1.10533 0.245223 0.274902 2.92894 0.406344 0.79297 2.26575 0.393899 0.560013 2.04095 0.211646 0.626586 0.104560 0.107936
0.109623 2.70195 0.350204 0.66048 1.31116 0.258544 0.330401 3.58179 0.389199 0.902265 2.69862 0.393618 0.644505 2.71587 0.0902915 0.822838 0.107936 0.111310
0.112998 3.05436 0.36536 0.690625 1.5143 0.267859 0.37283 4.02862 0.430864 0.971542 3.0922 0.399264 0.668318 2.89633 0.264017 0.767661 0.111310 0.114686
0.116373 3.48661 0.341491 0.773694 1.74716 0.303843 0.396266 4.58701 0.421982 1.06291 3.52682 0.373698 0.769281 3.31872 0.293723 0.861902 0.114686 0.118060
0.119748 3.94709 0.342435 0.859673 1.889 0.381148 0.404528 5.24907 0.478544 1.25239 4.0268 0.377631 0.846499 3.61425 0.361053 0.862283 0.118060 0.121435
0.123123 4.39301 0.428767 0.909487 2.14034 0.35497 0.509902 5.81808 0.529832 1.30352 4.4974 0.462962 0.89964 3.95714 0.411767 0.905393 0.121435 0.124811
0.126498 5.00395 0.379525 1.10932 2.5039 0.365078 0.620968 6.58551 0.476588 1.56834 5.13082 0.385574 1.10253 4.47419 0.332712 1.10613 0.124811 0.128185
0.129873 5.53273 0.371191 1.23444 2.70237 0.336138 0.657285 7.32327 0.474782 1.73998 5.62479 0.44275 1.20523 5.14833 0.214016 1.39766 0.128185 0.131561
0.133248 6.08359 0.427915 1.34293 2.76667 0.433855 0.591348 8.18192 0.445826 1.9757 6.17721 0.485198 1.31782 5.69267 0.220489 1.55831 0.131561 0.134935
0.137045 6.78067 0.340477 1.51724 2.9963 0.449165 0.65502 9.17473 0.342976 2.3079 6.9123 0.441327 1.47294 6.23105 0.178907 1.71888 0.134935 0.139154
0.141685 7.80602 0.346282 1.84222 3.37927 0.435283 0.736681 10.6064 0.413628 2.76652 7.90919 0.456225 1.73022 7.37524 -0.0108929 2.21278 0.139154 0.144217
0.146748 8.80691 0.419411 2.0197 3.76638 0.411838 0.806539 11.9956 0.489314 3.03573 8.95503 0.471388 1.95125 8.18846 0.100394 2.39806 0.144217 0.149279
0.151810 9.90367 0.371562 2.33908 4.36355 0.358755 1.02258 13.4084 0.476678 3.3912 9.99158 0.519059 2.2048 9.53661 0.0297051 2.94486 0.149279 0.154342
0.156873 11.2034 0.280137 2.73759 5.03681 0.404447 1.16843 15.1046 0.480462 3.9853 11.2551 0.491807 2.5688 10.9879 -0.192953 3.45177 0.154342 0.159404
0.161935 12.4562 0.267178 3.1119 5.59912 0.519807 1.19976 16.794 0.411465 4.59618 12.5471 0.444748 2.94675 12.0765 -0.0467259 3.74994 0.159404 0.164467
0.166998 13.5466 0.459293 3.2109 5.97553 0.642167 1.24649 18.3362 0.59598 4.87151 13.6874 0.545006 3.2167 12.9588 0.529588 3.80047 0.164467 0.169529
0.172060 14.9914 0.517251 3.72816 6.36793 0.684995 1.32476 20.4468 0.63473 5.45428 15.1822 0.493985 3.58572 14.1947 0.581172 4.11575 0.169529 0.174591
0.177123 16.6274 0.448893 4.21264 6.93656 0.637659 1.34165 22.758 0.808353 6.21949 16.8034 0.610576 4.08995 15.8929 0.458294 4.61173 0.174591 0.179654
0.182185 18.05 0.765019 4.2742 7.51777 0.643139 1.54642 24.7129 1.28265 6.45683 18.2979 0.943519 4.27982 17.0149 0.925823 4.72109 0.179654 0.184716
0.187248 19.5845 1.18969 4.65512 8.2426 0.720215 1.76772 26.7595 2.00314 6.96948 19.8188 1.21748 4.5952 18.606 1.64049 4.96731 0.184716 0.189779
0.192310 20.9426 1.56296 4.95159 8.79912 0.829138 1.8639 28.6247 2.52795 7.40107 21.0776 1.72289 4.92693 20.379 2.43751 5.06051 0.189779 0.194842
0.197373 22.4575 1.97523 5.30184 9.40112 0.879992 1.89218 30.7171 2.93476 8.08921 22.6407 1.99375 5.40111 21.6923 2.77736 5.12851 0.194842 0.199904
0.202435 24.0459 2.53399 5.53333 10.1173 0.988914 2.08163 32.8573 3.57368 8.55123 24.2025 2.36459 5.6066 23.3918 3.24279 5.52302 0.199904 0.204967
0.207498 25.5913 2.57653 5.84711 11.2652 0.959349 2.43886 34.6542 3.7811 8.6497 25.8247 2.7094 5.83275 24.617 3.09628 5.91224 0.204967 0.210029
0.212560 27.6612 3.02349 6.13238 12.1674 0.924536 2.70995 37.4628 4.21599 8.8137 27.7836 3.20856 5.91939 27.1501 3.63804 6.40306 0.210029 0.215091
0.217623 29.4563 3.78218 6.31413 13.3005 1.37539 2.78818 39.6766 4.95491 8.76995 29.3213 3.66845 5.94305 30.0199 4.04664 7.08422 0.215091 0.220154
0.222685 31.2536 4.19943 6.17242 14.1333 1.36611 2.91618 42.0842 5.79216 8.82749 30.6901 4.10056 5.93206 33.6066 4.15079 7.99575 0.220154 0.225217
0.227748 32.9085 4.43901 6.21162 15.1129 1.65138 3.0744 44.1662 6.26897 9.04669 32.1935 4.50794 5.82932 35.8938 4.25424 8.13604 0.225217 0.230279
0.232810 34.0952 5.01814 5.86846 16.2905 1.86456 2.99067 45.3587 7.22379 8.70797 33.2338 5.32101 5.29979 37.6923 4.21825 8.62633 0.230279 0.235342
0.237873 35.2477 5.59218 5.49558 17.2419 2.36176 3.0397 46.6385 8.09211 8.43137 34.7541 5.67812 5.68012 37.3092 5.61145 7.13126 0.235342 0.240404
0.242935 36.7615 6.41475 5.43617 18.0892 2.76157 2.98152 48.5738 8.93977 8.29747 36.1672 6.24654 5.42957 39.2427 6.40538 6.7733 0.240404 0.245467
0.247998 38.0496 6.56802 5.59427 18.6061 3.04611 2.91837 50.3498 9.42422 8.28522 37.4622 6.45463 5.38179 40.5022 6.66988 6.23651 0.245467 0.250529
0.253060 38.5725 7.12373 5.218 19.299 3.25334 2.71808 50.7652 10.3304 7.91661 38.115 6.95572 5.03136 40.4828 7.92613 5.71984 0.250529 0.255592
0.258123 39.9482 7.03868 5.54579 20.3256 3.5242 2.77226 52.3618 10.5215 8.0312 39.4194 7.2892 5.21884 42.1563 8.15506 5.87557 0.255592 0.260654
0.263185 41.5022 7.15489 5.73057 21.8707 3.89278 2.84313 53.9213 10.3034 8.19944 40.9849 7.44771 5.5251 43.6622 8.04921 6.02812 0.260654 0.265716
0.268248 43.0827 7.55494 5.91136 23.1448 4.15323 3.19333 55.6958 10.258 8.76641 42.3177 7.35993 5.87025 46.2773 7.99191 6.24721 0.265716 0.270779
0.273310 44.7601 7.34248 6.05111 24.4011 4.62538 3.29037 57.6394 9.56533 9.12854 44.154 7.22569 6.18734 47.291 8.01911 6.09656 0.270779 0.275842
0.278373 45.8409 7.50911 6.20549 26.51 4.59015 3.53977 58.0699 9.72444 8.98585 44.9813 7.39911 6.27049 49.4304 8.49397 6.38008 0.275842 0.280904
0.283435 46.7123 7.37126 6.33906 28.2347 4.29879 3.96032 58.4015 9.54226 8.90222 45.6259 6.92346 6.26751 51.2487 8.0803 6.58754 0.280904 0.285967
0.288498 48.1418 7.34542 6.91324 30.2521 4.06967 4.522 59.459 9.40406 9.39926 46.9527 7.01843 6.86756 53.1067 7.91536 7.2001 0.285967 0.291029
0.293560 49.3008 6.94053 7.08176 31.7281 4.40419 4.69862 60.4175 9.22997 9.85609 48.0734 6.72473 6.89806 54.426 7.88266 7.96657 0.291029 0.296091
0.298623 50.4483 7.04884 7.58402 33.678 4.51452 4.92568 61.0575 8.91445 9.93056 49.3204 6.26145 7.33483 55.158 8.27122 8.13917 0.296091 0.301154
0.303685 50.7837 6.50701 7.8672 34.7701 4.90598 4.84629 60.9142 8.7742 10.2779 49.7993 6.05902 7.71283 54.8941 7.13336 8.306 0.301154 0.306217
0.308748 51.1106 6.11561 7.98708 36.6913 5.26554 5.1196 60.2325 7.97785 10.5135 50.5506 5.70563 8.00436 53.4489 7.05001 7.81306 0.306217 0.311279
0.313810 51.7427 6.12154 8.24939 37.8366 5.27024 5.23456 60.5399 7.30877 11.0371 51.0387 5.89816 7.96038 54.6822 5.91245 8.85109 0.311279 0.316341
0.318873 52.0103 6.17664 8.2666 39.6455 5.04688 5.68026 59.8324 6.86846 11.2093 51.5757 5.95509 8.29617 53.8247 5.86028 8.74038 0.316341 0.321404
0.323935 51.6408 6.29311 7.80246 41.045 4.83996 5.82213 58.3439 7.82341 10.2193 51.2934 6.1936 7.7951 53.0913 6.57596 8.17963 0.321404 0.326466
0.328997 51.8269 5.81171 7.89605 42.0215 4.86994 5.67107 58.0299 7.23614 10.5758 51.4958 5.73847 7.99999 53.2094 6.43345 7.95944 0.326466 0.331528
0.334060 51.1124 5.30311 7.95947 42.908 4.61954 5.90214 56.3026 6.32398 10.6687 51.0328 5.36833 8.00815 51.4446 5.50852 7.89129 0.331528 0.336591
0.339122 51.0737 4.93578 8.12293 43.7723 3.8117 6.052 55.6927 5.51268 11.13 51.1979 4.71643 8.2092 50.5554 5.53636 7.99038 0.336591 0.341653
0.344185 51.4024 4.56886 8.25796 46.5713 2.90131 6.9973 54.4586 5.55457 10.9042 51.5753 4.74547 8.32061 50.6803 4.85037 8.4986 0.341653 0.346716
0.349247 51.2446 4.24006 8.72683 47.8704 2.88327 7.31397 53.3792 5.63116 11.2986 51.39 4.4767 8.62526 50.6375 4.28552 8.833 0.346716 0.351779
0.354310 49.8273 4.17779 8.53161 47.7483 2.89239 7.68829 51.1425 5.93407 10.4959 50.0652 4.25312 8.69195 48.834 4.20538 8.54832 0.351779 0.356841
0.359372 49.0742 3.81531 8.91331 48.3581 2.63526 7.8051 49.5272 5.95102 10.4685 49.5288 3.81352 9.00637 47.1759 4.47008 8.15923 0.356841 0.361903
0.364435 48.3649 3.8051 9.10659 49.0936 2.03693 7.95739 47.9039 5.61415 10.2129 48.7705 3.68699 9.11153 46.6715 4.31825 8.48528 0.361903 0.366966
0.369497 46.9489 3.79674 8.88283 48.7513 2.31732 7.83895 45.8086 5.46108 9.76401 47.4591 3.66708 9.03294 44.8184 4.63306 7.9655 0.366966 0.372028
0.374560 45.258 4.00808 8.36966 48.669 1.90623 7.8091 43.1003 5.71293 9.1821 45.7892 3.82727 8.54648 43.0404 4.99782 7.42836 0.372028 0.377091
0.379622 44.3065 3.90863 8.16004 49.1928 2.01852 7.73267 41.2154 5.59121 9.09331 44.8777 3.731 8.28805 41.9217 5.06269 7.39357 0.377091 0.382154
0.384685 42.9145 3.87206 7.99896 48.8467 2.04363 7.81838 39.1617 5.43978 8.44648 43.4282 3.87049 8.19869 40.7697 4.36715 7.70973 0.382154 0.387216
0.389747 41.6001 3.75035 7.8861 48.7335 2.23765 7.93944 37.0875 5.84029 7.93223 41.9339 3.88101 8.10687 40.2064 4.11188 8.22321 0.387216 0.392278
