#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 9.76737e+11 0 -24 -23.5
-23.25 6.14594e+11 1.21176e+09 3.45002e+11 -23.5 -23
-22.75 1.51781e+11 3.44283e+10 2.88039e+10 -23 -22.5
-22.25 8.67662e+10 1.05769e+10 1.27053e+10 -22.5 -22
-21.75 5.21788e+10 4.92052e+09 5.72953e+09 -22 -21.5
-21.25 3.19475e+10 3.00248e+09 2.64555e+09 -21.5 -21
-20.75 1.84035e+10 1.92416e+09 1.29418e+09 -21 -20.5
-20.25 9.79906e+09 1.45034e+09 7.05325e+08 -20.5 -20
-19.75 5.11641e+09 9.56912e+08 3.3667e+08 -20 -19.5
-19.25 2.80103e+09 5.18297e+08 1.82957e+08 -19.5 -19
-18.75 1.62486e+09 3.24585e+08 1.03612e+08 -19 -18.5
-18.25 9.83951e+08 2.07098e+08 6.29618e+07 -18.5 -18
-17.75 6.1076e+08 1.34759e+08 3.79848e+07 -18 -17.5
-17.25 0 0 0 -17.5 -17
