#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 9.7416e+11 -2.1176e+09 7.40653e+11 -24 -23.5
-23.25 2.16644e+11 3.49418e+10 5.50182e+10 -23.5 -23
-22.75 1.24706e+11 1.31617e+10 2.86239e+10 -23 -22.5
-22.25 7.04185e+10 6.51239e+09 1.28422e+10 -22.5 -22
-21.75 4.0412e+10 3.5628e+09 5.6575e+09 -22 -21.5
-21.25 2.12675e+10 2.69943e+09 2.93022e+09 -21.5 -21
-20.75 1.01801e+10 1.66507e+09 1.27166e+09 -21 -20.5
-20.25 5.16883e+09 9.67713e+08 5.28145e+08 -20.5 -20
-19.75 2.88265e+09 5.56938e+08 2.70881e+08 -20 -19.5
-19.25 1.69411e+09 3.5179e+08 1.51914e+08 -19.5 -19
-18.75 1.02577e+09 2.32803e+08 9.08031e+07 -19 -18.5
-18.25 6.3355e+08 1.53729e+08 5.88292e+07 -18.5 -18
-17.75 3.96758e+08 1.03607e+08 3.68076e+07 -18 -17.5
-17.25 0 0 0 -17.5 -17
