#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 6.16591e+11 0 -23.5 -23
-22.75 3.89014e+11 1.62529e+07 1.98528e+09 -23 -22.5
-22.25 2.41867e+11 2.40994e+09 7.47378e+10 -22.5 -22
-21.75 9.94209e+10 5.30728e+09 1.35721e+10 -22 -21.5
-21.25 5.72075e+10 2.4571e+09 5.50274e+09 -21.5 -21
-20.75 3.37484e+10 1.14584e+09 2.37403e+09 -21 -20.5
-20.25 1.99776e+10 8.1518e+08 1.2397e+09 -20.5 -20
-19.75 1.16596e+10 7.41163e+08 7.73605e+08 -20 -19.5
-19.25 6.67749e+09 6.85524e+08 5.02101e+08 -19.5 -19
-18.75 3.77144e+09 5.44527e+08 2.90985e+08 -19 -18.5
-18.25 2.14108e+09 3.74076e+08 1.68615e+08 -18.5 -18
-17.75 1.23251e+09 2.45279e+08 9.14563e+07 -18 -17.5
-17.25 0 0 0 -17.5 -17
