#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 5.15833e+11 4.40132e+11 2.87476e+11 -24 -23.5
-23.25 1.80936e+11 3.18119e+10 4.76631e+10 -23.5 -23
-22.75 1.00808e+11 1.37214e+10 2.43511e+10 -23 -22.5
-22.25 5.59066e+10 4.99608e+09 1.22029e+10 -22.5 -22
-21.75 2.85421e+10 2.48845e+09 5.74702e+09 -22 -21.5
-21.25 1.30716e+10 1.48343e+09 2.18058e+09 -21.5 -21
-20.75 6.3143e+09 9.2439e+08 9.07106e+08 -21 -20.5
-20.25 3.31798e+09 5.68987e+08 4.29622e+08 -20.5 -20
-19.75 1.84459e+09 3.69367e+08 2.0814e+08 -20 -19.5
-19.25 1.07112e+09 2.3409e+08 1.14541e+08 -19.5 -19
-18.75 6.43248e+08 1.54641e+08 6.57681e+07 -19 -18.5
-18.25 3.96108e+08 1.07774e+08 4.12313e+07 -18.5 -18
-17.75 2.49235e+08 7.23912e+07 2.47859e+07 -18 -17.5
-17.25 0 0 0 -17.5 -17
