#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.0075809 8.04946e-08 0 0.0178702 1.0429e-05 0 8.625 8.875
9.00 0.0129854 0 0 0.0264319 0 0 8.875 9.125
9.25 0.052998 8.85441e-06 -4.10522e-06 0.0515595 6.89887e-05 -2.78205e-05 9.125 9.375
9.50 0.179703 0.0006314 -0.000187472 0.0939188 0.00155 -0.00046175 9.375 9.625
9.75 0.35284 0.00385706 -0.000986059 0.120803 0.00503242 -0.00129113 9.625 9.875
10.00 0.325253 0.00582918 -0.0014394 0.143696 0.00935705 -0.0023268 9.875 10.125
10.25 0.213615 0.00719412 -0.00157005 0.187302 0.021577 -0.0046335 10.125 10.375
10.50 0.131758 0.00967295 -0.00197324 0.246243 0.0482793 -0.0102046 10.375 10.625
10.75 0.0787308 0.00684832 -0.00141107 0.272157 0.0566821 -0.0123592 10.625 10.875
11.00 0.0438886 0.00305252 -0.000593245 0.254964 0.0476204 -0.00967398 10.875 11.125
11.25 0.024094 0.00130385 -0.000265793 0.231237 0.0390223 -0.00826912 11.125 11.375
11.50 0.0132005 0.000524986 -0.000105126 0.208253 0.0301016 -0.00618286 11.375 11.625
11.75 0.00712095 0.00020349 -4.29036e-05 0.188956 0.0224118 -0.00480108 11.625 11.875
12.00 0.00372585 7.96896e-05 -1.57769e-05 0.172683 0.0172609 -0.00348845 11.875 12.125
12.25 0.00189484 2.39069e-05 -5.07116e-06 0.146644 0.0105905 -0.00223537 12.125 12.375
12.50 0.000928264 5.63462e-06 -6.43957e-07 0.131113 0.00524238 -0.00060235 12.375 12.625
12.75 0.000428231 6.43957e-07 8.04946e-08 0.109023 0.0013378 0.000167511 12.625 12.875
13.00 0.000180388 1.60989e-07 8.04946e-08 0.0905846 0.000810891 0.00040599 12.875 13.125
13.25 7.05938e-05 0 0 0.0524515 0 0 13.125 13.375
13.50 2.37459e-05 0 8.04946e-08 0.061017 0 0.00319382 13.375 13.625
13.75 6.11759e-06 0 0 0.0131579 0 0 13.625 13.875
14.00 1.04643e-06 0 0 0 0 0 13.875 14.125
14.25 8.04946e-08 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
