#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00340621 0 0 0.0434587 0 0 8.625 8.875
9.00 0.00613296 2.41484e-07 -1.60989e-07 0.0772795 2.32011e-05 -1.10939e-05 8.875 9.125
9.25 0.0287755 1.18327e-05 -5.63462e-06 0.119765 0.000216745 -0.000102408 9.125 9.375
9.50 0.114321 0.000600168 -0.000162197 0.122323 0.00259971 -0.000706993 9.375 9.625
9.75 0.277219 0.00402698 -0.00094879 0.127081 0.00680983 -0.00160751 9.625 9.875
10.00 0.317603 0.0070271 -0.00163549 0.144466 0.0102573 -0.00238959 9.875 10.125
10.25 0.21634 0.00709487 -0.00158043 0.187462 0.0185004 -0.00402527 10.125 10.375
10.50 0.133633 0.00822204 -0.00157785 0.238572 0.0390147 -0.00746451 10.375 10.625
10.75 0.0819718 0.00820256 -0.0015162 0.275113 0.063186 -0.0123082 10.625 10.875
11.00 0.0481146 0.00442841 -0.000818228 0.278055 0.0592641 -0.0114929 10.875 11.125
11.25 0.0275054 0.00198403 -0.000350956 0.261053 0.0488561 -0.00908154 11.125 11.375
11.50 0.0157402 0.000930678 -0.000165658 0.24298 0.0417839 -0.00775273 11.375 11.625
11.75 0.00891156 0.000426541 -8.60487e-05 0.232057 0.034845 -0.00723688 11.625 11.875
12.00 0.00501296 0.000189806 -3.46932e-05 0.215087 0.0284184 -0.00531507 11.875 12.125
12.25 0.00274897 7.30086e-05 -1.18327e-05 0.195309 0.0207329 -0.00342551 12.125 12.375
12.50 0.00149406 2.31824e-05 -2.81731e-06 0.181132 0.0125117 -0.00154121 12.375 12.625
12.75 0.000775807 6.03709e-06 -4.02473e-07 0.166528 0.00633278 -0.000432163 12.625 12.875
13.00 0.000389272 9.65935e-07 1.28791e-06 0.139165 0.00171824 0.003065 12.875 13.125
13.25 0.000183206 2.41484e-07 4.82968e-07 0.108963 0.00117293 0.00235517 13.125 13.375
13.50 7.96896e-05 0 0 0.0868687 0 0 13.375 13.625
13.75 3.21173e-05 0 0 0.0776942 0 0 13.625 13.875
14.00 1.09473e-05 0 0 0.0588235 0 0 13.875 14.125
14.25 2.01236e-06 0 0 0 0 0 14.125 14.375
14.50 1.60989e-07 0 0 0 0 0 14.375 14.625
14.75 8.04946e-08 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
