#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00225731 0 0 0.0697144 0 0 8.625 8.875
9.00 0.00388563 0 0 0.123177 0 0 8.875 9.125
9.25 0.0175811 5.63462e-06 -1.93187e-06 0.143815 0.00021024 -7.11828e-05 9.125 9.375
9.50 0.0607489 0.000245428 -6.45567e-05 0.0959777 0.00254729 -0.000649072 9.375 9.625
9.75 0.16178 0.00273505 -0.000576985 0.0999203 0.00685988 -0.00149187 9.625 9.875
10.00 0.248591 0.00628985 -0.0013057 0.140856 0.00894997 -0.00202601 9.875 10.125
10.25 0.186809 0.00518329 -0.00110455 0.184867 0.0132592 -0.00284381 10.125 10.375
10.50 0.118731 0.00429833 -0.000870308 0.225743 0.0208016 -0.00402889 10.375 10.625
10.75 0.0739206 0.00427756 -0.00072743 0.256082 0.0365503 -0.00606424 10.625 10.875
11.00 0.0457431 0.00358684 -0.000570546 0.282095 0.0501529 -0.00819743 10.875 11.125
11.25 0.0273837 0.00202887 -0.000324474 0.283063 0.048436 -0.00808477 11.125 11.375
11.50 0.0163006 0.00105029 -0.000178376 0.27176 0.0436179 -0.00766787 11.375 11.625
11.75 0.00967947 0.000557184 -8.60487e-05 0.264832 0.0396694 -0.00636253 11.625 11.875
12.00 0.00568187 0.000274084 -4.38696e-05 0.261564 0.0337384 -0.00561559 11.875 12.125
12.25 0.00333328 0.000132736 -2.05261e-05 0.245714 0.028859 -0.00459242 12.125 12.375
12.50 0.00194459 5.77146e-05 -7.24451e-06 0.236816 0.0218775 -0.00283267 12.375 12.625
12.75 0.00112354 2.20555e-05 -1.04643e-06 0.226967 0.0148125 -0.000719294 12.625 12.875
13.00 0.000636954 6.68105e-06 3.86374e-06 0.22027 0.00784361 0.00483105 12.875 13.125
13.25 0.000350876 2.25385e-06 2.81731e-06 0.196605 0.00512767 0.00650297 13.125 13.375
13.50 0.00019045 7.24451e-07 2.33434e-06 0.179205 0.00311039 0.0101853 13.375 13.625
13.75 9.79619e-05 8.04946e-08 8.04946e-07 0.17009 0.00068137 0.00687581 13.625 13.875
14.00 4.66064e-05 0 3.21978e-07 0.122625 0 0.00610348 13.875 14.125
14.25 2.23775e-05 0 3.21978e-07 0.0899281 0 0.0132857 14.125 14.375
14.50 6.76155e-06 0 8.04946e-08 0.0238095 0 0.0117613 14.375 14.625
14.75 2.57583e-06 0 0 0 0 0 14.625 14.875
15.00 2.41484e-07 0 0 0 0 0 14.875 15.125
15.25 8.04946e-08 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
