#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00444781 0 0 0.0328652 0 0 8.625 8.875
9.00 0.00786682 1.60989e-07 -1.60989e-07 0.0542407 1.93529e-05 -1.87978e-05 8.875 9.125
9.25 0.0356539 1.08668e-05 -4.82968e-06 0.0907357 0.000120699 -4.90695e-05 9.125 9.375
9.50 0.13478 0.000655306 -0.00018071 0.11229 0.00224783 -0.000635892 9.375 9.625
9.75 0.303579 0.00415457 -0.000995638 0.126571 0.00625354 -0.00152506 9.625 9.875
10.00 0.324347 0.00682184 -0.00158993 0.144085 0.0100241 -0.00237599 9.875 10.125
10.25 0.21803 0.00723107 -0.00156707 0.187202 0.0195172 -0.0041969 10.125 10.375
10.50 0.134499 0.00901725 -0.00172331 0.24057 0.0431949 -0.00844677 10.375 10.625
10.75 0.0821065 0.00819588 -0.00160587 0.276739 0.0632723 -0.0131475 10.625 10.875
11.00 0.0472999 0.00409573 -0.000765826 0.271563 0.0566694 -0.0111171 10.875 11.125
11.25 0.026775 0.00181185 -0.000332443 0.253001 0.0466596 -0.00898889 11.125 11.375
11.50 0.0151164 0.000804865 -0.000149237 0.23373 0.0384389 -0.00738561 11.375 11.625
11.75 0.00845411 0.000348622 -7.01108e-05 0.219743 0.0306269 -0.00633255 11.625 11.875
12.00 0.00465452 0.000147064 -2.71267e-05 0.203531 0.02421 -0.00457053 11.875 12.125
12.25 0.00252198 4.97457e-05 -9.01539e-06 0.182631 0.0158106 -0.00291146 12.125 12.375
12.50 0.00130989 1.65819e-05 -1.93187e-06 0.167455 0.0103468 -0.0012157 12.375 12.625
12.75 0.000667622 3.46127e-06 0 0.143718 0.00441648 0 12.625 12.875
13.00 0.000318115 6.43957e-07 4.82968e-07 0.118927 0.00152741 0.00156338 12.875 13.125
13.25 0.000141912 0 1.60989e-07 0.0918888 0 0.00103135 13.125 13.375
13.50 5.83586e-05 0 8.04946e-08 0.0813793 0 0.00126881 13.375 13.625
13.75 2.11701e-05 0 8.04946e-08 0.0760456 0 0.00352654 13.625 13.875
14.00 5.23215e-06 0 0 0.0307692 0 0 13.875 14.125
14.25 9.65935e-07 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 8.04946e-08 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
