#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00418057 0 0 0.0347736 0 0 8.625 8.875
9.00 0.00744205 1.60989e-07 -8.04946e-08 0.0594458 2.03438e-05 -1.017e-05 8.875 9.125
9.25 0.0339717 1.10278e-05 -5.15165e-06 0.0960745 0.000155948 -5.95599e-05 9.125 9.375
9.50 0.129844 0.000627455 -0.000178135 0.11465 0.00227439 -0.000633501 9.375 9.625
9.75 0.29745 0.00416495 -0.000983966 0.126678 0.00637619 -0.00153174 9.625 9.875
10.00 0.323109 0.00688873 -0.00162003 0.144155 0.0101304 -0.00244628 9.875 10.125
10.25 0.217857 0.0072128 -0.00156329 0.187392 0.0193311 -0.00411962 10.125 10.375
10.50 0.134436 0.00884933 -0.00167026 0.240112 0.0422669 -0.00810802 10.375 10.625
10.75 0.0821746 0.00823291 -0.00158558 0.276658 0.0634694 -0.0129567 10.625 10.875
11.00 0.0475428 0.00418765 -0.000780637 0.272952 0.057441 -0.011227 10.875 11.125
11.25 0.0269762 0.00185162 -0.000339285 0.255094 0.0471473 -0.00907856 11.125 11.375
11.50 0.0152722 0.000839639 -0.00015946 0.236674 0.0394197 -0.00776771 11.375 11.625
11.75 0.00856809 0.000365526 -7.20427e-05 0.222842 0.0315548 -0.0063962 11.625 11.875
12.00 0.00475667 0.000157286 -2.90585e-05 0.205693 0.0253096 -0.00482297 11.875 12.125
12.25 0.00256721 5.62657e-05 -1.15912e-05 0.186248 0.0173912 -0.00362644 12.125 12.375
12.50 0.00135996 1.93187e-05 -2.25385e-06 0.170997 0.0115637 -0.00137162 12.375 12.625
12.75 0.000689195 3.54176e-06 8.04946e-08 0.151016 0.00434062 9.91672e-05 12.625 12.875
13.00 0.00033856 6.43957e-07 6.43957e-07 0.123395 0.00142687 0.00169951 12.875 13.125
13.25 0.000151893 0 3.21978e-07 0.09062 0 0.00193177 13.125 13.375
13.50 6.31078e-05 0 2.41484e-07 0.0841837 0 0.00351786 13.375 13.625
13.75 2.2297e-05 0 0 0.0758123 0 0 13.625 13.875
14.00 6.68105e-06 0 0 0.060241 0 0 13.875 14.125
14.25 1.12692e-06 0 0 0 0 0 14.125 14.375
14.50 8.04946e-08 0 0 0 0 0 14.375 14.625
14.75 8.04946e-08 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
