#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00211862 0 0 0.0694909 0 0 8.625 8.875
9.00 0.0038086 1.60989e-07 0 0.118504 3.72604e-05 0 8.875 9.125
9.25 0.0179653 1.00618e-05 -3.94424e-06 0.158015 0.000372082 -0.000153452 9.125 9.375
9.50 0.0657972 0.000303223 -7.68723e-05 0.117139 0.00295909 -0.000799313 9.375 9.625
9.75 0.180811 0.00261269 -0.000556298 0.116877 0.00707927 -0.00154619 9.625 9.875
10.00 0.270279 0.00618633 -0.00134458 0.144123 0.00967103 -0.00203829 9.875 10.125
10.25 0.195979 0.0057288 -0.00121668 0.187697 0.0146464 -0.00305451 10.125 10.375
10.50 0.123214 0.0051845 -0.00101649 0.229909 0.024822 -0.00463976 10.375 10.625
10.75 0.0764619 0.00536867 -0.000905564 0.260465 0.0447375 -0.00745645 10.625 10.875
11.00 0.0470178 0.00411513 -0.000679857 0.285143 0.0552767 -0.00956312 10.875 11.125
11.25 0.027848 0.00213077 -0.000335582 0.281517 0.0500063 -0.00825509 11.125 11.375
11.50 0.0164382 0.0011035 -0.000186103 0.268105 0.0454358 -0.00796574 11.375 11.625
11.75 0.00965726 0.000572478 -9.28908e-05 0.258273 0.0410759 -0.00693443 11.625 11.875
12.00 0.00565386 0.000274084 -4.57209e-05 0.252039 0.0343169 -0.00591525 11.875 12.125
12.25 0.00328217 0.000119615 -2.04456e-05 0.237474 0.0267413 -0.0047206 12.125 12.375
12.50 0.00187552 4.84577e-05 -5.79561e-06 0.225322 0.0193438 -0.0023009 12.375 12.625
12.75 0.00107694 1.92382e-05 -8.04946e-07 0.213768 0.0137252 -0.000587225 12.625 12.875
13.00 0.000597028 5.39314e-06 2.73682e-06 0.207496 0.00696123 0.00378506 12.875 13.125
13.25 0.000322622 1.69039e-06 2.65632e-06 0.187126 0.00423688 0.00674838 13.125 13.375
13.50 0.000167026 3.21978e-07 1.93187e-06 0.168675 0.00159948 0.00972784 13.375 13.625
13.75 8.41168e-05 -8.04946e-08 4.82968e-07 0.137799 -0.000825852 0.00497901 13.625 13.875
14.00 3.76715e-05 0 1.60989e-07 0.0726496 0 0.00398005 13.875 14.125
14.25 1.65014e-05 0 1.60989e-07 0.0634146 0 0.00922744 14.125 14.375
14.50 3.78325e-06 0 8.04946e-08 0.0212766 0 0.0212766 14.375 14.625
14.75 1.28791e-06 0 0 0 0 0 14.625 14.875
15.00 1.60989e-07 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
