#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.0030526 8.04946e-08 0 0.0626269 2.4721e-05 0 8.625 8.875
9.00 0.00481543 3.21978e-07 -8.04946e-08 0.11412 5.92321e-05 -1.48118e-05 8.875 9.125
9.25 0.0199337 7.80798e-06 -3.21978e-06 0.135822 0.000228271 -9.51439e-05 9.125 9.375
9.50 0.0612057 0.000248889 -6.43152e-05 0.089154 0.0020988 -0.000539847 9.375 9.625
9.75 0.15439 0.00308029 -0.00061522 0.0906897 0.00666095 -0.00135882 9.625 9.875
10.00 0.236429 0.00641759 -0.00129798 0.137894 0.00845359 -0.00189804 9.875 10.125
10.25 0.181257 0.00489238 -0.00109038 0.182503 0.0124088 -0.00281496 10.125 10.375
10.50 0.115985 0.00393763 -0.000833361 0.223739 0.0191104 -0.00385363 10.375 10.625
10.75 0.0723937 0.00368762 -0.000649511 0.253518 0.0319612 -0.00546309 10.625 10.875
11.00 0.0448306 0.00323902 -0.000512268 0.280544 0.0461524 -0.00743049 10.875 11.125
11.25 0.0270183 0.0019297 -0.000313204 0.282902 0.046679 -0.00782293 11.125 11.375
11.50 0.0161361 0.00101351 -0.000165738 0.274057 0.0422224 -0.00722253 11.375 11.625
11.75 0.00962691 0.000536979 -8.138e-05 0.266177 0.0383496 -0.00605863 11.625 11.875
12.00 0.00567342 0.000276257 -4.51575e-05 0.264763 0.0340764 -0.00567922 11.875 12.125
12.25 0.00334053 0.000134426 -1.71453e-05 0.24959 0.0289595 -0.00380209 12.125 12.375
12.50 0.00196077 6.19808e-05 -5.71512e-06 0.238474 0.0231356 -0.00217226 12.375 12.625
12.75 0.00115317 2.278e-05 4.82968e-07 0.231816 0.014881 0.000321865 12.625 12.875
13.00 0.000649591 8.29094e-06 2.89781e-06 0.22342 0.00954212 0.00354955 12.875 13.125
13.25 0.000369309 2.33434e-06 2.49533e-06 0.202049 0.00484025 0.00542824 13.125 13.375
13.50 0.000196165 4.02473e-07 2.57583e-06 0.189167 0.00166018 0.0107886 13.375 13.625
13.75 0.000104723 4.02473e-07 1.4489e-06 0.169869 0.00317813 0.0116464 13.625 13.875
14.00 5.1436e-05 0 6.43957e-07 0.13615 0 0.0109521 13.875 14.125
14.25 2.55168e-05 0 3.21978e-07 0.123028 0 0.0112073 14.125 14.375
14.50 9.49836e-06 0 8.04946e-08 0.0254237 0 0.00832971 14.375 14.625
14.75 3.38077e-06 0 0 0 0 0 14.625 14.875
15.00 4.82968e-07 0 0 0.166667 0 0 14.875 15.125
15.25 1.60989e-07 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
