#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.0085148 1.60989e-07 0 0.0154659 1.86143e-05 0 8.625 8.875
9.00 0.0143891 1.60989e-07 -8.04946e-08 0.0226394 5.3402e-06 1.2666e-07 8.875 9.125
9.25 0.0576074 9.09589e-06 -4.10522e-06 0.0456986 6.55614e-05 -3.30694e-05 9.125 9.375
9.50 0.190058 0.000606527 -0.000177652 0.0896382 0.00140369 -0.000423282 9.375 9.625
9.75 0.362166 0.00368601 -0.00096674 0.118502 0.00480653 -0.00127099 9.625 9.875
10.00 0.323456 0.00557538 -0.00138636 0.143737 0.00914229 -0.00228156 9.875 10.125
10.25 0.210959 0.00711685 -0.00156707 0.187579 0.0221029 -0.00482157 10.125 10.375
10.50 0.130058 0.00954746 -0.00196777 0.247215 0.0485357 -0.0104114 10.375 10.625
10.75 0.0771579 0.00634 -0.00133138 0.268876 0.0540903 -0.0119905 10.625 10.875
11.00 0.0426684 0.00276837 -0.000553078 0.24979 0.0449753 -0.0093765 10.875 11.125
11.25 0.0232914 0.00116017 -0.000237781 0.226218 0.0363223 -0.00768967 11.125 11.375
11.50 0.0126096 0.000449884 -8.9349e-05 0.201671 0.027329 -0.00555997 11.375 11.625
11.75 0.00674424 0.000175559 -3.75105e-05 0.180939 0.0206986 -0.00450657 11.625 11.875
12.00 0.00348783 6.01295e-05 -1.32011e-05 0.165059 0.0140595 -0.00312527 11.875 12.125
12.25 0.00174512 1.74673e-05 -3.21978e-06 0.140175 0.00852089 -0.00158347 12.125 12.375
12.50 0.000834326 4.4272e-06 -6.43957e-07 0.119055 0.00455394 -0.000583008 12.375 12.625
12.75 0.000370356 4.82968e-07 8.04946e-08 0.0984569 0.00117414 0.000195988 12.625 12.875
13.00 0.000154872 8.04946e-08 1.60989e-07 0.0836798 0.00047601 0.000953503 12.875 13.125
13.25 5.59437e-05 0 0 0.047482 0 0 13.125 13.375
13.50 1.86747e-05 0 0 0.0474138 0 0 13.375 13.625
13.75 4.18572e-06 0 0 0.0192308 0 0 13.625 13.875
14.00 4.02473e-07 0 0 0 0 0 13.875 14.125
14.25 8.04946e-08 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
