#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.0244585 8.04946e-08 0 0.0146123 3.24287e-06 0 8.625 8.875
9.00 0.038807 1.60989e-06 -8.04946e-07 0.0108482 -2.468e-07 4.49829e-07 8.875 9.125
9.25 0.111532 2.89781e-05 -1.05448e-05 0.0124352 2.28174e-05 -9.59542e-06 9.125 9.375
9.50 0.227212 0.000195843 -6.85814e-05 0.0349365 0.000143357 -5.78128e-05 9.375 9.625
9.75 0.243835 0.000487636 -0.000151893 0.0657264 0.000707954 -0.00023324 9.625 9.875
10.00 0.163992 0.000773231 -0.000217013 0.0968602 0.00312889 -0.000899933 9.875 10.125
10.25 0.0883179 0.000984288 -0.000281168 0.150436 0.00875545 -0.00255798 10.125 10.375
10.50 0.0430648 0.000463166 -0.000137485 0.153949 0.00880097 -0.00262907 10.375 10.625
10.75 0.020067 0.000152779 -4.25816e-05 0.128815 0.00654279 -0.00182872 10.625 10.875
11.00 0.00889457 4.4433e-05 -1.17522e-05 0.112707 0.00440145 -0.00117081 10.875 11.125
11.25 0.00366685 1.16717e-05 -2.81731e-06 0.0969399 0.00286535 -0.000693299 11.125 11.375
11.50 0.00140592 1.69039e-06 -1.60989e-07 0.0754036 0.00111035 -0.000105865 11.375 11.625
11.75 0.000482002 1.60989e-07 -8.04946e-08 0.0536072 0.00031599 -0.000158023 11.625 11.875
12.00 0.000142878 0 0 0.0585915 0 0 11.875 12.125
12.25 3.6786e-05 0 0 0.0328228 0 0 12.125 12.375
12.50 8.61292e-06 0 0 0.0560748 0 0 12.375 12.625
12.75 1.28791e-06 0 0 0 0 0 12.625 12.875
13.00 2.41484e-07 0 0 0 0 0 12.875 13.125
13.25 0 0 0 0 0 0 13.125 13.375
13.50 0 0 0 0 0 0 13.375 13.625
13.75 0 0 0 0 0 0 13.625 13.875
14.00 0 0 0 0 0 0 13.875 14.125
14.25 0 0 0 0 0 0 14.125 14.375
14.50 0 0 0 0 0 0 14.375 14.625
14.75 0 0 0 0 0 0 14.625 14.875
15.00 0 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
