#Peak halo masses in Msun
#Number densities in comoving Mpc^-3 dex^-1.
#Log10(HM) Number_Density Err+ Err- Satellite_fraction Err+ Err- HM_Left_Edge HM_Right_Edge
8.00 0 0 0 0 0 0 7.875 8.125
8.25 0 0 0 0 0 0 8.125 8.375
8.50 0 0 0 0 0 0 8.375 8.625
8.75 0.00218559 0 0 0.0775633 0 0 8.625 8.875
9.00 0.00390938 4.02473e-07 -2.41484e-07 0.129779 6.89924e-05 -3.317e-05 8.875 9.125
9.25 0.0184661 1.07058e-05 -4.4272e-06 0.170574 0.000376761 -0.000168294 9.125 9.375
9.50 0.0682357 0.000328418 -8.53243e-05 0.124633 0.00305449 -0.000825651 9.375 9.625
9.75 0.188527 0.00273891 -0.000580366 0.118645 0.0072063 -0.00157741 9.625 9.875
10.00 0.27559 0.00631488 -0.00137775 0.143045 0.0099249 -0.00209503 9.875 10.125
10.25 0.198364 0.00588343 -0.00124751 0.186887 0.0149989 -0.00309847 10.125 10.375
10.50 0.124409 0.00547122 -0.00107122 0.229669 0.0262092 -0.0049392 10.375 10.625
10.75 0.0770621 0.00575609 -0.000974548 0.260395 0.0475442 -0.00808737 10.625 10.875
11.00 0.0473008 0.00422854 -0.000705616 0.283137 0.0566509 -0.00995153 10.875 11.125
11.25 0.0278432 0.0021674 -0.000345644 0.277975 0.0510671 -0.00852486 11.125 11.375
11.50 0.0164218 0.00110704 -0.000189967 0.265491 0.0457959 -0.00816706 11.375 11.625
11.75 0.00961806 0.000571431 -9.62715e-05 0.255258 0.041252 -0.00723401 11.625 11.875
12.00 0.00561313 0.000273038 -4.91017e-05 0.247573 0.0346288 -0.00645383 11.875 12.125
12.25 0.00325568 0.000120742 -1.88357e-05 0.232038 0.0273433 -0.00439289 12.125 12.375
12.50 0.00184011 4.86992e-05 -7.08352e-06 0.218854 0.0200876 -0.00299551 12.375 12.625
12.75 0.00105448 1.97212e-05 -5.63462e-07 0.210305 0.014423 -0.000421748 12.625 12.875
13.00 0.000584874 4.99066e-06 2.17335e-06 0.197082 0.00665678 0.00299472 12.875 13.125
13.25 0.000309824 1.20742e-06 2.57583e-06 0.184204 0.00316691 0.00683926 13.125 13.375
13.50 0.000158413 2.41484e-07 1.36841e-06 0.154472 0.00128695 0.00736749 13.375 13.625
13.75 7.94482e-05 -8.04946e-08 5.63462e-07 0.120567 -0.000891916 0.00628166 13.625 13.875
14.00 3.43712e-05 0 8.04946e-08 0.0655738 0 0.00219349 13.875 14.125
14.25 1.44085e-05 0 1.60989e-07 0.0726257 0 0.0104788 14.125 14.375
14.50 3.13929e-06 0 1.60989e-07 0.0512821 0 0.0512821 14.375 14.625
14.75 8.04946e-07 0 0 0 0 0 14.625 14.875
15.00 1.60989e-07 0 0 0 0 0 14.875 15.125
15.25 0 0 0 0 0 0 15.125 15.375
15.50 0 0 0 0 0 0 15.375 15.625
15.75 0 0 0 0 0 0 15.625 15.875
