#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -3.563538 0.449665 0.222478 -3.590117 0.446975 0.228575 -3.535977 0.414642 0.264411 0.000000 0.000000 0.000000 -3.638835 0.425028 0.177443 -3.513815 0.410578 0.277974 0.000000 0.000000 0.000000 -3.532777 0.422172 0.252831 -3.538692 0.405945 0.287869 -3.503062 0.363090 0.300448 0.000000 0.000000 0.000000 -3.588286 0.443695 0.172745 -3.539544 0.407389 0.270172 0.000000 0.000000 0.000000
9.300000 -3.437067 0.399942 0.203994 -3.461144 0.398601 0.204752 -3.412399 0.379006 0.240301 0.000000 0.000000 0.000000 -3.504593 0.383930 0.157936 -3.392684 0.361638 0.254054 0.000000 0.000000 0.000000 -3.406893 0.376300 0.232070 -3.412538 0.363080 0.262095 -3.380521 0.325262 0.271098 0.000000 0.000000 0.000000 -3.456630 0.385598 0.160944 -3.413646 0.375469 0.244335 0.000000 0.000000 0.000000
9.500000 -3.310596 0.348939 0.191382 -3.332172 0.350169 0.186256 -3.288822 0.340692 0.217418 0.000000 0.000000 0.000000 -3.370351 0.339988 0.140162 -3.271553 0.321991 0.218213 0.000000 0.000000 0.000000 -3.281008 0.332525 0.210107 -3.286385 0.321825 0.219986 -3.257979 0.292548 0.250609 0.000000 0.000000 0.000000 -3.324973 0.330539 0.146827 -3.287749 0.330713 0.222428 0.000000 0.000000 0.000000
9.700000 -3.184125 0.296639 0.174200 -3.203200 0.302595 0.160893 -3.165245 0.304866 0.195110 0.000000 0.000000 0.000000 -3.236109 0.295037 0.124033 -3.150422 0.267610 0.195692 0.000000 0.000000 0.000000 -3.155124 0.286405 0.182036 -3.160232 0.279552 0.193080 -3.135437 0.255370 0.231493 0.000000 0.000000 0.000000 -3.193317 0.288470 0.136578 -3.161852 0.283309 0.208367 0.000000 0.000000 0.000000
9.900000 -3.057655 0.248725 0.154802 -3.074228 0.254550 0.135464 -3.041667 0.251315 0.168211 0.000000 0.000000 0.000000 -3.101868 0.250867 0.117953 -3.029290 0.222083 0.176472 0.000000 0.000000 0.000000 -3.029240 0.234168 0.173440 -3.034078 0.236143 0.176880 -3.012895 0.205947 0.200674 0.000000 0.000000 0.000000 -3.061663 0.253717 0.124430 -3.035954 0.235113 0.190674 0.000000 0.000000 0.000000
10.100000 -2.931184 0.198354 0.134085 -2.945256 0.207084 0.123583 -2.918090 0.203745 0.149919 0.000000 0.000000 0.000000 -2.967627 0.207360 0.106012 -2.908159 0.183721 0.147855 0.000000 0.000000 0.000000 -2.903356 0.184174 0.163586 -2.907925 0.187349 0.163274 -2.890353 0.179725 0.193231 0.000000 0.000000 0.000000 -2.930016 0.204416 0.116571 -2.910057 0.200795 0.173445 0.000000 0.000000 0.000000
10.300000 -2.804713 0.149376 0.107365 -2.816283 0.158124 0.107779 -2.794513 0.165352 0.119295 0.000000 0.000000 0.000000 -2.833389 0.165066 0.093355 -2.787028 0.148987 0.117787 0.000000 0.000000 0.000000 -2.777472 0.150709 0.148566 -2.781772 0.145887 0.149149 -2.767812 0.150030 0.166259 0.000000 0.000000 0.000000 -2.798389 0.178695 0.117884 -2.784159 0.164309 0.153550 0.000000 0.000000 0.000000
10.500000 -2.678243 0.123148 0.098938 -2.687312 0.125902 0.099496 -2.670936 0.124213 0.104727 0.000000 0.000000 0.000000 -2.699142 0.126644 0.082690 -2.665897 0.118406 0.106960 0.000000 0.000000 0.000000 -2.651588 0.120671 0.136133 -2.655619 0.113805 0.132513 -2.645270 0.112079 0.143752 0.000000 0.000000 0.000000 -2.666820 0.137696 0.107283 -2.658262 0.134840 0.133565 0.000000 0.000000 0.000000
10.700000 -2.551776 0.095767 0.102590 -2.558342 0.098934 0.094633 -2.547358 0.091148 0.101879 0.000000 0.000000 0.000000 -2.564754 0.096108 0.084592 -2.544766 0.088304 0.101029 0.000000 0.000000 0.000000 -2.525707 0.081423 0.118246 -2.529468 0.084543 0.117756 -2.522728 0.084627 0.128540 0.000000 0.000000 0.000000 -2.535354 0.099238 0.100480 -2.532363 0.091065 0.118727 0.000000 0.000000 0.000000
10.900000 -2.425328 0.073519 0.119203 -2.429387 0.078162 0.118200 -2.423782 0.073564 0.122243 0.000000 0.000000 0.000000 -2.429520 0.084502 0.119501 -2.423635 0.070570 0.115076 0.000000 0.000000 0.000000 -2.399840 0.060853 0.134535 -2.403332 0.071930 0.132345 -2.400190 0.065613 0.132387 0.000000 0.000000 0.000000 -2.403697 0.081787 0.121983 -2.406468 0.070596 0.127815 0.000000 0.000000 0.000000
