#HM Med_All Med_Cen Med_Sat Med_SF Med_Q Cen-All Sat-All SF-All Q-All Cen-Sat SF-Q True True_Cen
9.100000 -0.218200 -0.170295 -0.555532 -0.257003 0.000000 0.047905 -0.337332 0.000000 0.000000 0.385238 0.000000 -0.262104 -0.176929
9.300000 -0.374091 -0.328783 -0.691694 -0.409286 0.000000 0.045308 -0.317604 0.000000 0.000000 0.362912 0.000000 -0.416410 -0.336600
9.500000 -0.528367 -0.485767 -0.714987 -0.559954 0.000000 0.042600 -0.186620 0.000000 0.000000 0.229220 0.000000 -0.568957 -0.494642
9.700000 -0.370923 -0.355223 -0.374776 -0.398911 0.784514 0.015699 -0.003853 -0.027988 1.155437 0.019552 -1.183425 -0.390501 -0.345903
9.900000 -0.078890 -0.062781 -0.168589 -0.103280 0.785115 0.016109 -0.089699 -0.024390 0.864005 0.105808 -0.888394 -0.091419 -0.049111
10.100000 0.011390 0.024576 -0.089267 -0.009384 0.789457 0.013186 -0.100657 -0.020775 0.778067 0.113843 -0.798842 0.001116 0.038656
10.300000 0.035895 0.030340 -0.004752 0.018730 0.904487 -0.005555 -0.040647 -0.017165 0.868592 0.035091 -0.885757 0.024986 0.044508
10.500000 0.025813 0.015721 -0.023259 0.012253 0.000000 -0.010092 -0.049072 -0.013560 0.000000 0.038980 0.000000 0.016582 0.028778
10.700000 0.007825 0.000453 -0.021703 -0.002148 0.025721 -0.007373 -0.029528 -0.009973 0.017895 0.022156 -0.027868 0.000228 0.012182
10.900000 -0.005184 -0.011030 -0.014658 -0.011594 -0.129276 -0.005847 -0.009475 -0.006411 -0.124092 0.003628 0.117682 -0.013229 -0.002458
11.100000 -0.019886 -0.025630 -0.009367 -0.022812 -0.142090 -0.005744 0.010520 -0.002925 -0.122203 -0.016263 0.119278 -0.023649 -0.016368
11.300000 -0.027479 -0.031440 0.004174 -0.027192 -0.056274 -0.003961 0.031653 0.000288 -0.028795 -0.035614 0.029082 -0.031978 -0.025105
11.500000 -0.034869 -0.036219 -0.010437 -0.032057 -0.011648 -0.001350 0.024432 0.002813 0.023222 -0.025782 -0.020409 -0.036474 -0.030150
11.700000 -0.033504 -0.032133 -0.000725 -0.029161 0.021017 0.001372 0.032779 0.004343 0.054521 -0.031408 -0.050178 -0.039941 -0.036041
11.900000 -0.026009 -0.023711 -0.003474 -0.020042 -0.036617 0.002298 0.022535 0.005967 -0.010608 -0.020237 0.016575 -0.032439 -0.031852
12.100000 -0.029054 -0.029000 0.031207 -0.026976 0.000455 0.000054 0.060261 0.002078 0.029509 -0.060207 -0.027431 -0.023401 -0.024753
12.300000 -0.018545 -0.022531 0.026502 -0.020357 -0.022060 -0.003986 0.045047 -0.001812 -0.003515 -0.049033 0.001703 -0.006193 -0.010376
12.500000 -0.007046 -0.003721 -0.046092 -0.018774 -0.010210 0.003324 -0.039047 -0.011728 -0.003165 0.042371 -0.008564 -0.024502 -0.027470
12.700000 0.005662 0.001817 0.354901 0.021057 0.010206 -0.003846 0.349238 0.015395 0.004544 -0.353084 0.010851 -0.006411 -0.008427
12.900000 0.043163 0.041788 0.000000 0.070247 0.032267 -0.001375 0.000000 0.027084 -0.010897 0.000000 0.037981 -0.005956 -0.009606
13.100000 0.111794 0.116829 0.000000 0.188562 0.075661 0.000000 0.000000 0.076769 -0.036132 0.000000 0.112901 0.077463 0.076853
13.300000 0.171350 0.000000 0.000000 0.000000 -0.021689 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.172162 0.000000
13.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
