#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
11.500000 -2.452372 0.012624 0.045946 -2.478350 0.006047 0.054994 -2.479984 0.004226 0.056160 -2.558095 2.558095 0.026595 -2.310706 0.015719 0.044470 -2.454565 0.010612 0.045957 -2.368884 0.353792 0.020866 -2.430690 0.023139 0.086659 -2.457430 0.021631 0.092595 -2.459210 0.021081 0.091997 -2.567681 2.567681 0.065145 -2.290827 0.032368 0.073167 -2.436833 0.030714 0.083662 -2.400238 0.330521 0.028573
11.700000 -2.278199 0.008687 0.047699 -2.300478 0.006252 0.054090 -2.299497 0.002847 0.057348 -2.399744 0.073160 0.023631 -2.145935 0.013342 0.049340 -2.279704 0.008274 0.046257 -2.273472 0.246384 0.013773 -2.257764 0.019335 0.091582 -2.278969 0.018675 0.096570 -2.278196 0.021634 0.094304 -2.410911 0.102163 0.060767 -2.129845 0.028791 0.080787 -2.258182 0.026830 0.088704 -2.299323 0.241032 0.020519
11.900000 -2.110600 0.011074 0.046493 -2.128952 0.006897 0.050925 -2.121334 0.003932 0.053366 -2.236889 0.064021 0.024478 -1.985007 0.005112 0.053118 -2.106773 0.010643 0.044782 -2.159157 0.160967 0.011014 -2.091125 0.030063 0.087957 -2.107144 0.028375 0.089975 -2.097295 0.026280 0.094750 -2.249629 0.097152 0.057951 -1.972410 0.037482 0.092261 -2.080136 0.025592 0.096211 -2.175687 0.158009 0.037706
12.100000 -1.962652 0.024863 0.037618 -1.976063 0.020049 0.039724 -1.955421 0.013696 0.043110 -2.079955 0.052096 0.033628 -1.848917 0.003049 0.055861 -1.946152 0.016638 0.040923 -2.036927 0.091958 0.020176 -1.943369 0.054705 0.079187 -1.953958 0.055499 0.079723 -1.925356 0.041201 0.092793 -2.093225 0.085721 0.055563 -1.836097 0.037824 0.097976 -1.914477 0.043547 0.091276 -2.045171 0.115357 0.048506
12.300000 -1.860904 0.036445 0.027055 -1.868262 0.038889 0.028344 -1.829099 0.028091 0.035056 -1.959388 0.047857 0.031200 -1.780403 0.013118 0.046185 -1.825082 0.026708 0.037440 -1.938697 0.055940 0.024312 -1.840654 0.079800 0.064809 -1.845209 0.078437 0.067529 -1.789675 0.061932 0.082637 -1.970037 0.086043 0.054141 -1.764882 0.051558 0.081056 -1.788812 0.063425 0.076676 -1.942046 0.085170 0.061669
12.500000 -1.839187 0.047895 0.022114 -1.841190 0.047375 0.023291 -1.790684 0.036055 0.029601 -1.915517 0.051866 0.021647 -1.817898 0.045264 0.018864 -1.790352 0.035592 0.031741 -1.905546 0.040906 0.026590 -1.817316 0.072044 0.064106 -1.816360 0.071734 0.062675 -1.737037 0.065530 0.063677 -1.919752 0.078546 0.061031 -1.800074 0.067839 0.063853 -1.744254 0.070599 0.059248 -1.905927 0.063481 0.071894
12.700000 -1.913323 0.058549 0.028640 -1.912986 0.060414 0.030146 -1.878848 0.061217 0.035373 -1.968027 0.060983 0.025949 -1.956551 0.086183 0.022333 -1.879401 0.056044 0.038495 -1.961193 0.056966 0.030848 -1.890637 0.074471 0.079506 -1.886413 0.074177 0.075900 -1.803487 0.078194 0.054553 -1.965404 0.081150 0.069322 -1.932883 0.094093 0.058553 -1.809807 0.077018 0.047497 -1.959151 0.073006 0.077051
12.900000 -2.064549 0.078802 0.044569 -2.064767 0.082217 0.040402 -2.077240 0.106223 0.061290 -2.097539 0.080204 0.026865 -2.153695 0.120752 0.023332 -2.077532 0.099710 0.063153 -2.093943 0.082278 0.032852 -2.042711 0.086574 0.084629 -2.037325 0.083286 0.086735 -1.975543 0.109792 0.044635 -2.092586 0.086849 0.073016 -2.115482 0.114393 0.048829 -1.973117 0.107243 0.052232 -2.092150 0.087400 0.075375
13.100000 -2.258876 0.099250 0.051683 -2.260875 0.101218 0.046371 -2.335452 0.159557 0.080640 -2.263760 0.097573 0.041045 -2.369847 0.153855 0.037579 -2.336369 0.153302 0.083580 -2.265778 0.103119 0.044115 -2.239175 0.106165 0.082682 -2.233645 0.103898 0.094588 -2.205960 0.185385 0.008695 -2.262761 0.094839 0.089087 -2.311149 0.133476 0.076995 -2.193896 0.175331 0.041572 -2.269848 0.106673 0.083005
13.300000 -2.471067 0.127426 0.040189 -2.475200 0.130735 0.035327 -2.615638 2.615638 -0.007714 -2.436075 0.109706 0.049681 0.000000 0.000000 0.000000 -2.618151 2.618151 -0.008300 -2.439008 0.115541 0.051144 -2.454150 0.132580 0.073656 -2.449142 0.127988 0.085683 0.000000 0.000000 0.000000 -2.443055 0.110826 0.089694 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -2.453269 0.116592 0.088816
13.500000 -2.689125 0.166523 0.027632 -2.695711 0.168644 0.022375 0.000000 0.000000 0.000000 -2.603910 0.124943 0.047620 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -2.595018 0.113703 0.065545 -2.675266 0.177352 0.058606 -2.671483 0.175457 0.060080 0.000000 0.000000 0.000000 -2.619781 0.143374 0.088341 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -2.618228 0.132315 0.088731
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
