#HM Med_All Med_Cen Med_Sat Med_SF Med_Q Cen-All Sat-All SF-All Q-All Cen-Sat SF-Q True True_Cen
9.100000 -0.638948 -0.601174 -0.212788 -0.694367 0.000000 0.037774 0.426160 0.000000 0.000000 -0.388386 0.000000 -0.632036 -0.644662
9.300000 -0.632038 -0.599518 -0.201242 -0.680197 0.000000 0.032520 0.430795 0.000000 0.000000 -0.398275 0.000000 -0.624504 -0.635124
9.500000 -0.490181 -0.463350 -0.092825 -0.531080 0.000000 0.026831 0.397355 0.000000 0.000000 -0.370524 0.000000 -0.476764 -0.486201
9.700000 -0.232802 -0.210472 0.043912 -0.266441 0.000000 0.022330 0.276714 0.000000 0.000000 -0.254384 0.000000 -0.221232 -0.228410
9.900000 -0.079626 -0.062252 0.125001 -0.106005 0.000000 0.017375 0.204627 0.000000 0.000000 -0.187253 0.000000 -0.064576 -0.070338
10.100000 -0.038592 -0.027611 0.157382 -0.057711 0.000000 0.010981 0.195974 0.000000 0.000000 -0.184993 0.000000 -0.021590 -0.025712
10.300000 -0.014427 -0.008478 0.123046 -0.026289 0.000000 0.005949 0.137474 0.000000 0.000000 -0.131525 0.000000 -0.000236 -0.002421
10.500000 -0.012367 -0.006459 0.000564 -0.016988 0.000000 0.005909 0.012931 0.000000 0.000000 -0.007022 0.000000 0.007485 0.011108
10.700000 0.007326 0.004851 0.070651 0.009799 0.000000 -0.002475 0.063325 0.000000 0.000000 -0.065800 0.000000 0.018012 0.021180
10.900000 -0.020852 -0.022844 -0.108321 -0.012526 0.000000 -0.001992 -0.087469 0.000000 0.000000 0.085477 0.000000 -0.015449 -0.014294
11.100000 -0.018326 -0.035304 0.000000 -0.012694 0.000000 -0.016978 0.000000 0.000000 0.000000 0.000000 0.000000 -0.013472 -0.010690
11.300000 -0.041394 -0.048597 0.000000 -0.056436 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.088121 -0.083323
11.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
