#HM Med_All Med_Cen Med_Sat Med_SF Med_Q Cen-All Sat-All SF-All Q-All Cen-Sat SF-Q True True_Cen
9.100000 0.085472 0.160896 -0.197613 0.044901 0.000000 0.000000 -0.283085 0.000000 0.000000 0.358510 0.000000 0.048425 0.150547
9.300000 -0.092051 -0.020773 -0.363394 -0.128759 0.000000 0.071278 -0.271343 0.000000 0.000000 0.342621 0.000000 -0.127837 -0.032029
9.500000 -0.269019 -0.201940 -0.527807 -0.301865 0.319113 0.067079 -0.258788 -0.032846 0.588131 0.325867 -0.620977 -0.303604 -0.214160
9.700000 -0.381873 -0.333051 -0.446408 -0.410871 0.357559 0.048822 -0.064535 -0.028998 0.739432 0.113357 -0.768430 -0.408873 -0.340287
9.900000 -0.140801 -0.111186 -0.170249 -0.165957 0.498642 0.029615 -0.029449 -0.025156 0.639443 0.059063 -0.664599 -0.155349 -0.108628
10.100000 0.004704 0.032430 -0.067094 -0.016573 0.493307 0.027726 -0.071798 -0.021277 0.488603 0.099524 -0.509880 -0.002788 0.040901
10.300000 0.047416 0.063729 -0.003105 0.029996 0.257837 0.016314 -0.050521 -0.017420 0.210422 0.066834 -0.227841 0.040100 0.073351
10.500000 0.049310 0.046917 0.023793 0.035726 0.034610 -0.002393 -0.025517 -0.013584 -0.014700 0.023125 0.001116 0.040955 0.054823
10.700000 0.025174 0.021210 -0.000209 0.015360 0.042318 -0.003964 -0.025383 -0.009814 0.017144 0.021419 -0.026958 0.017490 0.026945
10.900000 0.005828 0.000399 0.001759 -0.000377 0.046021 -0.005430 -0.004069 -0.006205 0.040192 -0.001361 -0.046397 -0.000966 0.004425
11.100000 -0.009494 -0.017199 0.003504 -0.012450 0.024391 -0.007706 0.012997 -0.002957 0.033885 -0.020703 -0.036841 -0.015755 -0.014199
11.300000 -0.020834 -0.026208 -0.002653 -0.021418 0.020224 -0.005374 0.018182 -0.000583 0.041059 -0.023556 -0.041642 -0.027297 -0.026450
11.500000 -0.032393 -0.036510 -0.006482 -0.031727 -0.023522 -0.004117 0.025911 0.000666 0.008871 -0.030028 -0.008205 -0.033206 -0.033383
11.700000 -0.032463 -0.033923 -0.017535 -0.032762 0.009079 -0.001460 0.014928 -0.000299 0.041543 -0.016388 -0.041842 -0.033788 -0.034608
11.900000 -0.028719 -0.028514 -0.025047 -0.032305 0.019054 0.000205 0.003673 -0.003586 0.047773 -0.003468 -0.051359 -0.027645 -0.028564
12.100000 -0.003498 -0.004372 -0.012717 -0.006469 0.008950 -0.000874 -0.009219 -0.002971 0.012448 0.008345 -0.015419 -0.003158 -0.006463
12.300000 0.002177 0.002636 -0.021771 0.002446 -0.025818 0.000459 -0.023948 0.000269 -0.027995 0.024408 0.028263 0.010849 0.009699
12.500000 -0.007221 -0.005092 -0.022081 -0.016286 -0.001911 0.002129 -0.014861 -0.009065 0.005309 0.016990 -0.014374 -0.005695 -0.007838
12.700000 -0.021677 -0.024219 0.064768 -0.002295 -0.022256 -0.002542 0.086444 0.019381 -0.000579 -0.088987 0.019961 -0.030254 -0.034856
12.900000 -0.005567 -0.002108 0.047324 0.030102 0.014573 0.003459 0.052891 0.035669 0.020140 -0.049432 0.015529 -0.024194 -0.025835
13.100000 0.014003 0.011768 0.319847 0.017978 0.028656 -0.002235 0.305844 0.003975 0.014652 -0.308078 -0.010678 0.019559 0.015831
13.300000 -0.001493 0.003347 0.000000 0.232863 -0.040301 0.004840 0.000000 0.234355 -0.038809 0.000000 0.273164 -0.017013 -0.019834
13.500000 0.061742 0.062941 0.000000 0.000000 -0.015917 0.001199 0.000000 0.000000 -0.077658 0.000000 0.000000 -0.002350 0.002758
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
