#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0 0.920852 0 0 0.515337 0 0 0 0 7.2 7.4 565624 9987 360 0
7.5 0 0.717599 0 0 1 0 0 0 0 7.4 7.6 440640 10086 367 0
7.7 0 0.735461 0 0 0.705882 0 0 0 0 7.6 7.8 332557 9807 375 0
7.9 0 1 0 0 0 0 0 0 0 7.8 8 244299 9059 374 0
8.1 0 0.97619 0 0 0.705128 0 0 0 0 8 8.2 174543 7631 310 0
8.3 0 1 0 0 0.873418 0 0 0 0 8.2 8.4 122762 6546 244 0
8.5 0.5 0.5 0.5 0 0.882353 0 0 0 0 8.4 8.6 85186 5193 236 0
8.7 0 1 0 0 0.765957 0 0 0 0 8.6 8.8 58552 4216 166 0
8.9 0 0.9 0 0 1 0 0 0 0 8.8 9 39840 3162 153 0
9.1 0 1 0 0 1 0 0 0 0 9 9.2 27221 2305 97 0
9.3 0 1 0 1 0 1 0 0 0 9.2 9.4 18134 1567 80 0
9.5 0 1 0 0.933333 0.0666667 0.933333 0 0 0 9.4 9.6 12243 1005 85 0
9.7 0 1 0 0.666667 0.333333 0.666667 0 0 0 9.6 9.8 7913 592 68 0
9.9 0.725 0.275 0.725 0.923077 0.0769231 0.923077 0 0 0 9.8 10 5090 283 61 0
10.1 0.818182 0.181818 0.818182 0.833333 0.166667 0.833333 0 0 0 10 10.2 3296 100 48 0
10.3 0 1 0 0.923077 0.0769231 0.351648 0 0 0 10.2 10.4 2049 67 39 0
10.5 0 1 0 1 0 1 0 0 0 10.4 10.6 1213 20 23 0
10.7 0 0 0 1 0 1 0 0 0 10.6 10.8 721 5 14 0
10.9 0 0 0 0.75 0.25 0.75 0 0 0 10.8 11 405 0 14 0
11.1 0 0 0 0 1 0 0 0 0 11 11.2 172 0 6 0
11.3 0 0 0 0 1 0 0 0 0 11.2 11.4 70 0 4 0
11.5 0 0 0 0 1 0 0 0 0 11.4 11.6 21 0 2 0
11.7 0 0 0 0 0 0 0 0 0 11.6 11.8 7 0 0 0
11.9 0 0 0 0 0 0 0 0 0 11.8 12 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
