#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.974522 0.0121444 0.0258043 0.968504 0.0197313 0.0399325 0.969231 0.0200166 0.0381963 7.2 7.4 590053 21302 16716 8709
7.5 0.990385 0.00961536 0.0242192 0.982301 0.0104527 0.0198948 0.972222 0.0136933 0.0210027 7.4 7.6 480900 19245 14887 7851
7.7 0.99115 0.00409895 0.0103402 0.977612 0.0100424 0.0178264 0.984211 0.0157894 0.0122479 7.6 7.8 395706 17548 13363 6912
7.9 0.98783 0.00444835 0.0121211 0.990544 0.00653231 0.0140271 0.992701 0.00729924 0.0137534 7.8 8 332908 17325 12622 6869
8.1 0.980159 0.0102901 0.0147077 0.984829 0.0106458 0.0128405 1 0 0.0129533 8 8.2 281553 17474 11993 6769
8.3 0.981982 0.00666511 0.0185164 0.986387 0.0116166 0.0157992 0.989286 0.00735861 0.00835353 8.2 8.4 233465 16265 10889 5856
8.5 0.977386 0.00832874 0.0156149 0.987542 0.0042876 0.0153202 0.972826 0.0128882 0.0110555 8.4 8.6 186732 14069 9001 4872
8.7 0.967225 0.0156321 0.023735 0.971384 0.00826973 0.014971 0.963265 0.0105001 0.0166461 8.6 8.8 150230 12259 7790 4166
8.9 0.958217 0.0191312 0.0268919 0.965 0.0132609 0.0231583 0.974948 0.00600457 0.013339 8.8 9 119213 10399 6593 3473
9.1 0.958593 0.0152828 0.0269015 0.946337 0.0180463 0.0223508 0.954751 0.0128602 0.0138528 9 9.2 95487 8497 5450 2942
9.3 0.950495 0.0155491 0.027531 0.936118 0.0200951 0.0383907 0.930982 0.0156303 0.0257528 9.2 9.4 77980 6902 4616 2500
9.5 0.948594 0.0162605 0.0298555 0.909091 0.0222429 0.0323786 0.911371 0.0144173 0.0181674 9.4 9.6 65463 5239 3974 2083
9.7 0.934114 0.0201659 0.0302918 0.869754 0.025068 0.0375442 0.899846 0.0175853 0.0417709 9.6 9.8 56824 3777 3719 1918
9.9 0.943965 0.014553 0.0279071 0.813266 0.0313778 0.0393246 0.843164 0.024761 0.0428699 9.8 10 51243 2535 3571 1798
10.1 0.917671 0.0153922 0.0259181 0.748309 0.0411652 0.0437467 0.781333 0.0326201 0.0333658 10 10.2 47621 1574 3425 1682
10.3 0.906103 0.0252271 0.0358331 0.699264 0.0348068 0.0393294 0.737723 0.0245817 0.0372728 10.2 10.4 44838 767 3596 1705
10.5 0.917808 0.0143952 0.0270519 0.665942 0.0276467 0.0309634 0.629386 0.0320724 0.0278407 10.4 10.6 40555 353 3378 1594
10.7 0.898305 0.0276209 0.0521512 0.647429 0.0216283 0.0264059 0.519669 0.0214948 0.0213336 10.6 10.8 32393 120 2582 1318
10.9 0.90625 0.0247845 0.0491071 0.616682 0.0231891 0.0245184 0.469242 0.0230874 0.0244904 10.8 11 21290 38 1561 997
11.1 1 0 0.0714286 0.602353 0.0200247 0.0201161 0.371795 0.0192164 0.0201465 11 11.2 10272 10 562 566
11.3 0.5 0.5 0.5 0.617977 0.0309587 0.0449438 0.306011 0.0330695 0.03073 11.2 11.4 3666 3 110 174
11.5 0 0 0 0.857143 0.142857 0.107143 0.146341 0.0459662 0.0463415 11.4 11.6 913 0 13 29
11.7 0 0 0 0 0 0 0 0.166667 0 11.6 11.8 154 0 0 5
11.9 0 0 0 0 0 0 0 0 0 11.8 12 16 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 2 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
