#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.583333 0.364035 0.25 0.636364 0.363636 0.636364 0 0 0 7.2 7.4 625156 23530 4462 0
7.5 0.642181 0.299466 0.308847 0.666667 0.333333 0.666667 0 0 0 7.4 7.6 506560 23873 4315 0
7.7 0.642857 0.320779 0.392857 0.666667 0.333333 0.333333 0 0 0 7.6 7.8 402674 23537 4395 0
7.9 0.666667 0.302083 0.666667 0.666667 0.333333 0.666667 0 0 0 7.8 8 309813 21602 4085 0
8.1 0.818182 0.181818 0.707071 0.833333 0.166667 0.833333 0 0 0 8 8.2 235207 18813 3606 0
8.3 0.955556 0.0444444 0.364646 0.916667 0.0833333 0.916667 0 0 0 8.2 8.4 175835 16065 2867 0
8.5 0.976744 0.0232558 0.310077 0.933333 0.0666667 0.933333 0 0 0 8.4 8.6 130568 13047 2473 0
8.7 0.954198 0.0458015 0.454198 0.95 0.05 0.95 0 0 0 8.6 8.8 97057 10585 2040 0
8.9 0.9375 0.0323276 0.270833 0.925373 0.0746269 0.161826 0 0 0 8.8 9 72314 8154 1681 0
9.1 0.973978 0.0260223 0.154674 0.919355 0.0536181 0.159665 0 0 0 9 9.2 53457 5864 1505 0
9.3 0.945205 0.0547945 0.123777 0.909091 0.0483559 0.0812764 0 0 0 9.2 9.4 39583 3864 1231 0
9.5 0.953368 0.0466321 0.0533679 0.946667 0.0533333 0.0895238 0 0 0 9.4 9.6 28836 2384 953 0
9.7 0.969697 0.030303 0.0530303 0.909091 0.0320855 0.0757576 0 0 0 9.6 9.8 21111 1239 808 0
9.9 0.95 0.05 0.0409091 0.891304 0.0486956 0.0983219 0 0 0 9.8 10 15436 588 653 0
10.1 1 0 0.0416667 0.863636 0.0576234 0.0858586 0 0 0 10 10.2 11358 223 603 0
10.3 0.916667 0.0833333 0.154762 0.817259 0.061002 0.0547018 0 0 0 10.2 10.4 8502 93 476 0
10.5 1 0 0.25 0.827068 0.0566533 0.0752946 0 0 0 10.4 10.6 6084 27 381 0
10.7 1 0 1 0.796296 0.0432099 0.047997 0 0 0 10.6 10.8 4379 12 295 0
10.9 1 0 1 0.849315 0.0316373 0.0473348 0 0 0 10.8 11 2763 3 150 0
11.1 0 1 0 0.862745 0.0588235 0.0668268 0 0 0 11 11.2 1404 0 103 0
11.3 1 0 1 0.875 0.0625 0.075 0 0 0 11.2 11.4 587 2 31 0
11.5 0 1 0 1 0 0 0 0 0 11.4 11.6 164 0 10 0
11.7 0 0 0 1 0 1 0 0 0 11.6 11.8 56 0 3 0
11.9 0 0 0 0 0 0 0 0 0 11.8 12 5 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
