#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.533333 0.366667 0.283333 0.333333 0.537037 0.333333 0 0 0 7.2 7.4 627614 22546 3716 0
7.5 0.545455 0.371212 0.295455 0.666667 0.333333 0.666667 0 0 0 7.4 7.6 507337 23264 3744 0
7.7 0.5 0.5 0.333333 0.5 0.5 0.5 0 0 0 7.6 7.8 399350 22463 3805 0
7.9 0.5 0.474359 0.5 0 1 0 0 0 0 7.8 8 307544 20585 3603 0
8.1 0.666667 0.307124 0.666667 0.5 0.460784 0.5 0 0 0 8 8.2 231463 18101 3043 0
8.3 0.777778 0.200946 0.777778 0.5 0.5 0.5 0 0 0 8.2 8.4 171409 15174 2554 0
8.5 0.909091 0.0909091 0.909091 0.922078 0.0779221 0.922078 0 0 0 8.4 8.6 127437 12597 2105 0
8.7 0.959459 0.0405405 0.959459 0.916667 0.0833333 0.916667 0 0 0 8.6 8.8 94046 9882 1791 0
8.9 0.955696 0.0443038 0.955696 0.963636 0.0363637 0.963636 0 0 0 8.8 9 69439 7920 1476 0
9.1 0.958333 0.0416667 0.179965 0.965517 0.0344828 0.225133 0 0 0 9 9.2 50705 5490 1223 0
9.3 0.93578 0.0642202 0.13578 0.943396 0.0390599 0.192543 0 0 0 9.2 9.4 36936 3652 991 0
9.5 0.916667 0.0416666 0.116667 0.957895 0.0421053 0.0721804 0 0 0 9.4 9.6 27133 2191 841 0
9.7 0.941176 0.0588235 0.0950226 0.927273 0.0464115 0.0782931 0 0 0 9.6 9.8 19495 1184 728 0
9.9 0.961538 0.0384616 0.0865384 0.902913 0.0516328 0.101631 0 0 0 9.8 10 14175 530 602 0
10.1 0.933333 0.0666667 0.933333 0.873016 0.0698413 0.0777403 0 0 0 10 10.2 10380 227 469 0
10.3 0.818182 0.0984849 0.484848 0.85 0.0433333 0.0766667 0 0 0 10.2 10.4 7478 87 385 0
10.5 0.888889 0.111111 0.138889 0.859375 0.0562876 0.0764292 0 0 0 10.4 10.6 5255 32 325 0
10.7 1 0 0 0.8 0.0791209 0.0692308 0 0 0 10.6 10.8 3779 10 228 0
10.9 1 0 1 0.78125 0.0574597 0.0552226 0 0 0 10.8 11 2313 3 153 0
11.1 1 0 1 0.861111 0.0537825 0.0704134 0 0 0 11 11.2 1239 2 88 0
11.3 0 0 0 0.875 0.0625 0.141667 0 0 0 11.2 11.4 501 2 26 0
11.5 0 0 0 1 0 0.142857 0 0 0 11.4 11.6 154 0 10 0
11.7 0 0 0 1 0 1 0 0 0 11.6 11.8 40 0 0 0
11.9 0 0 0 0 0 0 0 0 0 11.8 12 6 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 1 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
