#Observed stellar mass range: 9.8 < log10(M*/Msun) < 10
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
0.409997 0.0174566 0.00685379 0.010119 0.041843 0.0135822 0.0158417 45656 18426
0.404935 0.0160767 0.00659968 0.00981979 0.0394008 0.0133838 0.0164087 45656 18426
0.399872 0.014675 0.00653319 0.00939625 0.0380983 0.0115946 0.0161443 45656 18426
0.394810 0.0139741 0.00591057 0.00930727 0.0339737 0.012518 0.0144727 45656 18426
0.389747 0.0126599 0.00593052 0.00852913 0.0332139 0.0110269 0.0154496 45656 18426
0.384685 0.0110829 0.00567981 0.00752971 0.0319657 0.00922735 0.0157096 45656 18426
0.379622 0.0107981 0.00546004 0.00757619 0.0297949 0.00939077 0.0156376 45656 18426
0.374560 0.00933065 0.00441628 0.0067091 0.0253989 0.0095846 0.0129664 45656 18426
0.369497 0.00884878 0.00427233 0.00664236 0.0240964 0.00852188 0.0129563 45656 18426
0.364435 0.00770983 0.00344735 0.00615518 0.0221426 0.00803004 0.0122497 45656 18426
0.359372 0.00678991 0.00321391 0.00550563 0.0208944 0.00726167 0.0132797 45656 18426
0.354310 0.00611092 0.00296226 0.00511563 0.018615 0.00696256 0.011638 45656 18426
0.349247 0.0059576 0.00257716 0.00511811 0.0168241 0.00667 0.0109014 45656 18426
0.344185 0.00508148 0.0023446 0.0044274 0.0162271 0.00567208 0.0113344 45656 18426
0.339122 0.00427107 0.00237573 0.00371129 0.0147075 0.00500613 0.0108737 45656 18426
0.334060 0.0037454 0.0026722 0.00330305 0.0124281 0.00545178 0.00915749 45656 18426
0.328997 0.00359208 0.00216084 0.00330455 0.0119397 0.0053196 0.00890418 45656 18426
0.323935 0.00304451 0.00215834 0.00284224 0.0103658 0.00587201 0.00773089 45656 18426
0.318873 0.00249693 0.00217875 0.00235505 0.00868338 0.00577048 0.00701187 45656 18426
0.313810 0.00234361 0.00171558 0.00223711 0.0080864 0.00478181 0.00675092 45656 18426
0.308748 0.00183985 0.00179597 0.00177205 0.00700098 0.00409227 0.00583906 45656 18426
0.303685 0.00190555 0.00146369 0.00188446 0.00542711 0.00406741 0.00450103 45656 18426
0.298623 0.00129227 0.00148076 0.00129227 0.00580701 0.00341778 0.00517869 45656 18426
0.293560 0.00133608 0.00132264 0.00133608 0.00499294 0.00326255 0.00441916 45656 18426
0.288498 0.000635185 0.00129742 0.000635185 0.00363617 0.00372861 0.00316761 45656 18426
0.283435 0.000657088 0.0010274 0.000657088 0.00352762 0.0031617 0.003107 45656 18426
0.278373 0.000547573 0.00090615 0.000547573 0.00298491 0.00289522 0.0027246 45656 18426
0.273310 0.000481864 0.000686544 0.000481864 0.00287637 0.00251825 0.00275107 45656 18426
0.268248 0.000350447 0.000615737 0.000350447 0.00217085 0.00214485 0.00207209 45656 18426
0.263185 0.00037235 0.000605012 0.00037235 0.00141105 0.00224728 0.00135243 45656 18426
0.258123 0.000219029 0.000450145 0.000219029 0.00124824 0.00126421 0.00118694 45656 18426
0.253060 0.000175223 0.00039301 0.000175223 0.00103115 0.00118602 0.00103115 45656 18426
0.247998 0.000175223 0.000222408 0.000175223 0.000868338 0.00117006 0.000868338 45656 18426
0.242935 8.76117e-05 0.00028793 8.76117e-05 0.000868338 0.000790823 0.000868338 45656 18426
0.237873 0.000131418 0.000140134 0.000131418 0.000542711 0.00135347 0.000542711 45656 18426
0.232810 0.000109515 0.000186726 0.000109515 0.000434169 0.00091703 0.000434169 45656 18426
0.227748 4.38059e-05 0.000110829 4.38059e-05 0.000542711 0.000676155 0.000542711 45656 18426
0.222685 0 0.000154635 0 0.000271356 0.000615513 0.000271356 45656 18426
0.217623 0 0.000107724 0 0.000325627 0.000394954 0.000325627 45656 18426
0.212560 2.19029e-05 0.000126216 2.19029e-05 0.000162813 0.000400186 0.000162813 45656 18426
0.207498 2.19029e-05 2.39371e-05 2.19029e-05 0.000162813 0.000343886 0.000162813 45656 18426
0.202435 0 9.168e-05 0 0.000217085 0.000115491 0.000217085 45656 18426
0.197373 2.19029e-05 2.30167e-05 2.19029e-05 5.42711e-05 0.00016279 5.42711e-05 45656 18426
0.192310 0 5.38619e-05 0 0 0.000159889 0 45656 18426
0.187248 2.19029e-05 1.01708e-06 2.19029e-05 5.42711e-05 0.000107567 5.42711e-05 45656 18426
0.182185 0 2.24598e-05 0 5.42711e-05 4.10987e-05 5.42711e-05 45656 18426
0.177123 0 2.69309e-05 0 0 5.69541e-05 0 45656 18426
0.172060 0 0 0 0 9.53698e-05 0 45656 18426
0.166998 0 0 0 0 0.000131079 0 45656 18426
0.161935 0 0 0 0 0 0 45656 18426
0.156873 0 0 0 0 5.28737e-05 0 45656 18426
0.151810 0 2.23509e-05 0 0 0 0 45656 18426
0.146748 0 2.21327e-05 0 0 0 0 45656 18426
0.141685 0 0 0 0 0 0 45656 18426
0.136623 0 0 0 0 0 0 45656 18426
0.133248 0 0 0 0 0 0 45656 18426
0.129873 0 0 0 0 0 0 45656 18426
0.126498 0 0 0 0 0 0 45656 18426
0.123123 0 0 0 0 0 0 45656 18426
0.119748 0 0 0 0 0 0 45656 18426
0.116373 0 0 0 0 0 0 45656 18426
0.112998 0 0 0 0 0 0 45656 18426
0.109623 0 0 0 0 0 0 45656 18426
0.106248 0 0 0 0 0 0 45656 18426
0.102873 0 0 0 0 0 0 45656 18426
0.099498 0 0 0 0 0 0 45656 18426
0.096123 0 0 0 0 0 0 45656 18426
0.092748 0 0 0 0 0 0 45656 18426
0.089373 0 0 0 0 0 0 45656 18426
0.085998 0 0 0 0 0 0 45656 18426
0.082623 0 0 0 0 0 0 45656 18426
0.080373 0 0 0 0 0 0 45656 18426
0.078123 0 0 0 0 0 0 45656 18426
0.075873 0 0 0 0 0 0 45656 18426
0.073623 0 0 0 0 0 0 45656 18426
0.071373 0 0 0 0 0 0 45656 18426
0.069123 0 0 0 0 0 0 45656 18426
0.066873 0 0 0 0 0 0 45656 18426
0.064623 0 0 0 0 0 0 45656 18426
0.062373 0 0 0 0 0 0 45656 18426
0.060123 0 0 0 0 0 0 45656 18426
0.055623 0 0 0 0 0 0 45656 18426
