#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.08303e+07 8.2085e+08 4.89446e+06 6.09032e+08 6.7312e+08 2.5389e+08 2.08644e+09 1.2203e+07 1.62645e+09 1.89607e+09 9.09486e+08 14094
1.60078e+08 9.21674e+08 7.3917e+06 6.9722e+08 7.72417e+08 3.37679e+08 2.17902e+09 1.62991e+07 1.74201e+09 2.02384e+09 1.02505e+09 8747
2.53171e+08 9.73762e+08 6.90235e+06 7.22157e+08 8.44111e+08 3.58579e+08 2.27381e+09 1.50357e+07 1.85802e+09 2.02994e+09 1.02889e+09 11108
3.98461e+08 1.00407e+09 6.93015e+06 7.35125e+08 8.91294e+08 3.68795e+08 2.36867e+09 1.50991e+07 1.85802e+09 2.15234e+09 1.02889e+09 12271
6.28195e+08 1.04829e+09 7.50733e+06 7.94287e+08 9.26562e+08 4.26288e+08 2.40247e+09 1.56517e+07 1.97444e+09 2.15859e+09 1.14531e+09 11821
9.94309e+08 1.09509e+09 8.26361e+06 8.14837e+08 1.0173e+09 4.43256e+08 2.47621e+09 1.72298e+07 1.97444e+09 2.40471e+09 1.14531e+09 10719
1.57673e+09 1.14598e+09 9.44554e+06 8.31239e+08 1.06486e+09 4.59659e+08 2.57622e+09 1.88688e+07 2.09125e+09 2.41132e+09 1.26213e+09 9539
2.49735e+09 1.19459e+09 1.0712e+07 8.50454e+08 1.12398e+09 4.38645e+08 2.62141e+09 2.06563e+07 2.09125e+09 2.53496e+09 1.26213e+09 8485
3.96069e+09 1.24999e+09 1.18101e+07 9.12884e+08 1.21315e+09 4.96677e+08 2.66467e+09 2.25905e+07 2.09125e+09 2.65883e+09 1.26213e+09 7540
6.2654e+09 1.31795e+09 1.36356e+07 9.41735e+08 1.29982e+09 4.90444e+08 2.6505e+09 2.40857e+07 2.09125e+09 2.65883e+09 1.26213e+09 6685
9.99525e+09 1.42878e+09 1.65823e+07 9.87138e+08 1.4558e+09 5.30672e+08 2.72173e+09 2.71633e+07 2.09125e+09 2.7829e+09 1.29697e+09 5745
1.57039e+10 1.56125e+09 1.9373e+07 1.05862e+09 1.74175e+09 5.95425e+08 2.68147e+09 2.94928e+07 1.97444e+09 3.02396e+09 1.25748e+09 5026
2.47839e+10 1.68659e+09 2.3604e+07 1.16347e+09 1.87623e+09 6.84796e+08 2.65933e+09 3.31725e+07 1.97444e+09 2.89971e+09 1.25748e+09 4061
3.92511e+10 1.83095e+09 3.14963e+07 1.22035e+09 2.13325e+09 7.29164e+08 2.54318e+09 3.8653e+07 1.85802e+09 2.64455e+09 1.14106e+09 2775
6.13246e+10 2.1285e+09 4.66963e+07 1.39649e+09 2.55635e+09 8.3565e+08 2.53548e+09 5.26886e+07 1.74201e+09 3.00808e+09 1.03062e+09 1676
9.46879e+10 2.50149e+09 8.57129e+07 1.73334e+09 3.06945e+09 1.12902e+09 2.3444e+09 7.98014e+07 1.62642e+09 2.7119e+09 1.02119e+09 648
1.47763e+11 3.10446e+09 1.87773e+08 2.32608e+09 4.08295e+09 1.72085e+09 2.10389e+09 1.26494e+08 1.51125e+09 2.0113e+09 9.06013e+08 188
2.38096e+11 3.81155e+09 5.46239e+08 2.44409e+09 5.21549e+09 1.72713e+09 1.912e+09 2.98381e+08 1.05478e+09 3.11224e+09 5.60837e+08 37
3.50512e+11 2.84862e+09 1.13096e+09 3.52252e+09 3.0381e+09 3.06777e+09 1.85508e+09 9.19863e+08 1.00104e+09 5.3927e+09 6.67613e+08 6
8.4959e+11 8.79215e+09 8.79215e+09 8.79215e+09 0 0 1.97444e+09 1.97444e+09 1.97444e+09 0 0 1
