#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 8.636770e+12 (median) + 4.663230e+12  / - 2.313240e+12
#SM    Stats: 1.012320e+11 (median) + 5.799300e+10  / - 4.046190e+10
#ObsSM Stats: 1.021600e+11 (median) + 6.238900e+10  / - 4.247720e+10
#VMP   Stats: 3.065200e+02 (median) + 4.559000e+01  / - 3.260999e+01
#ICL   Stats: 3.491690e+09 (median) + 9.500410e+09  / - 2.365640e+09
#SSFR  Stats: 2.901062e-12 (median) + 3.871678e-11  / - 2.130496e-12
sfh 0.055623 0 0 0 #avg: 1.35615e-06; avg_err: 1.3554e-06; sd: 0.000155706; counts: 13198
sfh 0.060123 0 0 0 #avg: 0.000235794; avg_err: 3.80051e-05; sd: 0.00436595; counts: 13198
sfh 0.062373 0 0 0 #avg: 0.00188772; avg_err: 0.000220785; sd: 0.0253634; counts: 13198
sfh 0.064623 0 0 0 #avg: 0.00642868; avg_err: 0.000479111; sd: 0.0550394; counts: 13198
sfh 0.066873 0 0 0 #avg: 0.0160635; avg_err: 0.000958479; sd: 0.110108; counts: 13198
sfh 0.069123 0 0 0 #avg: 0.0340557; avg_err: 0.00181459; sd: 0.208456; counts: 13198
sfh 0.071373 0 0.0226017 0 #avg: 0.0592914; avg_err: 0.00251134; sd: 0.288499; counts: 13198
sfh 0.073623 0 0.0701514 0 #avg: 0.0895664; avg_err: 0.00335711; sd: 0.385659; counts: 13198
sfh 0.075873 0 0.143017 0 #avg: 0.131779; avg_err: 0.00445565; sd: 0.511857; counts: 13198
sfh 0.078123 0.00470996 0.235973 0.00470996 #avg: 0.176484; avg_err: 0.00554623; sd: 0.637141; counts: 13198
sfh 0.080373 0.0229366 0.328228 0.0229366 #avg: 0.229069; avg_err: 0.00759919; sd: 0.872981; counts: 13198
sfh 0.082623 0.052027 0.380402 0.052027 #avg: 0.264431; avg_err: 0.00665745; sd: 0.764796; counts: 13198
sfh 0.085998 0.115329 0.533375 0.114715 #avg: 0.392635; avg_err: 0.00877459; sd: 1.00801; counts: 13198
sfh 0.089373 0.199381 0.669758 0.184557 #avg: 0.52263; avg_err: 0.0107342; sd: 1.23312; counts: 13198
sfh 0.092748 0.299803 0.811627 0.257095 #avg: 0.671458; avg_err: 0.0112774; sd: 1.29552; counts: 13198
sfh 0.096123 0.414489 1.00012 0.333084 #avg: 0.859017; avg_err: 0.0142009; sd: 1.63138; counts: 13198
sfh 0.099498 0.548646 1.13242 0.418112 #avg: 1.07264; avg_err: 0.0172252; sd: 1.9788; counts: 13198
sfh 0.102873 0.688622 1.34284 0.499446 #avg: 1.31179; avg_err: 0.0213297; sd: 2.45032; counts: 13198
sfh 0.106248 0.821361 1.60766 0.570147 #avg: 1.55872; avg_err: 0.0259356; sd: 2.97943; counts: 13198
sfh 0.109623 0.982192 1.80736 0.65981 #avg: 1.81299; avg_err: 0.0287384; sd: 3.30142; counts: 13198
sfh 0.112998 1.14322 2.08018 0.763249 #avg: 2.09023; avg_err: 0.0349487; sd: 4.01485; counts: 13198
sfh 0.116373 1.2962 2.32401 0.851675 #avg: 2.38318; avg_err: 0.0396049; sd: 4.54974; counts: 13198
sfh 0.119748 1.4366 2.62601 0.934697 #avg: 2.66179; avg_err: 0.0431549; sd: 4.95755; counts: 13198
sfh 0.123123 1.60223 3.00093 1.03828 #avg: 2.97363; avg_err: 0.0544505; sd: 6.25518; counts: 13198
sfh 0.126498 1.76976 3.28145 1.13149 #avg: 3.24583; avg_err: 0.0555014; sd: 6.3759; counts: 13198
sfh 0.129873 1.9302 3.6711 1.22849 #avg: 3.53852; avg_err: 0.0555118; sd: 6.3771; counts: 13198
sfh 0.133248 2.12428 4.00843 1.34828 #avg: 3.8564; avg_err: 0.0561536; sd: 6.45083; counts: 13198
sfh 0.136623 2.31202 4.27573 1.46111 #avg: 4.22069; avg_err: 0.0648565; sd: 7.4506; counts: 13198
sfh 0.141685 2.60816 4.91636 1.65864 #avg: 4.77492; avg_err: 0.0681042; sd: 7.82368; counts: 13198
sfh 0.146748 2.91002 5.46013 1.8434 #avg: 5.31869; avg_err: 0.0761176; sd: 8.74425; counts: 13198
sfh 0.15181 3.17805 6.00929 2.00291 #avg: 5.94961; avg_err: 0.0897176; sd: 10.3066; counts: 13198
sfh 0.156873 3.4839 6.6184 2.2039 #avg: 6.51308; avg_err: 0.0951146; sd: 10.9266; counts: 13198
sfh 0.161935 3.78689 7.41901 2.43992 #avg: 7.11001; avg_err: 0.103765; sd: 11.9204; counts: 13198
sfh 0.166998 4.07781 7.95769 2.6179 #avg: 7.82439; avg_err: 0.114973; sd: 13.2079; counts: 13198
sfh 0.17206 4.33785 8.67405 2.78121 #avg: 8.55243; avg_err: 0.131921; sd: 15.1548; counts: 13198
sfh 0.177123 4.702 9.5845 3.03526 #avg: 9.30303; avg_err: 0.145853; sd: 16.7554; counts: 13198
sfh 0.182185 5.04153 10.3434 3.29141 #avg: 10.1534; avg_err: 0.179119; sd: 20.5769; counts: 13198
sfh 0.187248 5.40099 11.2778 3.56479 #avg: 10.897; avg_err: 0.16714; sd: 19.2007; counts: 13198
sfh 0.19231 5.66916 12.6802 3.70074 #avg: 11.8396; avg_err: 0.181844; sd: 20.8899; counts: 13198
sfh 0.197373 6.1663 13.7967 4.11929 #avg: 12.7815; avg_err: 0.200483; sd: 23.0311; counts: 13198
sfh 0.202435 6.64582 14.6998 4.47905 #avg: 13.6974; avg_err: 0.216826; sd: 24.9085; counts: 13198
sfh 0.207498 7.01841 15.9595 4.72959 #avg: 14.7432; avg_err: 0.2344; sd: 26.9274; counts: 13198
sfh 0.21256 7.60503 17.0575 5.15114 #avg: 16.0727; avg_err: 0.262172; sd: 30.1179; counts: 13198
sfh 0.217623 8.15311 18.7747 5.62188 #avg: 17.16; avg_err: 0.27223; sd: 31.2733; counts: 13198
sfh 0.222685 8.64604 20.6404 5.97466 #avg: 18.345; avg_err: 0.285482; sd: 32.7957; counts: 13198
sfh 0.227748 9.3467 22.296 6.51536 #avg: 19.6876; avg_err: 0.290862; sd: 33.4137; counts: 13198
sfh 0.23281 9.94473 24.5037 6.94606 #avg: 21.1949; avg_err: 0.312473; sd: 35.8963; counts: 13198
sfh 0.237873 10.5098 26.1324 7.37027 #avg: 22.5616; avg_err: 0.336408; sd: 38.6459; counts: 13198
sfh 0.242935 11.0548 28.0403 7.76978 #avg: 23.9418; avg_err: 0.349099; sd: 40.1039; counts: 13198
sfh 0.247998 11.7259 30.2037 8.28241 #avg: 25.3036; avg_err: 0.370876; sd: 42.6055; counts: 13198
