#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.75 - 12.25
#HM    Stats: 7.741180e+11 (median) + 3.970620e+11  / - 1.616180e+11
#SM    Stats: 6.686440e+09 (median) + 8.306160e+09  / - 3.396690e+09
#ObsSM Stats: 6.570090e+09 (median) + 1.162621e+10  / - 4.149750e+09
#VMP   Stats: 2.461800e+02 (median) + 3.772000e+01  / - 2.071999e+01
#ICL   Stats: 6.186120e+07 (median) + 1.478848e+08  / - 4.640340e+07
#SSFR  Stats: 3.206372e-09 (median) + 5.842760e-09  / - 2.106146e-09
sfh 0.055623 0 0 0 #avg: 1.24328e-06; avg_err: 1.18302e-06; sd: 0.000145531; counts: 15134
sfh 0.060123 0 0 0 #avg: 0.000565623; avg_err: 5.9038e-05; sd: 0.00726263; counts: 15134
sfh 0.062373 0 0 0 #avg: 0.00380993; avg_err: 0.000274365; sd: 0.0337513; counts: 15134
sfh 0.064623 0 0 0 #avg: 0.0119812; avg_err: 0.000637586; sd: 0.0784335; counts: 15134
sfh 0.066873 0 0 0 #avg: 0.0303521; avg_err: 0.0013079; sd: 0.160892; counts: 15134
sfh 0.069123 0 0.0171847 0 #avg: 0.0583948; avg_err: 0.00220324; sd: 0.271034; counts: 15134
sfh 0.071373 0 0.06954 0 #avg: 0.0984272; avg_err: 0.0034753; sd: 0.427518; counts: 15134
sfh 0.073623 0 0.141174 0 #avg: 0.143987; avg_err: 0.00433819; sd: 0.533668; counts: 15134
sfh 0.075873 0 0.242192 0 #avg: 0.202152; avg_err: 0.00594434; sd: 0.731251; counts: 15134
sfh 0.078123 0.00734908 0.348732 0.00734908 #avg: 0.265754; avg_err: 0.00746918; sd: 0.918831; counts: 15134
sfh 0.080373 0.027127 0.445832 0.027127 #avg: 0.322933; avg_err: 0.0079342; sd: 0.976035; counts: 15134
sfh 0.082623 0.0558281 0.502291 0.0558281 #avg: 0.368384; avg_err: 0.00876908; sd: 1.07874; counts: 15134
sfh 0.085998 0.110841 0.668128 0.110841 #avg: 0.525773; avg_err: 0.0123957; sd: 1.52488; counts: 15134
sfh 0.089373 0.176681 0.812377 0.172171 #avg: 0.659758; avg_err: 0.014753; sd: 1.81486; counts: 15134
sfh 0.092748 0.247637 1.02065 0.227552 #avg: 0.817792; avg_err: 0.0161683; sd: 1.98896; counts: 15134
sfh 0.096123 0.334756 1.23033 0.292371 #avg: 1.01022; avg_err: 0.0192758; sd: 2.37124; counts: 15134
sfh 0.099498 0.422278 1.49524 0.352109 #avg: 1.2562; avg_err: 0.0241574; sd: 2.97175; counts: 15134
sfh 0.102873 0.535003 1.85206 0.432768 #avg: 1.52717; avg_err: 0.0288565; sd: 3.54981; counts: 15134
sfh 0.106248 0.67729 2.1687 0.543186 #avg: 1.81524; avg_err: 0.0335383; sd: 4.12576; counts: 15134
sfh 0.109623 0.814029 2.61494 0.639556 #avg: 2.13066; avg_err: 0.0388786; sd: 4.7827; counts: 15134
sfh 0.112998 0.981411 2.99734 0.763084 #avg: 2.44747; avg_err: 0.0406154; sd: 4.99635; counts: 15134
sfh 0.116373 1.15432 3.45015 0.885741 #avg: 2.82324; avg_err: 0.0463004; sd: 5.6957; counts: 15134
sfh 0.119748 1.3607 3.87808 1.04617 #avg: 3.21852; avg_err: 0.0502171; sd: 6.17752; counts: 15134
sfh 0.123123 1.55666 4.32149 1.18824 #avg: 3.65269; avg_err: 0.0602765; sd: 7.41498; counts: 15134
sfh 0.126498 1.82805 4.83386 1.39658 #avg: 4.12039; avg_err: 0.0669788; sd: 8.23948; counts: 15134
sfh 0.129873 2.07599 5.39551 1.56977 #avg: 4.62592; avg_err: 0.0745734; sd: 9.17374; counts: 15134
sfh 0.133248 2.34791 5.92115 1.75536 #avg: 5.12769; avg_err: 0.0766663; sd: 9.4312; counts: 15134
sfh 0.136623 2.65977 6.42745 1.96194 #avg: 5.68519; avg_err: 0.0847683; sd: 10.4279; counts: 15134
sfh 0.141685 3.18039 7.75261 2.34135 #avg: 6.68165; avg_err: 0.0984692; sd: 12.1133; counts: 15134
sfh 0.146748 3.7428 9.1085 2.69927 #avg: 7.87014; avg_err: 0.117906; sd: 14.5044; counts: 15134
sfh 0.15181 4.36375 10.328 3.13309 #avg: 9.00506; avg_err: 0.127498; sd: 15.6844; counts: 15134
sfh 0.156873 5.08328 11.8222 3.58689 #avg: 10.2784; avg_err: 0.1415; sd: 17.4068; counts: 15134
sfh 0.161935 6.00929 13.0813 4.22903 #avg: 11.671; avg_err: 0.152277; sd: 18.7326; counts: 15134
sfh 0.166998 6.98916 15.1572 4.83289 #avg: 13.2972; avg_err: 0.165437; sd: 20.3514; counts: 15134
sfh 0.17206 8.12588 16.6431 5.52547 #avg: 14.9594; avg_err: 0.182138; sd: 22.406; counts: 15134
