#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.225e+07 5.58016e+08 5.87286e+06 4.57264e+08 3.71842e+08 1.23703e+08 1.3391e+09 1.68979e+07 1.12466e+09 9.99364e+08 5.00674e+08 2339
1.59367e+08 6.04911e+08 8.08748e+06 4.99873e+08 4.15482e+08 1.66212e+08 1.36908e+09 2.00525e+07 1.12466e+09 1.08226e+09 5.00674e+08 1610
2.53357e+08 6.14407e+08 7.71006e+06 5.00466e+08 4.16934e+08 1.66904e+08 1.39348e+09 1.93363e+07 1.12466e+09 1.16507e+09 5.00674e+08 2004
3.98909e+08 6.22005e+08 6.92439e+06 5.00671e+08 4.14684e+08 1.6701e+08 1.45386e+09 1.80764e+07 1.20812e+09 1.08161e+09 5.84132e+08 2290
6.30321e+08 6.4354e+08 6.83964e+06 5.00725e+08 4.17069e+08 1.6706e+08 1.4673e+09 1.71062e+07 1.20812e+09 1.16432e+09 5.84132e+08 2645
1.00656e+09 6.74093e+08 7.17839e+06 5.78114e+08 4.22915e+08 2.44373e+08 1.51587e+09 1.68214e+07 1.29157e+09 1.16347e+09 6.67579e+08 2973
1.58827e+09 7.05253e+08 7.32837e+06 5.82642e+08 4.91895e+08 2.48902e+08 1.52832e+09 1.55665e+07 1.29157e+09 1.16347e+09 6.67579e+08 3414
2.52111e+09 7.30549e+08 7.26184e+06 5.83762e+08 5.00755e+08 2.50018e+08 1.56265e+09 1.51902e+07 1.29157e+09 1.24596e+09 6.67579e+08 3901
3.99985e+09 7.73092e+08 7.50278e+06 5.84172e+08 5.83692e+08 2.50371e+08 1.58273e+09 1.41485e+07 1.375e+09 1.16253e+09 7.51009e+08 4407
6.32058e+09 8.1726e+08 7.63923e+06 6.6191e+08 5.89154e+08 3.28073e+08 1.61643e+09 1.38417e+07 1.375e+09 1.2449e+09 7.07419e+08 5010
1.00288e+10 8.58602e+08 7.49513e+06 6.67511e+08 6.6373e+08 2.71966e+08 1.65164e+09 1.30416e+07 1.4584e+09 1.24374e+09 8.34415e+08 5753
1.5921e+10 9.03477e+08 7.43202e+06 7.42184e+08 6.74873e+08 3.32404e+08 1.6544e+09 1.23603e+07 1.4584e+09 1.24374e+09 7.51008e+08 6389
2.50729e+10 9.55204e+08 8.03306e+06 7.50692e+08 7.48835e+08 3.38283e+08 1.69302e+09 1.2937e+07 1.4584e+09 1.35003e+09 8.34415e+08 6513
3.94901e+10 1.00235e+09 9.0516e+06 7.90825e+08 8.34303e+08 3.76375e+08 1.68915e+09 1.40572e+07 1.375e+09 1.49121e+09 7.51009e+08 5742
6.20742e+10 1.05957e+09 1.12993e+07 8.34304e+08 8.92563e+08 4.17294e+08 1.63055e+09 1.67383e+07 1.33265e+09 1.43889e+09 7.08661e+08 4022
9.62387e+10 1.08567e+09 1.6351e+07 8.74274e+08 8.74848e+08 4.57006e+08 1.58523e+09 2.31941e+07 1.29157e+09 1.41057e+09 6.67579e+08 2013
1.50576e+11 1.15807e+09 3.25813e+07 8.74274e+08 1.01924e+09 4.5698e+08 1.48268e+09 3.99561e+07 1.16629e+09 1.28875e+09 5.82246e+08 631
2.32365e+11 1.22085e+09 7.77102e+07 9.17793e+08 1.18323e+09 5.00525e+08 1.29386e+09 7.12485e+07 1.0412e+09 9.16791e+08 4.17209e+08 135
3.74864e+11 1.26027e+09 1.93358e+08 1.25088e+09 5.80947e+08 7.50294e+08 1.02767e+09 1.58576e+08 6.23988e+08 1.25088e+09 8.33789e+07 16
5.96638e+11 1.26826e+09 7.2765e+08 1.99591e+09 0 1.4553e+09 1.02068e+09 3.96695e+08 1.41738e+09 0 7.9339e+08 2
