#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.25 - 11.75
#HM    Stats: 1.770590e+13 (median) + 3.335290e+13  / - 1.031472e+13
#SM    Stats: 2.212240e+11 (median) + 8.602300e+10  / - 3.284699e+10
#ObsSM Stats: 2.247930e+11 (median) + 9.889500e+10  / - 4.847000e+10
#VMP   Stats: 3.866100e+02 (median) + 1.526100e+02  / - 9.366998e+01
#ICL   Stats: 1.145070e+10 (median) + 4.887800e+10  / - 9.399560e+09
#SSFR  Stats: 2.615968e-11 (median) + 4.764280e-11  / - 1.329427e-11
sfh 0.055623 0 0 0 #avg: 1.9529e-05; avg_err: 1.9529e-05; sd: 0.000590733; counts: 916
sfh 0.060123 0 0 0 #avg: 0.000908465; avg_err: 0.000288631; sd: 0.00873078; counts: 916
sfh 0.062373 0 0 0 #avg: 0.0080363; avg_err: 0.00145397; sd: 0.0439811; counts: 916
sfh 0.064623 0 0 0 #avg: 0.0214779; avg_err: 0.00326283; sd: 0.0986972; counts: 916
sfh 0.066873 0 0.0404464 0 #avg: 0.0528465; avg_err: 0.00673305; sd: 0.203668; counts: 916
sfh 0.069123 0 0.133478 0 #avg: 0.112688; avg_err: 0.0127885; sd: 0.386839; counts: 916
sfh 0.071373 0 0.299169 0 #avg: 0.210994; avg_err: 0.0298302; sd: 0.902334; counts: 916
sfh 0.073623 0.0128098 0.461617 0.0128098 #avg: 0.28788; avg_err: 0.0253175; sd: 0.765827; counts: 916
sfh 0.075873 0.0517013 0.643987 0.0517013 #avg: 0.407866; avg_err: 0.0321022; sd: 0.971059; counts: 916
sfh 0.078123 0.0929144 0.903987 0.0929144 #avg: 0.584651; avg_err: 0.042824; sd: 1.29538; counts: 916
sfh 0.080373 0.172659 1.03309 0.172659 #avg: 0.832189; avg_err: 0.0872921; sd: 2.6405; counts: 916
sfh 0.082623 0.272758 1.11539 0.262786 #avg: 0.852897; avg_err: 0.0625234; sd: 1.89127; counts: 916
