#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.26196e+07 1 0 2.50118e+07 4.74852e+06 0 0 0 0.163981 0.00156839 0.157934 0.0448642 0.0310254 0.22266 0.00157761 0.224816 0.039214 0.0445804 0.278489 0.00114643 0.28356 0.0206473 0.0309359 607
1.60928e+08 0.998168 0.0018315 4.57881e+07 6.72382e+06 0 0 0 0.163753 0.00168071 0.15939 0.0475336 0.035965 0.226862 0.00169498 0.227054 0.0430509 0.0433249 0.283986 0.00106598 0.288259 0.0189127 0.0273671 546
2.52692e+08 0.998654 0.0013459 4.89388e+07 5.56016e+06 0 0 0 0.167269 0.00136658 0.164118 0.0418721 0.0333714 0.232838 0.00138957 0.233291 0.0409222 0.0419853 0.287227 0.000836382 0.290271 0.0190255 0.025268 743
4.01052e+08 1 0 6.06237e+07 5.5194e+06 0 0 0 0.171347 0.00117334 0.168008 0.0430599 0.0340372 0.234392 0.00115175 0.235122 0.0395518 0.0388776 0.289494 0.000673544 0.29292 0.0172462 0.0237816 1029
6.37981e+08 0.999282 0.000717875 8.77145e+07 5.85805e+06 0 3.09613e+08 0 0.171276 0.00100821 0.168241 0.0413246 0.0350109 0.23546 0.00098913 0.237442 0.03749 0.0407262 0.289823 0.000598229 0.293973 0.0168615 0.0249878 1393
1.0052e+09 0.998425 0.000908735 1.14262e+08 5.75309e+06 0 3.60165e+08 0 0.174926 0.000855532 0.172951 0.0408278 0.0370237 0.240029 0.000810447 0.243445 0.0336996 0.0396587 0.291767 0.00050335 0.295478 0.0165731 0.023771 1905
1.59016e+09 0.998617 0.00079818 1.47072e+08 6.18421e+06 0 4.66944e+08 0 0.180656 0.000805492 0.177754 0.042322 0.0349511 0.242453 0.000738011 0.243983 0.0356133 0.0362023 0.291925 0.000479543 0.295819 0.0168855 0.0262537 2169
2.52885e+09 0.998817 0.000682985 1.85131e+08 6.5134e+06 0 5.36715e+08 0 0.182507 0.000735274 0.179877 0.0406401 0.0353585 0.245221 0.000670032 0.248016 0.0318203 0.037052 0.293355 0.000447137 0.298155 0.0155411 0.0256988 2535
3.96895e+09 0.999303 0.0004925 2.42224e+08 6.79897e+06 0 6.74785e+08 0 0.186868 0.000695412 0.184131 0.0422322 0.035858 0.248395 0.000611213 0.250829 0.0319508 0.0362144 0.293392 0.000440743 0.298288 0.0172653 0.0277184 2871
6.32643e+09 0.998689 0.0006552 2.93105e+08 7.23499e+06 0 7.43049e+08 0 0.192209 0.000664661 0.189904 0.0410797 0.0363326 0.251954 0.000589025 0.254556 0.0307572 0.0361591 0.293711 0.00044608 0.298706 0.0180557 0.0280752 3051
1.00199e+10 1 0 3.50523e+08 7.86304e+06 0 8.10788e+08 0 0.194114 0.000653163 0.192246 0.039951 0.035538 0.253667 0.000588615 0.257416 0.0304332 0.0390363 0.292816 0.000468232 0.299098 0.0182335 0.0307735 3193
1.58606e+10 0.999149 0.000491083 4.22627e+08 8.22159e+06 3.60165e+08 5.84489e+08 3.60165e+08 0.198155 0.000627348 0.196133 0.0413314 0.0362094 0.255711 0.000563806 0.258825 0.0316897 0.037805 0.292549 0.000468595 0.299885 0.0181395 0.035336 3526
2.51124e+10 0.999161 0.000484354 4.82341e+08 8.50603e+06 3.60165e+08 6.50595e+08 3.60165e+08 0.20035 0.000620931 0.19844 0.0421165 0.0366593 0.255021 0.000561965 0.259531 0.0301251 0.0394272 0.289743 0.000491328 0.29678 0.0204462 0.0367258 3575
3.97318e+10 0.99973 0.000269687 5.41932e+08 8.57039e+06 4.66944e+08 6.09358e+08 4.66944e+08 0.199467 0.000611547 0.198612 0.0410631 0.0370266 0.252035 0.000566206 0.256909 0.0303509 0.0418171 0.286296 0.00049873 0.29347 0.0215981 0.0391565 3708
6.23083e+10 0.99934 0.00046666 5.82574e+08 9.68568e+06 5.36715e+08 6.04553e+08 5.36715e+08 0.197721 0.000659081 0.196658 0.0387366 0.0366848 0.246682 0.00063033 0.250059 0.0327545 0.0395412 0.281508 0.000582957 0.288292 0.0237769 0.0401361 3030
9.70749e+10 0.999459 0.000540833 6.17169e+08 1.27308e+07 5.36715e+08 6.68934e+08 5.36715e+08 0.194553 0.000806965 0.192382 0.0382589 0.0336187 0.24122 0.000796035 0.242841 0.0338111 0.0383811 0.277602 0.00075711 0.283013 0.026964 0.0399166 1849
1.50185e+11 1 0 6.05341e+08 2.07638e+07 6.06006e+08 5.99643e+08 6.06006e+08 0.193177 0.00136345 0.191908 0.0378028 0.0343219 0.238668 0.0013269 0.239625 0.0334443 0.0359496 0.277783 0.00123605 0.282068 0.0277386 0.0370043 646
2.28558e+11 1 0 5.84729e+08 6.28682e+07 5.36715e+08 6.68934e+08 5.36715e+08 0.198454 0.00363413 0.194166 0.0409717 0.0260763 0.243833 0.00400552 0.2425 0.0325763 0.0311332 0.279049 0.0040232 0.283705 0.0312905 0.0352712 78
3.58456e+11 1 0 3.19941e+08 1.89459e+08 5.36715e+08 2.06334e+08 5.36715e+08 0.181592 0.0034405 0.180813 0.010712 0.00445837 0.233433 0.010774 0.239637 0.0195282 0.03172 0.270827 0.0183672 0.272066 0.0500158 0.0320588 4
