#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.6879e+07 4.34669e-05 4.34669e-05 1.44887e-05 0 0 0 0.00032872 1.07925e-05 0 0 0 207054
1.56708e+08 0.000155781 0.000155781 4.69664e-05 0 0 0 0.000866097 3.31254e-05 0 0 0 70612
2.48182e+08 0.000376378 0.000376378 8.41457e-05 0 0 0 0.0017272 5.59371e-05 0 0 0 53138
3.93681e+08 0.000434261 0.000434261 0.000105302 0 0 0 0.0029488 8.66764e-05 0 0 0 39147
6.23173e+08 0.00132473 0.00132473 0.000211989 0 0 0 0.00528033 0.000140293 0 0 0 29440
9.86819e+08 0.00260562 0.00260562 0.000347745 0 0 0 0.00894865 0.00022484 0 0 0 21492
1.56706e+09 0.00426494 0.00426494 0.000523874 0 0 0 0.0145542 0.000353503 0 0.0236155 0 15475
2.48323e+09 0.00671199 0.00671199 0.000762365 0 0 0 0.0216104 0.000516163 0 0.0392112 0 11472
3.93793e+09 0.00946717 0.00946717 0.00106692 0 0 0 0.0317322 0.000751921 0 0.0712531 0 8239
6.23e+09 0.0133987 0.0133987 0.00146981 0 0 0 0.0463477 0.00107256 0 0.112261 0 6120
9.89502e+09 0.0182721 0.0182721 0.00201182 0 0 0 0.063136 0.00148942 0 0.156015 0 4433
1.57084e+10 0.0258359 0.0258359 0.00276628 0 0 0 0.0814981 0.00196801 0.0250671 0.164423 0.0250671 3290
2.49032e+10 0.0366599 0.0366599 0.00379357 0 0 0 0.0936888 0.00243111 0.0386213 0.183433 0.0386213 2455
3.91913e+10 0.0345016 0.0345016 0.00427232 0 0 0 0.113681 0.00307265 0.0676079 0.181449 0.0676079 1826
6.20124e+10 0.0474547 0.0474547 0.00624782 0 0 0 0.118962 0.00375256 0.0779788 0.183874 0.0779788 1159
9.68259e+10 0.0208333 0.0208333 0.00551374 0 0 0 0.119183 0.00495094 0.0766538 0.192614 0.0766538 672
1.51651e+11 0.0454545 0.0454545 0.0128443 0 0 0 0.13087 0.00855172 0.0868151 0.183273 0.0868151 264
2.41076e+11 0.025974 0.025974 0.0182452 0 0 0 0.100104 0.0136749 0.0575296 0.147652 0.0575296 77
3.68589e+11 0 0 0 0 0 0 0.168732 0.0320257 0.181034 0.130918 0.181034 15
5.77627e+11 0 0 0 0 0 0 0.0403712 0.0243326 0.0370227 0.0470681 0.0370227 3
