#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
43.1557 0.0767357 0.0816078 0.0101628 0 0 0 0.0886408 0.00413265 0.0410966 0.130201 0.0322171 821
64.6396 0.00413907 0.00413907 0.00184798 0 0 0 0.0309355 0.00109706 0.0236874 0.0333312 0.0154539 1208
81.8831 0.00766111 0.00766111 0.00130897 0 0 0 0.0401876 0.000637312 0.0246802 0.0480959 0.0167115 4438
101.372 0.0232897 0.0236322 0.00142635 0 0 0 0.0560508 0.000491606 0.0393161 0.0625004 0.0313474 11679
126.854 0.0546807 0.055604 0.00167145 0 0 0 0.0795134 0.000505149 0.056325 0.088785 0.0344936 19495
158.749 0.108642 0.111466 0.00206978 0 0 0 0.116698 0.00059546 0.0965222 0.113958 0.0732987 24438
198.94 0.165324 0.172253 0.00260418 0 1 0 0.167641 0.000759199 0.144825 0.1426 0.092599 23094
249.325 0.19722 0.20709 0.00327871 0 1 0 0.219854 0.00103389 0.200252 0.164177 0.119248 17123
312.54 0.178294 0.187524 0.00408113 0 1 0 0.26039 0.00147824 0.242022 0.179984 0.143973 10292
392.661 0.147421 0.152232 0.00516672 0 0 0 0.267667 0.00217803 0.248701 0.183742 0.141081 5196
492.84 0.113722 0.115132 0.00701586 0 0 0 0.251989 0.00326965 0.225657 0.176236 0.129976 2128
617.705 0.117647 0.120205 0.0119147 0 0 0 0.219291 0.00480291 0.205797 0.142966 0.125632 782
779.445 0.112971 0.112971 0.0205193 0 0 0 0.211971 0.0086379 0.193242 0.161614 0.113588 239
958.953 0.075 0.075 0.0421764 0 0 0 0.147321 0.01351 0.123703 0.0980943 0.0586477 40
1159.53 0.333333 0.333333 0.333333 0 1 0 0.126958 0.0535368 0.163976 0.0314834 0.142537 3
1455.08 0 0 0 0 0 0 0.128515 0.121193 0.249708 0 0.242386 2
