#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.65178e+07 4.66593e+08 1.10193e+07 3.99279e+08 2.34519e+08 8.12984e+07 9.39904e+08 2.57771e+07 7.73094e+08 6.35825e+08 2.42217e+08 324
1.58922e+08 4.80442e+08 1.22738e+07 3.99279e+08 2.38504e+08 8.12984e+07 9.13271e+08 2.29637e+07 7.73094e+08 5.57248e+08 2.42217e+08 315
2.55818e+08 4.84217e+08 1.04925e+07 4.01557e+08 2.79531e+08 8.35762e+07 9.45394e+08 2.27117e+07 8.53413e+08 5.55505e+08 3.22537e+08 400
3.95548e+08 5.15119e+08 1.04602e+07 4.50865e+08 2.58538e+08 1.32885e+08 9.72379e+08 1.90703e+07 8.53413e+08 5.55505e+08 3.22537e+08 576
6.32903e+08 5.12432e+08 8.60101e+06 4.36846e+08 2.79514e+08 1.17887e+08 9.84187e+08 1.84816e+07 8.53413e+08 6.33798e+08 3.22537e+08 717
1.00905e+09 5.21523e+08 8.43658e+06 4.55233e+08 2.67394e+08 1.36273e+08 9.79457e+08 1.60231e+07 8.53413e+08 6.33798e+08 3.22537e+08 827
1.58903e+09 5.48539e+08 8.14432e+06 4.76928e+08 3.04192e+08 1.57024e+08 9.62798e+08 1.46193e+07 8.53413e+08 6.33798e+08 3.22537e+08 1000
2.52209e+09 5.68574e+08 8.31811e+06 4.78397e+08 3.21069e+08 1.58493e+08 9.90826e+08 1.4679e+07 8.53413e+08 6.33798e+08 3.22537e+08 1101
4.01071e+09 5.84008e+08 8.08561e+06 4.82497e+08 3.90157e+08 1.62593e+08 1.00686e+09 1.38621e+07 8.53413e+08 7.11799e+08 3.22537e+08 1327
6.33386e+09 6.3169e+08 8.39117e+06 5.51839e+08 3.8877e+08 2.29302e+08 9.80877e+08 1.22917e+07 8.53413e+08 6.33798e+08 3.22537e+08 1550
1.01126e+10 6.47505e+08 8.01985e+06 5.53702e+08 3.93507e+08 2.31165e+08 1.01057e+09 1.14273e+07 8.53413e+08 7.11799e+08 3.22537e+08 1979
1.59164e+10 7.10033e+08 8.10414e+06 6.11817e+08 4.81181e+08 2.88469e+08 1.03061e+09 1.03291e+07 9.3351e+08 6.31703e+08 4.02633e+08 2407
2.51572e+10 7.25618e+08 7.77064e+06 6.15082e+08 4.96954e+08 2.59105e+08 1.07342e+09 1.00498e+07 9.3351e+08 7.09403e+08 4.02633e+08 2793
3.97027e+10 7.13275e+08 7.65148e+06 6.12424e+08 4.72215e+08 2.41115e+08 1.1116e+09 1.0667e+07 1.01337e+09 7.06929e+08 4.82497e+08 2650
6.22156e+10 7.19822e+08 9.56159e+06 6.06892e+08 5.01594e+08 2.48632e+08 1.16179e+09 1.46186e+07 1.01337e+09 8.60745e+08 4.82497e+08 1821
9.60311e+10 7.59654e+08 1.53772e+07 6.39673e+08 5.37759e+08 2.79177e+08 1.10213e+09 2.10389e+07 9.3351e+08 8.63865e+08 4.02633e+08 822
1.47969e+11 7.74932e+08 2.88643e+07 6.39673e+08 5.37759e+08 2.45459e+08 1.01716e+09 3.93332e+07 8.53413e+08 7.11799e+08 3.79575e+08 229
2.33767e+11 7.68781e+08 7.21576e+07 7.09403e+08 3.99083e+08 3.08964e+08 8.20321e+08 6.24648e+07 6.92559e+08 4.79814e+08 2.42813e+08 38
3.67882e+11 1.06923e+09 4.14609e+08 8.53413e+08 1.0171e+09 3.69649e+08 6.41528e+08 1.5302e+08 5.30876e+08 4.13085e+08 8.1131e+07 3
