#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
47.2075 6.52055e+08 1.66726e+06 4.95871e+08 4.55612e+08 1.47853e+08 2.36102e+09 8.3846e+06 1.74201e+09 2.14595e+09 1.02505e+09 55381
63.4161 7.11708e+08 1.91678e+06 5.69512e+08 5.14934e+08 2.19064e+08 2.11524e+09 6.17593e+06 1.74201e+09 1.78051e+09 1.02505e+09 57428
80.0752 8.27837e+08 2.0919e+06 6.11936e+08 6.85762e+08 2.55664e+08 2.41493e+09 5.97231e+06 1.97444e+09 2.15859e+09 1.14531e+09 78214
99.8233 9.59735e+08 2.45694e+06 7.1696e+08 8.35814e+08 3.52437e+08 2.70603e+09 6.43883e+06 2.20847e+09 2.54162e+09 1.37934e+09 87059
124.889 1.12341e+09 3.40533e+06 8.29125e+08 1.02889e+09 4.29846e+08 2.93328e+09 7.98545e+06 2.32608e+09 2.94205e+09 1.48479e+09 68434
156.514 1.3896e+09 5.63215e+06 1.0173e+09 1.35522e+09 5.54113e+08 2.91684e+09 1.05947e+07 2.32608e+09 2.94205e+09 1.49696e+09 40771
196.305 1.8414e+09 1.10023e+07 1.33266e+09 1.95007e+09 8.13715e+08 2.5885e+09 1.43768e+07 1.97444e+09 2.65178e+09 1.16534e+09 19400
246.437 2.58709e+09 2.41067e+07 1.91555e+09 2.88724e+09 1.21347e+09 2.10162e+09 1.92778e+07 1.62642e+09 2.01761e+09 9.0946e+08 7345
309.494 3.59307e+09 5.50223e+07 2.9305e+09 3.88025e+09 2.10137e+09 1.73315e+09 2.80196e+07 1.28215e+09 1.63771e+09 6.76918e+08 2352
389.572 4.73273e+09 1.18635e+08 4.45226e+09 4.3295e+09 3.40466e+09 1.388e+09 3.79409e+07 1.05952e+09 1.14894e+09 5.65581e+08 750
490.561 5.44855e+09 2.39283e+08 5.41952e+09 4.15174e+09 4.36474e+09 1.14737e+09 5.03363e+07 9.41735e+08 8.0497e+08 4.47792e+08 204
623.94 6.38267e+09 4.32575e+08 6.56062e+09 3.58906e+09 5.04937e+09 1.12285e+09 8.24134e+07 1.05478e+09 5.93876e+08 5.60837e+08 71
779.671 6.61487e+09 7.53305e+08 7.80552e+09 2.50049e+09 6.29427e+09 9.91366e+08 1.21305e+08 7.31699e+08 1.12155e+09 2.37757e+08 25
1036.22 6.39699e+09 2.59886e+09 1.0165e+10 1.2689e+09 9.3359e+09 1.03519e+09 3.1357e+08 1.34267e+09 3.9934e+08 1.00354e+09 4
1286.66 4.25596e+09 4.25596e+09 4.25596e+09 0 0 4.94123e+08 4.94123e+08 4.94123e+08 0 0 1
