#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#mpeak range: 12.25 - 12.75
#HM    Stats: 2.754410e+12 (median) + 1.535300e+12  / - 7.397000e+11
#SM    Stats: 5.102600e+10 (median) + 3.801270e+10  / - 2.494790e+10
#ObsSM Stats: 4.999310e+10 (median) + 4.286470e+10  / - 2.524560e+10
#VMP   Stats: 2.558700e+02 (median) + 4.145999e+01  / - 3.147000e+01
#ICL   Stats: 6.191770e+08 (median) + 2.698313e+09  / - 4.647850e+08
#SSFR  Stats: 1.443574e-12 (median) + 2.434990e-12  / - 9.122445e-13
sfh 0.055623 0 0 0 #avg: 1.01799e-21; avg_err: 8.88536e-22; sd: 8.12659e-20; counts: 8366
sfh 0.060123 0 0 0 #avg: 3.27241e-15; avg_err: 7.40274e-16; sd: 6.77058e-14; counts: 8366
sfh 0.062373 0 0 0 #avg: 2.20011e-14; avg_err: 3.68378e-15; sd: 3.3692e-13; counts: 8366
sfh 0.064623 0 0 0 #avg: 6.95172e-14; avg_err: 8.93263e-15; sd: 8.16982e-13; counts: 8366
sfh 0.066873 0 0 0 #avg: 1.70951e-13; avg_err: 1.70646e-14; sd: 1.56073e-12; counts: 8366
sfh 0.069123 0 0 0 #avg: 4.2573e-13; avg_err: 3.6687e-14; sd: 3.35541e-12; counts: 8366
sfh 0.071373 0 0 0 #avg: 7.45784e-13; avg_err: 5.4646e-14; sd: 4.99795e-12; counts: 8366
sfh 0.073623 0 2.56071e-13 0 #avg: 1.15566e-12; avg_err: 8.34684e-14; sd: 7.63405e-12; counts: 8366
sfh 0.075873 0 8.36999e-13 0 #avg: 1.56927e-12; avg_err: 1.04121e-13; sd: 9.52291e-12; counts: 8366
sfh 0.078123 0 1.78307e-12 0 #avg: 2.25354e-12; avg_err: 1.3228e-13; sd: 1.20984e-11; counts: 8366
sfh 0.080373 0 2.97018e-12 0 #avg: 2.85651e-12; avg_err: 1.52464e-13; sd: 1.39444e-11; counts: 8366
sfh 0.082623 8.68353e-14 4.14669e-12 8.68353e-14 #avg: 3.38748e-12; avg_err: 1.82574e-13; sd: 1.66983e-11; counts: 8366
sfh 0.085998 5.23214e-13 6.38494e-12 5.23214e-13 #avg: 4.89458e-12; avg_err: 2.75877e-13; sd: 2.52318e-11; counts: 8366
sfh 0.089373 1.20246e-12 8.32077e-12 1.20246e-12 #avg: 6.30568e-12; avg_err: 2.42741e-13; sd: 2.22012e-11; counts: 8366
sfh 0.092748 2.1365e-12 1.00463e-11 2.13199e-12 #avg: 8.49587e-12; avg_err: 3.9159e-13; sd: 3.5815e-11; counts: 8366
sfh 0.096123 3.22715e-12 1.23514e-11 3.07014e-12 #avg: 1.03714e-11; avg_err: 3.2579e-13; sd: 2.97969e-11; counts: 8366
sfh 0.099498 4.31105e-12 1.46551e-11 3.85482e-12 #avg: 1.26719e-11; avg_err: 3.65405e-13; sd: 3.34201e-11; counts: 8366
sfh 0.102873 5.49131e-12 1.73107e-11 4.61173e-12 #avg: 1.50455e-11; avg_err: 3.91155e-13; sd: 3.57752e-11; counts: 8366
sfh 0.106248 6.81011e-12 2.06388e-11 5.43922e-12 #avg: 1.7796e-11; avg_err: 4.64433e-13; sd: 4.24772e-11; counts: 8366
sfh 0.109623 8.27402e-12 2.30344e-11 6.41568e-12 #avg: 2.10695e-11; avg_err: 5.30132e-13; sd: 4.84861e-11; counts: 8366
sfh 0.112998 9.67875e-12 2.60324e-11 7.36667e-12 #avg: 2.38576e-11; avg_err: 5.8481e-13; sd: 5.34869e-11; counts: 8366
sfh 0.116373 1.11894e-11 2.9483e-11 8.40442e-12 #avg: 2.73747e-11; avg_err: 6.66063e-13; sd: 6.09183e-11; counts: 8366
sfh 0.119748 1.2427e-11 3.36697e-11 9.24794e-12 #avg: 3.06749e-11; avg_err: 7.4537e-13; sd: 6.81719e-11; counts: 8366
sfh 0.123123 1.40841e-11 3.76894e-11 1.03358e-11 #avg: 3.36549e-11; avg_err: 7.58192e-13; sd: 6.93445e-11; counts: 8366
sfh 0.126498 1.55826e-11 4.1612e-11 1.12972e-11 #avg: 3.69077e-11; avg_err: 8.43258e-13; sd: 7.71247e-11; counts: 8366
sfh 0.129873 1.72515e-11 4.5691e-11 1.2477e-11 #avg: 3.99918e-11; avg_err: 8.67906e-13; sd: 7.9379e-11; counts: 8366
