#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.03539e+07 0.186852 0.211344 0.00259467 0 1 0 0.072422 0.000442427 0.0479295 0.0835757 0.0350176 32582
1.59025e+08 0.239253 0.286496 0.00412521 0 1 0 0.0914745 0.000683353 0.063826 0.106633 0.0505112 18098
2.52325e+08 0.292036 0.347871 0.00415412 0 1 0 0.102479 0.00067326 0.0743178 0.113462 0.0532093 20292
3.98208e+08 0.311211 0.379105 0.00423373 0 1 0 0.109251 0.000671208 0.0817324 0.118892 0.0603409 21622
6.30455e+08 0.350866 0.436213 0.00453497 0 1 0 0.118943 0.000705081 0.0906936 0.126963 0.0682927 21313
9.97349e+08 0.379504 0.485332 0.00492939 0 1 0 0.13072 0.000778678 0.100822 0.1382 0.071352 20316
1.5813e+09 0.421692 0.554229 0.00533186 0 1 0 0.142247 0.000835445 0.111999 0.146226 0.0812635 19602
2.50961e+09 0.461587 0.618463 0.00567683 0 1 0 0.158051 0.00091725 0.127044 0.15703 0.0887999 18913
3.98622e+09 0.500955 0.699204 0.00605028 1 1 1 0.17506 0.000978763 0.145916 0.162929 0.0998383 18840
6.31062e+09 0.551791 0.797227 0.00643359 1 1 1 0.197105 0.00106481 0.16591 0.177657 0.110513 18681
1.00255e+10 0.603058 0.910471 0.00671619 1 1 1 0.226684 0.00115101 0.197584 0.190431 0.130001 19033
1.58654e+10 0.657341 1.02793 0.00681189 1 1 1 0.260418 0.00121779 0.230974 0.209148 0.144251 20017
2.51647e+10 0.712695 1.1735 0.00698439 1 1 1 0.305075 0.00128143 0.27997 0.224539 0.168131 20922
3.97039e+10 0.75508 1.28664 0.00721874 1 1 1 0.357219 0.00136755 0.340377 0.230973 0.193097 20423
6.2487e+10 0.783347 1.35581 0.00782471 1 1 1 0.411135 0.00150589 0.40275 0.226453 0.205718 17318
9.81626e+10 0.774006 1.32882 0.00926082 1 1 1 0.476763 0.00180646 0.485716 0.205111 0.230928 12195
1.53735e+11 0.719876 1.2099 0.0129185 1 1 1 0.564875 0.00238381 0.587052 0.1795 0.232702 6465
2.43767e+11 0.637322 1.0085 0.0180558 1 1 1 0.66237 0.00308761 0.699569 0.123273 0.209893 2942
3.80511e+11 0.469456 0.669456 0.0249251 0 1 0 0.75705 0.00345645 0.784563 0.079181 0.135468 1195
6.05362e+11 0.37027 0.489189 0.0383174 0 1 0 0.816295 0.00447515 0.836419 0.0547253 0.0932015 370
9.48861e+11 0.235955 0.269663 0.0548096 0 1 0 0.85469 0.00580456 0.867357 0.0332778 0.05463 89
1.42712e+12 0.222222 0.333333 0.235702 0 1 0 0.888964 0.010576 0.893158 0.0266307 0.0242903 9
