#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.73067e+07 0.00897962 0.00921383 0.000117175 0 0 0 0.00271228 1.98364e-05 0 0 0 700252
1.57414e+08 0.0177522 0.0183736 0.000266348 0 0 0 0.00514166 4.38595e-05 0 0 0 271966
2.49212e+08 0.0264186 0.0275362 0.00035909 0 0 0 0.00749996 5.99529e-05 0 0 0 225485
3.94767e+08 0.0358602 0.0375061 0.000467081 0 0 0 0.010389 8.118e-05 0 0.0104017 0 181064
6.26037e+08 0.0505779 0.0534534 0.000624861 0 0 0 0.0145269 0.0001111 0 0.0207712 0 144668
9.91357e+08 0.0680601 0.073021 0.000818413 0 0 0 0.0195659 0.000147819 0 0.0320861 0 116309
1.57274e+09 0.0895847 0.0962218 0.00102896 0 0 0 0.0259977 0.000193964 0 0.0519328 0 95072
2.49591e+09 0.117652 0.128429 0.00130445 0 0 0 0.0341915 0.000250229 0 0.0730391 0 79149
3.95928e+09 0.14849 0.164085 0.00157756 0 0 0 0.0440656 0.000313419 0 0.0987644 0 68294
6.29123e+09 0.187806 0.210624 0.00188542 0 1 0 0.0577751 0.000391554 0.0102601 0.121792 0.0102601 60392
9.95729e+09 0.228125 0.260974 0.00217621 0 1 0 0.0735442 0.000465245 0.0207263 0.14656 0.0207263 55496
1.5804e+10 0.27761 0.322436 0.0024682 0 1 0 0.09556 0.000551557 0.0416618 0.168788 0.0416618 51666
2.4996e+10 0.318018 0.37209 0.00271748 0 1 0 0.120203 0.000638145 0.0704939 0.187625 0.0704939 47381
3.94844e+10 0.352139 0.41348 0.00303465 0 1 0 0.148348 0.000742994 0.10558 0.198065 0.10558 40609
6.20898e+10 0.367086 0.431418 0.00361039 0 1 0 0.176336 0.000902417 0.142979 0.198971 0.127767 29410
9.72939e+10 0.347094 0.400839 0.00464083 0 1 0 0.202647 0.00121554 0.177916 0.186403 0.142508 16448
1.52466e+11 0.307786 0.348692 0.0068982 0 1 0 0.230585 0.00183378 0.215229 0.172044 0.140434 6576
2.38755e+11 0.269373 0.304164 0.0122246 0 1 0 0.236736 0.00290521 0.225868 0.144778 0.119835 1897
3.76021e+11 0.206897 0.219828 0.0206464 0 1 0 0.228108 0.00496993 0.223399 0.118763 0.108778 464
5.74974e+11 0.12 0.12 0.037776 0 0 0 0.201042 0.0112185 0.184936 0.11983 0.0806058 75
9.19328e+11 0 0 0 0 0 0 0.134577 0.0267281 0.114779 0.0996552 0.010448 4
