#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.1597 0.00106894 0.00111335 3.56649e-05 0 0 0 0.00024521 4.62771e-06 0 0 0 945795
62.4225 0.00329765 0.00333759 8.69436e-05 0 0 0 0.000886861 1.1031e-05 0 0 0 450624
79.2931 0.0216242 0.0221623 0.000286703 0 0 0 0.00462776 3.6425e-05 0 0 0 276912
98.3624 0.0788343 0.0831868 0.000731558 0 0 0 0.0159267 9.65908e-05 0 0.0312136 0 159220
123.561 0.203646 0.22377 0.00185401 0 1 0 0.0417444 0.00026637 0.010206 0.084094 0.010206 62761
155.109 0.389743 0.461283 0.00430983 0 1 0 0.0889378 0.000675317 0.0519496 0.138455 0.0519496 21722
194.595 0.55227 0.693166 0.00885597 1 0 1 0.156412 0.00162922 0.130385 0.16992 0.110772 6629
244.319 0.664375 0.879375 0.019063 1 1 1 0.233988 0.00384804 0.22368 0.177471 0.158022 1600
308.327 0.641558 0.823377 0.0375081 1 1 1 0.292564 0.00871199 0.294983 0.17627 0.183457 385
386.861 0.556818 0.715909 0.0807308 1 0 1 0.316299 0.0189304 0.297075 0.21989 0.162503 88
487.077 0.45 0.5 0.135724 0 1 0 0.382093 0.0458744 0.420219 0.190862 0.244179 20
615.632 0.25 0.25 0.25 0 1 0 0.407257 0.0815954 0.416103 0.191822 0.207411 4
