#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
45.136 0.000389256 0.000395346 8.18835e-06 0 0 0 0.000122385 1.54159e-06 0 0 0 6075694
61.9832 9.81497e-05 9.81497e-05 7.21576e-06 0 0 0 7.05639e-05 1.51587e-06 0 0 0 1884876
78.3113 0.000379426 0.000379426 2.13742e-05 0 0 0 0.000309818 4.66513e-06 0 0 0 830201
98.6256 0.00344828 0.0034559 9.37909e-05 0 0 0 0.00192055 1.83724e-05 0 0 0 393240
124.243 0.0187855 0.018982 0.000313562 0 0 0 0.00883344 6.2395e-05 0 0.0141389 0 193394
156.424 0.0689 0.0702907 0.000840879 0 0 0 0.0301914 0.000178006 0 0.0720363 0 96357
196.897 0.156959 0.162572 0.00175196 0 0 0 0.0749507 0.000405474 0.0430752 0.122221 0.0430752 48108
247.717 0.223154 0.234624 0.00294723 0 1 0 0.139637 0.000775529 0.11683 0.150612 0.102432 23365
311.524 0.215769 0.226705 0.00426091 0 1 0 0.194976 0.00128074 0.181571 0.157383 0.129471 10882
392.074 0.178414 0.185222 0.0057474 0 1 0 0.214553 0.00189673 0.197347 0.159952 0.11848 4994
492.881 0.131263 0.133267 0.00773996 0 0 0 0.212614 0.00277821 0.197083 0.14387 0.116265 1996
617.368 0.136243 0.138889 0.0128615 0 0 0 0.197276 0.00417996 0.192323 0.126849 0.125755 756
781.606 0.123457 0.127572 0.0222242 0 0 0 0.193913 0.00800265 0.17706 0.145534 0.110493 243
960.333 0.0930233 0.0930233 0.0448197 0 0 0 0.139447 0.0117809 0.123153 0.0986443 0.0600198 43
1164.59 0.5 0.5 0.5 1 0 1 0.0927071 0.0712687 0.163976 0 0.142537 2
1455.08 0 0 0 0 0 0 0.128515 0.121193 0.249708 0 0.242386 2
