#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.48073e+07 6.19932e+08 4.52432e+06 5.00468e+08 4.17131e+08 1.66808e+08 1.33543e+09 1.04123e+07 1.12466e+09 9.99364e+08 5.00674e+08 5872
1.6006e+08 6.32257e+08 5.22874e+06 5.00675e+08 4.17059e+08 1.6701e+08 1.38919e+09 1.23149e+07 1.20812e+09 9.98802e+08 5.84132e+08 4411
2.52646e+08 6.67723e+08 5.27883e+06 5.40609e+08 4.59987e+08 2.06945e+08 1.40571e+09 1.14479e+07 1.16716e+09 1.12257e+09 5.43174e+08 5450
4.00114e+08 6.84053e+08 5.3722e+06 5.75585e+08 4.25263e+08 2.41844e+08 1.48396e+09 1.16658e+07 1.29157e+09 1.08087e+09 6.67579e+08 5794
6.31971e+08 7.06824e+08 5.29108e+06 5.82246e+08 4.98625e+08 2.48502e+08 1.50826e+09 1.14112e+07 1.29157e+09 1.16347e+09 6.67579e+08 6502
1.00159e+09 7.34572e+08 5.3925e+06 5.84053e+08 5.20762e+08 2.50309e+08 1.5505e+09 1.12217e+07 1.29157e+09 1.24596e+09 6.67579e+08 7000
1.58612e+09 7.65171e+08 5.7384e+06 5.84132e+08 5.8303e+08 2.50331e+08 1.60127e+09 1.12176e+07 1.375e+09 1.2449e+09 7.12337e+08 7459
2.5135e+09 7.96049e+08 5.88247e+06 6.53712e+08 5.91189e+08 3.19876e+08 1.65197e+09 1.13232e+07 1.375e+09 1.32714e+09 7.51009e+08 7941
3.98891e+09 8.25631e+08 5.96998e+06 6.61095e+08 6.30472e+08 3.02835e+08 1.67505e+09 1.0983e+07 1.4584e+09 1.32584e+09 7.51008e+08 8638
6.33668e+09 8.88211e+08 6.4377e+06 6.67579e+08 7.46264e+08 2.83905e+08 1.71623e+09 1.07895e+07 1.4584e+09 1.40781e+09 7.51008e+08 9418
1.00202e+10 9.2736e+08 6.46769e+06 7.20614e+08 7.65423e+08 3.19057e+08 1.8038e+09 1.0565e+07 1.54178e+09 1.4879e+09 8.34385e+08 10546
1.58912e+10 9.87679e+08 6.63397e+06 7.50956e+08 8.28842e+08 3.41176e+08 1.84e+09 1.04649e+07 1.62513e+09 1.43041e+09 9.17733e+08 11434
2.50713e+10 1.06901e+09 7.4297e+06 8.25165e+08 9.17885e+08 4.09248e+08 1.8656e+09 1.08448e+07 1.62513e+09 1.56101e+09 9.17733e+08 11311
3.93905e+10 1.15032e+09 8.5673e+06 8.74274e+08 1.02187e+09 4.58067e+08 1.89716e+09 1.19683e+07 1.62513e+09 1.64848e+09 9.17733e+08 10122
6.18179e+10 1.25203e+09 1.11801e+07 9.57732e+08 1.16417e+09 5.1108e+08 1.87264e+09 1.48675e+07 1.54178e+09 1.73183e+09 8.75361e+08 7060
9.61952e+10 1.4152e+09 1.86891e+07 1.06482e+09 1.38313e+09 5.68334e+08 1.79465e+09 2.14747e+07 1.4584e+09 1.65276e+09 8.34415e+08 3305
1.50119e+11 1.73472e+09 4.55063e+07 1.25088e+09 1.9416e+09 7.10273e+08 1.5796e+09 3.84766e+07 1.20812e+09 1.57613e+09 5.84132e+08 889
2.33988e+11 2.53799e+09 1.40069e+08 2.40569e+09 2.03104e+09 1.82214e+09 1.29976e+09 7.38986e+07 1.00103e+09 1.06292e+09 4.6042e+08 156
3.38031e+11 2.26117e+09 3.20064e+08 2.27678e+09 6.98436e+08 1.0259e+09 1.1483e+09 2.69041e+08 6.23988e+08 1.334e+09 1.56955e+08 9
