#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.67464e+07 0.0334017 0.0361913 0.000249416 0 0 0 0.00370296 1.95067e-05 0 0 0 655655
1.56987e+08 0.0513708 0.0568286 0.000534612 0 0 0 0.00559555 4.1854e-05 0 0 0 228846
2.48811e+08 0.0691278 0.0772638 0.000702447 0 0 0 0.00759678 5.71239e-05 0 0.00911363 0 179942
3.94433e+08 0.0925758 0.105066 0.000923226 0 0 0 0.0101687 7.60406e-05 0 0.0175202 0 142197
6.25391e+08 0.123025 0.142599 0.00121688 0 0 0 0.0137619 0.000102422 0 0.0262823 0 111985
9.90979e+08 0.159109 0.187849 0.00157368 0 1 0 0.0178946 0.000132757 0 0.0367785 0 87858
1.5709e+09 0.203036 0.247148 0.00202561 0 1 0 0.0240117 0.000180363 0 0.0519502 0 69958
2.49046e+09 0.26325 0.330962 0.00260385 0 1 0 0.032249 0.000237797 0.00634552 0.0651036 0.00634552 55810
3.95009e+09 0.325877 0.421332 0.00322448 0 1 0 0.041924 0.00030568 0.012389 0.0809642 0.012389 45330
6.26067e+09 0.402228 0.548049 0.0040197 0 1 0 0.0556895 0.000401063 0.0248421 0.0952658 0.0248421 37347
9.9296e+09 0.48931 0.707038 0.00492001 0 2 0 0.0747934 0.000527013 0.0391349 0.119142 0.0391349 31103
1.57099e+10 0.581203 0.892447 0.00590141 1 1 1 0.0988194 0.000682929 0.0621715 0.139831 0.0621715 26015
2.48895e+10 0.674071 1.1263 0.00716614 1 1 1 0.133824 0.000904443 0.0963271 0.166607 0.08475 21069
3.92776e+10 0.762038 1.36746 0.00864653 1 1 1 0.17779 0.00121402 0.141661 0.192152 0.11508 15784
6.16678e+10 0.831615 1.58234 0.0110932 1 2 1 0.234163 0.00171267 0.204565 0.209606 0.148291 9989
9.65881e+10 0.893702 1.78615 0.0156596 2 1 1 0.309439 0.00275597 0.288949 0.229941 0.184588 4779
1.52516e+11 0.908039 1.77467 0.0258793 2 1 1 0.403877 0.00512063 0.405319 0.225207 0.238728 1642
2.39337e+11 0.859649 1.65789 0.0529008 2 1 1 0.549481 0.00893068 0.576946 0.165642 0.253089 456
3.84549e+11 0.766667 1.26667 0.0906971 1 1 1 0.681888 0.0134746 0.702758 0.115661 0.160944 120
6.06001e+11 0.538462 0.653846 0.146154 1 0 1 0.790157 0.0157513 0.787972 0.0807729 0.0468041 26
9.87926e+11 0.8 0.8 0.2 1 0 1 0.821193 0.0159306 0.818656 0.0425318 0.0428852 5
