#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.35167e+07 4.93338e+08 6.32317e+06 4.02633e+08 3.01744e+08 8.36737e+07 9.2439e+08 1.36163e+07 7.73094e+08 6.35825e+08 2.42217e+08 1088
1.60959e+08 4.84945e+08 6.97444e+06 4.01557e+08 2.41695e+08 8.4589e+07 9.60286e+08 1.44042e+07 8.53413e+08 5.55505e+08 3.22537e+08 919
2.5295e+08 5.08369e+08 6.80599e+06 4.03668e+08 3.08132e+08 8.47085e+07 9.36719e+08 1.29813e+07 8.53413e+08 5.55505e+08 3.22537e+08 1160
3.99925e+08 5.31701e+08 6.38925e+06 4.7054e+08 3.02553e+08 1.51581e+08 9.52425e+08 1.19022e+07 8.53413e+08 5.55505e+08 3.22537e+08 1492
6.33902e+08 5.31331e+08 6.12442e+06 4.68813e+08 2.53814e+08 1.49854e+08 9.85723e+08 1.1666e+07 8.53413e+08 6.33798e+08 3.22537e+08 1662
1.00091e+09 5.67003e+08 6.71042e+06 4.76928e+08 3.24816e+08 1.57024e+08 9.80756e+08 1.10255e+07 8.53413e+08 6.33798e+08 3.22537e+08 1884
1.58965e+09 5.89744e+08 6.56201e+06 4.82497e+08 3.87322e+08 1.61682e+08 1.00067e+09 1.10848e+07 8.53413e+08 6.33798e+08 3.22537e+08 2059
2.51819e+09 6.07867e+08 6.63283e+06 4.83764e+08 3.96832e+08 1.62949e+08 1.00913e+09 1.07139e+07 8.53413e+08 6.33798e+08 3.22537e+08 2192
4.00984e+09 6.34703e+08 6.88712e+06 5.43777e+08 4.03433e+08 2.22084e+08 1.03231e+09 1.03738e+07 9.3351e+08 6.31703e+08 4.02633e+08 2493
6.37282e+09 6.61101e+08 7.12584e+06 5.55505e+08 4.28229e+08 2.33812e+08 1.01888e+09 9.8514e+06 8.53413e+08 7.11799e+08 3.22537e+08 2774
1.00569e+10 7.01962e+08 7.04528e+06 5.95336e+08 4.84899e+08 2.71988e+08 1.03248e+09 9.30475e+06 9.3351e+08 6.31703e+08 4.02633e+08 3210
1.58788e+10 7.1624e+08 6.92648e+06 6.06892e+08 4.86105e+08 2.50915e+08 1.07338e+09 9.08629e+06 9.3351e+08 7.09403e+08 4.02633e+08 3492
2.5042e+10 7.27185e+08 7.01201e+06 6.20184e+08 4.85881e+08 2.96836e+08 1.09688e+09 9.32592e+06 9.3351e+08 7.09403e+08 4.02633e+08 3570
3.94151e+10 7.35626e+08 7.54773e+06 6.20184e+08 4.95283e+08 2.46927e+08 1.13656e+09 1.05252e+07 1.01337e+09 7.84001e+08 4.82497e+08 3048
6.19215e+10 7.29532e+08 8.95953e+06 6.15082e+08 4.90982e+08 2.45767e+08 1.17558e+09 1.32433e+07 1.093e+09 7.04377e+08 5.62121e+08 2117
9.63466e+10 7.43674e+08 1.32567e+07 6.31703e+08 4.86231e+08 2.69017e+08 1.14322e+09 1.94703e+07 1.01337e+09 7.84001e+08 4.82497e+08 1033
1.51913e+11 7.73774e+08 2.2832e+07 6.43252e+08 5.46174e+08 2.56345e+08 1.04732e+09 3.03988e+07 9.3351e+08 7.09403e+08 4.02633e+08 333
2.33087e+11 7.41304e+08 5.87238e+07 6.35825e+08 3.88035e+08 3.12477e+08 1.07751e+09 8.00946e+07 8.53413e+08 9.43961e+08 3.22537e+08 66
3.39082e+11 8.2153e+08 1.68965e+08 5.58931e+08 5.53105e+08 1.58492e+08 9.59317e+08 1.44243e+08 6.92559e+08 7.1636e+08 1.61682e+08 11
