#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.12706e+07 0.212629 0.24547 0.00398563 0 1 0 0.0869487 0.000739018 0.0574967 0.0990211 0.0441819 16169
1.59617e+08 0.279516 0.338299 0.00594763 0 1 0 0.111058 0.00103095 0.0817425 0.122794 0.0603509 10003
2.52593e+08 0.32937 0.399824 0.00561814 0 1 0 0.12086 0.000921173 0.0946625 0.120007 0.0651921 12533
3.97864e+08 0.351353 0.431968 0.00559256 0 1 0 0.125217 0.000879696 0.0992869 0.123837 0.0695519 13670
6.28775e+08 0.382273 0.480784 0.00598303 0 1 0 0.136897 0.000960158 0.108508 0.13735 0.0770641 13166
9.98388e+08 0.420429 0.544325 0.00660823 0 1 0 0.152638 0.00106038 0.125217 0.145161 0.0865784 12228
1.58379e+09 0.465147 0.621433 0.00728498 0 1 0 0.167264 0.00116863 0.141852 0.151023 0.0958136 11319
2.50985e+09 0.498537 0.677928 0.00781158 0 1 0 0.186403 0.00129595 0.159097 0.163629 0.104227 10597
3.97286e+09 0.536459 0.74813 0.00836225 1 1 1 0.207931 0.00142231 0.181719 0.172288 0.118269 10025
6.29518e+09 0.576694 0.829055 0.0088529 1 1 1 0.230604 0.00153621 0.204228 0.183181 0.125497 9740
1.00092e+10 0.607388 0.901003 0.00931512 1 1 1 0.258801 0.00164927 0.235177 0.191745 0.142071 9475
1.58353e+10 0.640046 0.96276 0.00946221 1 1 1 0.291066 0.00175946 0.268968 0.202992 0.155058 9479
2.50345e+10 0.656945 1.0108 0.00979772 1 1 1 0.329643 0.00182861 0.315422 0.204188 0.173844 9258
3.95881e+10 0.665594 1.00751 0.0101077 1 1 1 0.366569 0.00191952 0.360927 0.1925 0.184918 8391
6.20285e+10 0.637256 0.946935 0.0114161 1 1 1 0.398426 0.00221192 0.394412 0.194097 0.18637 6313
9.75334e+10 0.597918 0.857344 0.0145919 1 1 1 0.424246 0.00275966 0.427714 0.163892 0.17727 3554
1.5173e+11 0.528562 0.72746 0.02131 1 1 1 0.439083 0.00412376 0.435417 0.173217 0.161311 1453
2.4087e+11 0.469214 0.573248 0.0318968 0 1 0 0.421492 0.00599071 0.423063 0.128175 0.133281 471
3.78454e+11 0.390244 0.495935 0.0625697 0 1 0 0.407416 0.00959518 0.396669 0.124067 0.0882981 123
5.65224e+11 0.318182 0.363636 0.123888 0 1 0 0.392011 0.0158916 0.394542 0.0805265 0.0702564 22
