#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.03367e+07 0.185323 0.20965 0.00260737 0 1 0 0.0719463 0.000442824 0.0477311 0.0828409 0.034836 32063
1.58982e+08 0.236751 0.282843 0.00412685 0 1 0 0.0905736 0.000682908 0.0634973 0.105708 0.050363 17812
2.52243e+08 0.2882 0.3431 0.00416173 0 1 0 0.101512 0.00067321 0.0736319 0.113044 0.0525744 20000
3.98101e+08 0.305796 0.371454 0.00422682 0 1 0 0.107825 0.000668417 0.0810884 0.11702 0.0598617 21292
6.30546e+08 0.341236 0.422879 0.00451449 0 1 0 0.117019 0.000701868 0.0895878 0.124683 0.0678334 21006
9.97525e+08 0.367357 0.467532 0.00488484 0 1 0 0.12805 0.000774949 0.0984937 0.136149 0.0691936 20035
1.58104e+09 0.405636 0.529111 0.00526419 0 1 0 0.138406 0.00082745 0.107899 0.143723 0.0781208 19340
2.50927e+09 0.441079 0.583047 0.00556522 0 1 0 0.153146 0.000911058 0.122961 0.152896 0.0854226 18652
3.98577e+09 0.473111 0.645612 0.00587586 0 1 0 0.168305 0.000967128 0.138619 0.160051 0.0983966 18539
6.31179e+09 0.514769 0.721482 0.0062025 1 1 1 0.186529 0.00104108 0.153902 0.175778 0.104409 18383
1.00252e+10 0.553091 0.801849 0.00645262 1 1 1 0.2107 0.00110788 0.18032 0.184422 0.120406 18713
1.58651e+10 0.594762 0.87585 0.00642045 1 1 1 0.234868 0.00113883 0.20647 0.196756 0.133409 19702
2.51658e+10 0.625231 0.941248 0.00643829 1 1 1 0.264381 0.00117067 0.239325 0.20417 0.149095 20578
3.97123e+10 0.640127 0.965807 0.00651826 1 1 1 0.292105 0.00120722 0.272456 0.204254 0.159365 20121
6.25051e+10 0.642435 0.953682 0.00691291 1 1 1 0.314413 0.00128858 0.300462 0.194245 0.164409 17099
9.81612e+10 0.602969 0.873517 0.00804251 1 1 1 0.330266 0.00148404 0.321115 0.178781 0.163097 12057
1.53736e+11 0.549758 0.758319 0.0103579 1 1 1 0.3374 0.00187181 0.328547 0.161329 0.141441 6401
2.43754e+11 0.501884 0.658787 0.0141696 1 0 1 0.337149 0.00233386 0.329702 0.134951 0.115896 2919
3.8054e+11 0.402019 0.491169 0.0193915 0 1 0 0.332447 0.00304542 0.325867 0.105293 0.0986144 1189
6.0489e+11 0.392954 0.463415 0.0329865 0 1 0 0.326973 0.00465365 0.325792 0.0908505 0.0898875 369
9.52998e+11 0.303371 0.314607 0.0520163 0 1 0 0.288655 0.00936362 0.286047 0.0938367 0.0953649 89
1.453e+12 0.2 0.2 0.133333 0 1 0 0.28115 0.0154312 0.305195 0.0268538 0.0802116 10
