#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
49.2105 0.097068 0.102187 0.002604 0 0 0 0.0489133 0.0004274 0.0322949 0.0550746 0.0195156 15041
63.5618 0.166934 0.183726 0.00276031 0 1 0 0.0664183 0.000408618 0.0480779 0.072438 0.0350574 24297
80.5358 0.285187 0.335337 0.00296082 0 1 0 0.103407 0.000448594 0.081803 0.101127 0.0593818 37926
99.6211 0.429023 0.544922 0.00349184 0 1 0 0.151699 0.000537091 0.131079 0.128144 0.0849022 41795
125.067 0.568614 0.793126 0.00476085 1 1 1 0.214738 0.000742385 0.199166 0.146782 0.118518 31014
156.944 0.679074 1.03727 0.00649397 1 1 1 0.296764 0.00102302 0.290193 0.159823 0.148281 20310
197.215 0.723083 1.14423 0.00881408 1 1 1 0.388568 0.00142023 0.391939 0.157419 0.168354 11870
248.014 0.660822 1.01036 0.0118562 1 1 1 0.458155 0.00200781 0.467064 0.157241 0.178684 6274
312.127 0.573976 0.816703 0.0153535 1 1 1 0.510955 0.00279633 0.520964 0.156102 0.176085 3197
392.673 0.446809 0.582018 0.0194005 0 1 0 0.529585 0.00426252 0.529484 0.180064 0.173763 1457
491.992 0.389251 0.495114 0.0282081 0 1 0 0.521787 0.00664996 0.509359 0.200181 0.152988 614
617.273 0.295833 0.354167 0.038922 0 1 0 0.502072 0.0101182 0.484261 0.204946 0.144529 240
772.345 0.266667 0.293333 0.0593458 0 1 0 0.495263 0.0209163 0.490509 0.220334 0.194835 75
957.919 0.363636 0.363636 0.15212 0 1 0 0.49365 0.0447395 0.452845 0.243757 0.120375 11
1234.8 0 0 0 0 0 0 0.216605 0.216605 0.216605 0 0 1
