#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.39479e+07 0.0636238 0.0655997 0.00253906 0 0 0 0.0632402 0.00071102 0.0387135 0.0804915 0.0331557 10122
1.59087e+08 0.0822828 0.0858072 0.00340991 0 0 0 0.0692333 0.000839605 0.0475887 0.082238 0.0322436 7377
2.51963e+08 0.0959686 0.100844 0.00345603 0 0 0 0.0752058 0.000822151 0.048752 0.0921965 0.0332087 8409
3.98965e+08 0.117096 0.123787 0.00369655 0 0 0 0.0835598 0.000850648 0.0580878 0.0994415 0.0425294 8967
6.32343e+08 0.13498 0.142751 0.00383771 0 0 0 0.0936108 0.000898791 0.0675279 0.106534 0.051736 9394
1.00027e+09 0.157526 0.172549 0.00422958 0 0 0 0.103043 0.000960935 0.0768685 0.115601 0.061015 9719
1.58394e+09 0.180356 0.196642 0.00439083 0 1 0 0.11461 0.00103538 0.086753 0.12552 0.0614133 9947
2.51437e+09 0.213583 0.236383 0.0047202 0 1 0 0.127875 0.00110971 0.0974581 0.138056 0.0715733 10263
3.9948e+09 0.24136 0.271772 0.00490932 0 1 0 0.140575 0.00115623 0.108492 0.151892 0.0821621 10851
6.33079e+09 0.277377 0.314955 0.0049981 0 1 0 0.15841 0.00121431 0.126765 0.160361 0.0909338 11789
1.00323e+10 0.295771 0.343314 0.00499693 0 1 0 0.175268 0.00122812 0.140038 0.177255 0.103191 13125
1.59402e+10 0.333919 0.389539 0.00481034 0 1 0 0.196209 0.00120136 0.163526 0.184172 0.11646 15372
2.52308e+10 0.356273 0.414458 0.00457465 0 1 0 0.214267 0.00115223 0.186281 0.187916 0.129351 17582
3.98359e+10 0.361302 0.421475 0.00447747 0 1 0 0.231164 0.00113745 0.205559 0.187711 0.130372 18580
6.25716e+10 0.353614 0.410932 0.00474909 0 1 0 0.245186 0.00120671 0.225257 0.181599 0.139084 16173
9.8137e+10 0.31868 0.36529 0.00549051 0 1 0 0.252382 0.00143978 0.235898 0.172146 0.13995 10942
1.53279e+11 0.278629 0.311183 0.00733615 0 1 0 0.258257 0.00195964 0.244132 0.161454 0.12918 5222
2.3971e+11 0.243816 0.271496 0.012242 0 1 0 0.248141 0.00295537 0.235073 0.138781 0.109614 1698
3.7636e+11 0.201774 0.21286 0.0205331 0 1 0 0.228477 0.00501183 0.22382 0.118343 0.108529 451
5.70692e+11 0.112676 0.112676 0.0377927 0 0 0 0.199819 0.0115759 0.184725 0.119249 0.0803948 71
9.19328e+11 0 0 0 0 0 0 0.134577 0.0267281 0.114779 0.0996552 0.010448 4
