#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.48155e+09 0 0 0 0 0 0 2.34728e-07 1.06167e-07 0 0 0 5778841
1.56182e+10 0 0 0 0 0 0 3.66545e-08 2.59208e-08 0 0 0 1509472
2.46238e+10 0 0 0 0 0 0 1.8582e-07 9.4597e-08 0 0 0 967589
3.89089e+10 0 0 0 0 0 0 7.50619e-07 2.83007e-07 0 0 0 567386
6.16902e+10 0 0 0 0 0 0 2.2878e-06 6.88052e-07 0 0 0 328095
9.77405e+10 0 0 0 0 0 0 1.1561e-05 2.04468e-06 0 0 0 183556
1.54737e+11 0 0 0 0 0 0 5.22351e-05 7.0684e-06 0 0 0 99934
2.45105e+11 0 0 0 0 0 0 0.000186557 1.71205e-05 0 0 0 52298
3.87836e+11 0 0 0 0 0 0 0.00073091 4.77196e-05 0 0 0 26520
6.13838e+11 0 0 0 0 0 0 0.00171038 0.000106902 0 0 0 13071
9.70802e+11 0 0 0 0 0 0 0.00503469 0.000282479 0 0 0 5950
1.52836e+12 0 0 0 0 0 0 0.0099971 0.000594355 0 0 0 2600
2.40228e+12 0 0 0 0 0 0 0.0236614 0.00153737 0 0.0654556 0 1024
3.83937e+12 0 0 0 0 0 0 0.0418485 0.0035765 0 0.093305 0 328
6.11308e+12 0 0 0 0 0 0 0.0731976 0.00706061 0.0654556 0.0952142 0.0654556 124
9.62949e+12 0 0 0 0 0 0 0.0888234 0.0119713 0.0715127 0.0891571 0.0715127 31
1.48587e+13 0 0 0 0 0 0 0.0490548 0.0172979 0.0230925 0.0842389 0.00114384 5
