#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
49.2006 1 0 4.60539e+08 4.80945e+06 0 1.05478e+09 0 0.387913 0.00104384 0.387446 0.120738 0.140298 0.680889 0.000878072 0.689812 0.0917324 0.107952 0.914625 0.000524582 0.936465 0.0267404 0.0779572 15300
63.5628 1 0 6.78843e+08 4.83192e+06 5.67362e+08 8.29125e+08 5.67362e+08 0.342226 0.00075382 0.337745 0.114778 0.120651 0.654877 0.000592757 0.659022 0.0839292 0.0907145 0.887604 0.000482427 0.914867 0.03711 0.110356 24660
80.542 1 0 1.05117e+09 5.02948e+06 8.29125e+08 1.14531e+09 8.29125e+08 0.340477 0.000563456 0.33643 0.102283 0.106967 0.625966 0.000442091 0.628223 0.0800283 0.0857686 0.848163 0.000460679 0.868864 0.0681101 0.119953 38454
99.6285 1 0 1.46835e+09 5.97896e+06 1.16825e+09 1.51297e+09 7.00186e+08 0.357369 0.000507958 0.354618 0.0912402 0.0981947 0.604813 0.00040917 0.605685 0.0777879 0.0817723 0.803131 0.00048468 0.808856 0.105081 0.112285 42340
125.059 1 0 1.99907e+09 8.74098e+06 1.62642e+09 2.01761e+09 1.02119e+09 0.377887 0.000545348 0.374469 0.0831109 0.0853268 0.571055 0.000450434 0.567261 0.0759968 0.0690676 0.734757 0.000597467 0.731319 0.119837 0.106009 31424
156.951 1 0 2.73047e+09 1.36281e+07 2.29093e+09 2.58322e+09 1.4618e+09 0.365468 0.000590033 0.362895 0.072151 0.0746188 0.507873 0.000547818 0.50041 0.0741507 0.0626107 0.647574 0.000805364 0.634995 0.136991 0.103709 20553
197.218 1 0 3.72217e+09 2.18973e+07 3.40132e+09 2.99242e+09 2.23307e+09 0.330773 0.000702262 0.326232 0.0695864 0.0664404 0.445241 0.000777054 0.431797 0.0802645 0.0582545 0.571167 0.00119011 0.546213 0.167605 0.101593 11975
248.013 1 0 4.9233e+09 3.53811e+07 4.87415e+09 3.25949e+09 3.24773e+09 0.298202 0.000958009 0.292156 0.0685435 0.0636464 0.40462 0.00131583 0.38267 0.101988 0.0626747 0.530378 0.00189913 0.495828 0.206394 0.111498 6326
312.161 1 0 6.40304e+09 5.50718e+07 6.64402e+09 3.23485e+09 4.08155e+09 0.268982 0.00123127 0.263987 0.0622433 0.0595307 0.381213 0.00219896 0.350391 0.134046 0.0710452 0.514307 0.00308594 0.481047 0.229248 0.142455 3222
392.629 1 0 7.88266e+09 8.32444e+07 8.78177e+09 2.26681e+09 4.8938e+09 0.24704 0.00171069 0.239491 0.0642911 0.0544581 0.376864 0.00380009 0.332516 0.194939 0.0837268 0.517229 0.00483711 0.50023 0.217824 0.18489 1468
491.888 1 0 9.19004e+09 1.16951e+08 1.02555e+10 1.39758e+09 4.69597e+09 0.235159 0.00289048 0.221731 0.06577 0.0442625 0.38939 0.00616414 0.345595 0.206474 0.101402 0.551398 0.00804381 0.557611 0.212102 0.244841 618
617.256 1 0 9.72331e+09 1.837e+08 1.09085e+10 9.35934e+08 4.09779e+09 0.231887 0.0043226 0.221221 0.0661067 0.0487576 0.435579 0.0104139 0.428511 0.171491 0.182689 0.596492 0.0127308 0.610924 0.1967 0.221031 241
772.345 1 0 1.05575e+10 2.95125e+08 1.15226e+10 8.04771e+08 2.9017e+09 0.236634 0.00935826 0.21184 0.123911 0.0471803 0.447514 0.0195842 0.459305 0.147736 0.239035 0.604834 0.0245549 0.6553 0.16832 0.309099 75
957.919 1 0 1.15757e+10 2.05315e+08 1.17813e+10 4.28904e+08 1.0147e+09 0.204934 0.0123687 0.193447 0.0536206 0.0306026 0.390872 0.0457115 0.395473 0.163375 0.154678 0.596577 0.0555089 0.628611 0.0732673 0.24781 11
1234.8 1 1 1.23274e+10 1.23274e+10 1.23274e+10 0 0 0.165049 0.165049 0.165049 0 0 0.484295 0.484295 0.484295 0 0 0.884146 0.884146 0.884146 0 0 1
