#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
1.13527e+08 0 0 0 0 0 0 0.0182216 0.00911943 0.0266447 0.0013753 0.0266447 3
1.38502e+08 0 0 0 0 0 0 0.0335465 0.0177154 0.0266447 0.0569169 0.0266447 4
2.59714e+08 0 0 0 0 0 0 0.0384714 0.0146577 0.0266447 0.00295652 0.00234406 12
4.04067e+08 0 0 0 0 0 0 0.0400753 0.0070174 0.02802 0.0514402 0.00303605 12
6.34764e+08 0 0 0 0 0 0 0.0787584 0.028264 0.0347836 0.0852638 0.00934243 9
1.03426e+09 0 0 0 0 0 0 0.103025 0.0227091 0.0835616 0.0732851 0.0585777 18
1.60802e+09 0 0 0 0 0 0 0.0425014 0.004511 0.0266447 0.0528155 0.00266494 40
2.46185e+09 0 0 0 0 0 0 0.0567494 0.00856515 0.0266447 0.0918175 0.00297287 42
4.03471e+09 0 0 0 0 0 0 0.0788952 0.0104562 0.0680542 0.0926156 0.0437535 41
6.24927e+09 0 0 0 0 0 0 0.105 0.013989 0.0937393 0.109038 0.0694387 30
9.579e+09 0 0 0 0 0 0 0.118322 0.0161702 0.118462 0.0896214 0.0950859 30
1.62103e+10 0 0 0 0 0 0 0.113219 0.0249049 0.0724697 0.126189 0.0481691 21
2.43623e+10 0 0 0 0 0 0 0.100096 0.0202097 0.0734672 0.0872026 0.0491666 19
3.93506e+10 0 0 0 0 0 0 0.108088 0.0278931 0.0734672 0.16987 0.0491666 11
6.54485e+10 0 0 0 0 0 0 0.0460547 0.0157665 0.0304824 0.0249375 0.00650268 8
9.50052e+10 0 0 0 0 0 0 0.0399202 0.0162931 0.0249839 0.0474858 0.00267688 3
1.38693e+11 0 0 0 0 0 0 0.0448408 0.0228921 0.0677329 0 0.0457842 2
