#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
45.1725 5.85826e+08 1.35649e+07 4.17295e+08 3.86646e+08 8.59022e+07 2.45058e+09 4.51395e+07 2.37244e+09 1.77921e+09 1.58161e+09 1006
64.3386 5.33798e+08 6.61154e+06 4.17294e+08 3.33399e+08 8.37324e+07 1.25691e+09 1.97913e+07 1.0412e+09 8.33673e+08 4.17209e+08 1489
82.2228 6.18504e+08 4.21502e+06 5.00671e+08 4.15235e+08 1.67007e+08 1.36e+09 1.03321e+07 1.12466e+09 9.99364e+08 5.00674e+08 6053
100.669 7.084e+08 3.63233e+06 5.83762e+08 4.97108e+08 2.50018e+08 1.49915e+09 8.14257e+06 1.29157e+09 1.16347e+09 6.67579e+08 12733
125.45 8.25978e+08 4.5553e+06 6.6642e+08 6.25147e+08 2.81107e+08 1.65688e+09 9.02508e+06 1.375e+09 1.40925e+09 7.51009e+08 13138
156.695 9.98117e+08 6.99136e+06 8.17019e+08 7.88786e+08 4.0177e+08 1.74683e+09 1.18088e+07 1.4584e+09 1.48962e+09 7.97308e+08 8873
195.382 1.25941e+09 1.37653e+07 1.00103e+09 1.14792e+09 5.33996e+08 1.70361e+09 1.80376e+07 1.375e+09 1.57303e+09 7.51009e+08 3949
244.253 1.6285e+09 3.17869e+07 1.375e+09 1.41954e+09 7.91235e+08 1.50306e+09 3.05146e+07 1.20812e+09 1.24692e+09 6.24188e+08 1137
306.863 2.10926e+09 8.32228e+07 1.91517e+09 1.60065e+09 1.24757e+09 1.25672e+09 5.36745e+07 1.0412e+09 9.16791e+08 5.40609e+08 253
384.332 2.72516e+09 2.28648e+08 2.70214e+09 1.7609e+09 1.74441e+09 9.17492e+08 7.7986e+07 7.90825e+08 5.84172e+08 3.33561e+08 43
473.415 3.85766e+09 5.3166e+08 3.13212e+09 2.9425e+09 1.02441e+08 5.83042e+08 5.08054e+07 5.01501e+08 2.89324e+08 4.42372e+07 9
662.31 4.32117e+09 4.32117e+09 4.32117e+09 0 0 1.54178e+09 1.54178e+09 1.54178e+09 0 0 1
