#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#obs_sm range: 9.25 - 9.75
#HM    Stats: 7.061760e+11 (median) + 4.966139e+11  / - 3.105880e+11
#SM    Stats: 3.964940e+09 (median) + 3.847970e+09  / - 1.948410e+09
#ObsSM Stats: 3.347030e+09 (median) + 1.267060e+09  / - 1.103220e+09
#VMP   Stats: 2.408800e+02 (median) + 4.887000e+01  / - 3.783000e+01
#ICL   Stats: 5.002690e+07 (median) + 1.377971e+08  / - 3.622930e+07
#SSFR  Stats: 2.120944e-12 (median) + 3.874982e-12  / - 1.467378e-12
sfh 0.055623 0 0 0 #avg: 1.10465e-27; avg_err: 1.10465e-27; sd: 2.0006e-26; counts: 329
sfh 0.060123 0 0 0 #avg: 3.1569e-13; avg_err: 2.27181e-13; sd: 4.11443e-12; counts: 329
sfh 0.062373 0 0 0 #avg: 1.19572e-12; avg_err: 4.93898e-13; sd: 8.94487e-12; counts: 329
sfh 0.064623 0 0 0 #avg: 3.14529e-12; avg_err: 9.73595e-13; sd: 1.76325e-11; counts: 329
sfh 0.066873 0 0 0 #avg: 9.00906e-12; avg_err: 2.90807e-12; sd: 5.26675e-11; counts: 329
sfh 0.069123 0 7.62655e-12 0 #avg: 1.61895e-11; avg_err: 3.30391e-12; sd: 5.98364e-11; counts: 329
sfh 0.071373 0 2.03685e-11 0 #avg: 2.51281e-11; avg_err: 4.23434e-12; sd: 7.66871e-11; counts: 329
sfh 0.073623 0 6.09699e-11 0 #avg: 3.95374e-11; avg_err: 6.01887e-12; sd: 1.09006e-10; counts: 329
sfh 0.075873 0 8.12644e-11 0 #avg: 5.33412e-11; avg_err: 7.89709e-12; sd: 1.43022e-10; counts: 329
sfh 0.078123 1.16433e-12 1.03447e-10 1.16433e-12 #avg: 6.64469e-11; avg_err: 9.62618e-12; sd: 1.74338e-10; counts: 329
sfh 0.080373 4.84004e-12 1.22525e-10 4.84004e-12 #avg: 8.56177e-11; avg_err: 1.17714e-11; sd: 2.13189e-10; counts: 329
sfh 0.082623 1.23417e-11 1.23101e-10 1.23417e-11 #avg: 9.04926e-11; avg_err: 1.28054e-11; sd: 2.31916e-10; counts: 329
sfh 0.085998 2.63499e-11 1.58082e-10 2.63499e-11 #avg: 1.16534e-10; avg_err: 1.29872e-11; sd: 2.35209e-10; counts: 329
sfh 0.089373 4.32536e-11 1.96565e-10 4.20375e-11 #avg: 1.47675e-10; avg_err: 1.60046e-11; sd: 2.89856e-10; counts: 329
sfh 0.092748 5.90939e-11 2.30376e-10 5.30529e-11 #avg: 1.98915e-10; avg_err: 2.41694e-11; sd: 4.37726e-10; counts: 329
sfh 0.096123 8.51801e-11 2.67256e-10 7.32441e-11 #avg: 2.42654e-10; avg_err: 2.7666e-11; sd: 5.01053e-10; counts: 329
sfh 0.099498 1.10878e-10 3.35659e-10 8.99622e-11 #avg: 2.76592e-10; avg_err: 2.76775e-11; sd: 5.0126e-10; counts: 329
sfh 0.102873 1.34941e-10 4.0382e-10 1.05629e-10 #avg: 3.07088e-10; avg_err: 2.5068e-11; sd: 4.54e-10; counts: 329
