#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#obs_sm range: 9.25 - 9.75
#HM    Stats: 2.830880e+11 (median) + 1.225000e+11  / - 8.147000e+10
#SM    Stats: 2.882240e+09 (median) + 1.555540e+09  / - 9.020401e+08
#ObsSM Stats: 2.936220e+09 (median) + 1.545860e+09  / - 8.765100e+08
#VMP   Stats: 1.067300e+02 (median) + 9.309998e+00  / - 7.750000e+00
#ICL   Stats: 9.618780e+06 (median) + 2.364822e+07  / - 7.401840e+06
#SSFR  Stats: 9.682279e-11 (median) + 1.132238e-10  / - 5.309374e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 128436
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 128436
sfh 0.062373 0 0 0 #avg: 1.19193e-16; avg_err: 9.88061e-17; sd: 3.541e-14; counts: 128436
sfh 0.064623 0 0 0 #avg: 7.42329e-16; avg_err: 3.34631e-16; sd: 1.19925e-13; counts: 128436
sfh 0.066873 0 0 0 #avg: 3.79334e-15; avg_err: 1.78816e-15; sd: 6.40837e-13; counts: 128436
sfh 0.069123 0 0 0 #avg: 1.3316e-14; avg_err: 6.43742e-15; sd: 2.30703e-12; counts: 128436
sfh 0.071373 0 0 0 #avg: 2.43559e-14; avg_err: 1.03802e-14; sd: 3.72005e-12; counts: 128436
sfh 0.073623 0 0 0 #avg: 4.72115e-14; avg_err: 1.95262e-14; sd: 6.99775e-12; counts: 128436
sfh 0.075873 0 0 0 #avg: 7.0516e-14; avg_err: 1.29325e-14; sd: 4.63473e-12; counts: 128436
sfh 0.078123 0 0 0 #avg: 1.11609e-13; avg_err: 9.10849e-15; sd: 3.26429e-12; counts: 128436
sfh 0.080373 0 0 0 #avg: 1.96896e-13; avg_err: 1.40751e-14; sd: 5.04423e-12; counts: 128436
sfh 0.082623 0 0 0 #avg: 3.05328e-13; avg_err: 1.64875e-14; sd: 5.90878e-12; counts: 128436
sfh 0.085998 0 0 0 #avg: 5.78884e-13; avg_err: 2.59723e-14; sd: 9.30791e-12; counts: 128436
sfh 0.089373 0 0 0 #avg: 9.74775e-13; avg_err: 2.70624e-14; sd: 9.69856e-12; counts: 128436
sfh 0.092748 0 0 0 #avg: 1.53299e-12; avg_err: 3.2332e-14; sd: 1.15871e-11; counts: 128436
sfh 0.096123 0 0 0 #avg: 2.26662e-12; avg_err: 4.09009e-14; sd: 1.4658e-11; counts: 128436
sfh 0.099498 0 1.47105e-12 0 #avg: 3.13515e-12; avg_err: 4.30088e-14; sd: 1.54134e-11; counts: 128436
sfh 0.102873 0 4.16665e-12 0 #avg: 4.21122e-12; avg_err: 4.93065e-14; sd: 1.76704e-11; counts: 128436
sfh 0.106248 0 7.28883e-12 0 #avg: 5.42801e-12; avg_err: 5.56283e-14; sd: 1.9936e-11; counts: 128436
sfh 0.109623 0 1.04123e-11 0 #avg: 6.6407e-12; avg_err: 5.85128e-14; sd: 2.09697e-11; counts: 128436
sfh 0.112998 1.49228e-13 1.30889e-11 1.49228e-13 #avg: 7.82697e-12; avg_err: 6.17773e-14; sd: 2.21396e-11; counts: 128436
sfh 0.116373 9.85917e-13 1.42491e-11 9.85917e-13 #avg: 8.82078e-12; avg_err: 6.32802e-14; sd: 2.26783e-11; counts: 128436
sfh 0.119748 1.98894e-12 1.51535e-11 1.98894e-12 #avg: 9.86284e-12; avg_err: 6.78948e-14; sd: 2.4332e-11; counts: 128436
sfh 0.123123 2.93427e-12 1.59771e-11 2.93427e-12 #avg: 1.08833e-11; avg_err: 7.10604e-14; sd: 2.54665e-11; counts: 128436
sfh 0.126498 3.85779e-12 1.71259e-11 3.85779e-12 #avg: 1.20546e-11; avg_err: 7.36202e-14; sd: 2.63839e-11; counts: 128436
sfh 0.129873 4.82982e-12 1.81779e-11 4.82908e-12 #avg: 1.32004e-11; avg_err: 7.63445e-14; sd: 2.73602e-11; counts: 128436
sfh 0.133248 5.79936e-12 1.9086e-11 5.57673e-12 #avg: 1.43475e-11; avg_err: 7.98594e-14; sd: 2.86199e-11; counts: 128436
sfh 0.136623 6.7806e-12 1.99853e-11 6.22416e-12 #avg: 1.54442e-11; avg_err: 8.10182e-14; sd: 2.90352e-11; counts: 128436
sfh 0.141685 8.13053e-12 2.12117e-11 7.03089e-12 #avg: 1.69826e-11; avg_err: 8.10652e-14; sd: 2.9052e-11; counts: 128436
sfh 0.146748 9.42993e-12 2.20213e-11 7.73071e-12 #avg: 1.84767e-11; avg_err: 8.53889e-14; sd: 3.06015e-11; counts: 128436
sfh 0.15181 1.06104e-11 2.28564e-11 8.29343e-12 #avg: 1.97393e-11; avg_err: 8.58638e-14; sd: 3.07717e-11; counts: 128436
sfh 0.156873 1.15183e-11 2.33787e-11 8.57558e-12 #avg: 2.08414e-11; avg_err: 8.91396e-14; sd: 3.19457e-11; counts: 128436
sfh 0.161935 1.22909e-11 2.36447e-11 8.78985e-12 #avg: 2.16603e-11; avg_err: 9.05472e-14; sd: 3.24501e-11; counts: 128436
sfh 0.166998 1.30047e-11 2.39188e-11 8.99472e-12 #avg: 2.23184e-11; avg_err: 8.85375e-14; sd: 3.17299e-11; counts: 128436
sfh 0.17206 1.34569e-11 2.39674e-11 9.10989e-12 #avg: 2.26638e-11; avg_err: 8.85211e-14; sd: 3.1724e-11; counts: 128436
sfh 0.177123 1.3759e-11 2.41421e-11 9.11954e-12 #avg: 2.30477e-11; avg_err: 8.92171e-14; sd: 3.19735e-11; counts: 128436
sfh 0.182185 1.40675e-11 2.46216e-11 9.20226e-12 #avg: 2.34922e-11; avg_err: 8.84924e-14; sd: 3.17138e-11; counts: 128436
sfh 0.187248 1.43126e-11 2.47303e-11 9.26905e-12 #avg: 2.37122e-11; avg_err: 8.93842e-14; sd: 3.20334e-11; counts: 128436
sfh 0.19231 1.45137e-11 2.50161e-11 9.31581e-12 #avg: 2.39772e-11; avg_err: 8.85372e-14; sd: 3.17298e-11; counts: 128436
sfh 0.197373 1.47617e-11 2.50941e-11 9.39717e-12 #avg: 2.42882e-11; avg_err: 8.87264e-14; sd: 3.17976e-11; counts: 128436
sfh 0.202435 1.49801e-11 2.5365e-11 9.44203e-12 #avg: 2.4601e-11; avg_err: 9.25949e-14; sd: 3.3184e-11; counts: 128436
