#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
44.2839 0.010488 0.0109633 5.2195e-05 0 0 0 0.00150976 4.8995e-06 0 0 0 4342108
62.095 0.0351995 0.0377941 0.000191657 0 0 0 0.00481799 1.74388e-05 0 0 0 1137744
78.3515 0.0945932 0.10537 0.000476497 0 0 0 0.012591 4.4974e-05 0 0.0216994 0 516834
98.7387 0.23332 0.27842 0.00108301 0 1 0 0.0330294 0.000109563 0.00811152 0.0655627 0.00811152 257025
124.113 0.464968 0.624373 0.00219371 0 1 0 0.0784549 0.000245924 0.048615 0.114001 0.048615 127355
156.536 0.708254 1.122 0.0038118 1 1 1 0.156579 0.000477312 0.134428 0.147852 0.101912 63682
197.167 0.862344 1.61455 0.00569882 2 1 1 0.275652 0.000802119 0.266804 0.165271 0.148017 33729
248.101 0.900984 1.82049 0.00826358 2 1 1 0.420205 0.00120534 0.427078 0.158093 0.175191 17280
311.982 0.852365 1.64845 0.0119535 2 1 1 0.559425 0.00159921 0.575952 0.134607 0.168546 8582
392.806 0.734532 1.2622 0.0161957 1 1 1 0.667944 0.00196056 0.689359 0.103083 0.147545 4283
493.689 0.563861 0.838614 0.0204967 1 1 1 0.749109 0.00220194 0.766562 0.0754623 0.115159 2020
619.903 0.444809 0.582514 0.025139 0 1 0 0.794846 0.00281709 0.813132 0.0575763 0.0920799 915
780.421 0.356021 0.445026 0.0348087 0 1 0 0.832955 0.00345965 0.845172 0.0482006 0.072216 382
974.588 0.347222 0.430556 0.0545633 0 1 0 0.839317 0.00529197 0.852522 0.0459715 0.0753199 144
1214.48 0.275 0.35 0.0983844 0 1 0 0.861833 0.0127412 0.872764 0.0362534 0.0395083 40
1622.9 0.5 0.5 0.5 1 0 1 0.881438 0.0171494 0.898587 0 0.0342988 2
