#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
38.8489 7.58023e+08 1.0146e+08 6.84283e+08 4.99972e+08 3.14967e+08 1.18452e+09 1.93993e+08 9.3351e+08 1.3191e+09 3.21693e+08 14
67.72 2.55346e+09 2.55346e+09 2.55346e+09 0 0 7.73094e+08 7.73094e+08 7.73094e+08 0 0 1
81.2 5.57248e+08 5.57248e+08 5.57248e+08 0 0 7.73094e+08 7.73094e+08 7.73094e+08 0 0 1
105.004 5.76441e+08 5.32579e+07 5.60556e+08 3.03309e+08 2.39741e+08 7.51904e+08 6.53853e+07 6.92559e+08 3.20815e+08 2.42813e+08 16
127.769 5.3131e+08 3.09002e+07 4.68813e+08 3.04281e+08 1.47998e+08 9.08975e+08 6.3057e+07 8.53413e+08 6.47367e+08 4.03668e+08 50
160.852 7.29417e+08 3.38232e+07 6.33798e+08 4.59199e+08 2.38254e+08 9.4888e+08 4.69211e+07 7.73094e+08 7.14118e+08 3.00878e+08 119
199.891 8.619e+08 4.70043e+07 7.27576e+08 6.02766e+08 2.7783e+08 1.00941e+09 4.97972e+07 8.53413e+08 7.89499e+08 3.72233e+08 121
249.522 9.73108e+08 5.66468e+07 8.80596e+08 6.41501e+08 4.90635e+08 1.02497e+09 6.11875e+07 9.3351e+08 5.53702e+08 4.02633e+08 85
309.972 1.25773e+09 1.20508e+08 1.16426e+09 8.45843e+08 6.81766e+08 8.33968e+08 7.28451e+07 7.73094e+08 4.16333e+08 2.90596e+08 30
378.043 1.13414e+09 1.5807e+08 7.73094e+08 7.92119e+08 8.05348e+07 7.3156e+08 1.27469e+08 6.92559e+08 4.00439e+08 3.70866e+08 11
455.3 4.49746e+08 4.49746e+08 4.49746e+08 0 0 4.03668e+08 4.03668e+08 4.03668e+08 0 0 1
796.16 6.92559e+08 6.92559e+08 6.92559e+08 0 0 4.79814e+08 4.79814e+08 4.79814e+08 0 0 1
