#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.5979e+07 0 0 0 0 0 0 4.3065e-06 1.63375e-06 0 0 0 121819
1.56283e+08 0 0 0 0 0 0 1.03172e-05 4.04941e-06 0 0 0 36297
2.47353e+08 0 0 0 0 0 0 2.51176e-05 7.06209e-06 0 0 0 24634
3.9226e+08 0 0 0 0 0 0 4.6352e-05 1.25173e-05 0 0 0 16205
6.19955e+08 0 0 0 0 0 0 0.000160161 3.08889e-05 0 0 0 10304
9.82587e+08 0 0 0 0 0 0 0.000246918 5.91961e-05 0 0 0 6707
1.55416e+09 0 0 0 0 0 0 0.000575943 0.000114864 0 0 0 4210
2.45972e+09 0 0 0 0 0 0 0.000777759 0.000157334 0 0 0 2639
3.90476e+09 0 0 0 0 0 0 0.00133933 0.000263156 0 0 0 1572
6.18723e+09 0 0 0 0 0 0 0.00240087 0.000586009 0 0 0 934
9.75664e+09 0 0 0 0 0 0 0.00251003 0.000672464 0 0 0 567
1.56377e+10 0 0 0 0 0 0 0.00421456 0.00123273 0 0 0 323
2.46755e+10 0 0 0 0 0 0 0.00470405 0.00226177 0 0 0 150
3.95035e+10 0 0 0 0 0 0 0.00746887 0.0026817 0 0 0 88
6.20411e+10 0 0 0 0 0 0 0.00413213 0.00318403 0 0 0 44
9.0566e+10 0 0 0 0 0 0 0.00363668 0.00363668 0 0 0 26
1.58725e+11 0 0 0 0 0 0 0 0 0 0 0 3
2.15575e+11 0 0 0 0 0 0 0 0 0 0 0 6
3.82641e+11 0 0 0 0 0 0 0.0212798 0.0212798 0.0425596 0 0.0425596 2
