#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
38.8489 7.58023e+08 1.0146e+08 6.84283e+08 4.99972e+08 3.14967e+08 1.18452e+09 1.93993e+08 9.3351e+08 1.3191e+09 3.21693e+08 14
67.72 2.55346e+09 2.55346e+09 2.55346e+09 0 0 7.73094e+08 7.73094e+08 7.73094e+08 0 0 1
81.2 5.57248e+08 5.57248e+08 5.57248e+08 0 0 7.73094e+08 7.73094e+08 7.73094e+08 0 0 1
105.004 5.76441e+08 5.32579e+07 5.60556e+08 3.03309e+08 2.39741e+08 7.51904e+08 6.53853e+07 6.92559e+08 3.20815e+08 2.42813e+08 16
128.056 5.25757e+08 3.00085e+07 4.61374e+08 3.11719e+08 1.40559e+08 9.23374e+08 6.35466e+07 8.53413e+08 6.47367e+08 4.03668e+08 52
160.588 7.25814e+08 3.22456e+07 6.35825e+08 4.57173e+08 2.4028e+08 9.96279e+08 4.69797e+07 8.53413e+08 7.89499e+08 3.70916e+08 128
199.871 8.71901e+08 4.448e+07 7.27576e+08 6.79959e+08 2.7783e+08 1.08843e+09 5.05907e+07 9.3351e+08 8.49483e+08 4.49746e+08 137
249.212 1.03387e+09 5.16609e+07 9.3351e+08 7.68948e+08 4.80432e+08 1.07145e+09 5.79281e+07 9.40609e+08 6.24604e+08 4.09732e+08 110
310.507 1.3031e+09 1.11878e+08 1.17237e+09 1.05405e+09 6.41496e+08 8.67288e+08 8.30675e+07 7.73094e+08 3.99279e+08 3.23348e+08 38
381.742 1.32589e+09 1.46508e+08 1.40892e+09 6.66144e+08 7.1636e+08 8.24877e+08 1.07285e+08 7.73094e+08 4.78397e+08 3.96424e+08 19
501.355 1.29207e+09 4.63088e+08 8.53413e+08 2.12677e+09 4.03668e+08 9.74982e+08 3.26317e+08 6.33798e+08 1.52097e+09 2.3013e+08 5
796.16 6.92559e+08 6.92559e+08 6.92559e+08 0 0 4.79814e+08 4.79814e+08 4.79814e+08 0 0 1
