#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.62922e+09 8.09988e-06 8.09988e-06 1.14549e-06 0 0 0 2.97213e-05 7.13526e-07 0 0 0 6172930
1.56287e+10 5.96776e-06 5.96776e-06 1.79934e-06 0 0 0 1.65662e-05 9.02506e-07 0 0 0 1843239
2.46762e+10 1.65874e-06 1.65874e-06 1.1729e-06 0 0 0 5.84908e-06 6.38179e-07 0 0 0 1205736
3.90666e+10 0 0 0 0 0 0 4.28706e-06 5.04197e-07 0 0 0 779329
6.19358e+10 0 0 0 0 0 0 1.97288e-05 1.41473e-06 0 0 0 499577
9.8254e+10 9.52036e-06 9.52036e-06 5.49657e-06 0 0 0 8.06695e-05 3.78643e-06 0 0 0 315114
1.55691e+11 1.5183e-05 1.5183e-05 8.76588e-06 0 0 0 0.000308951 9.89986e-06 0 0 0 197589
2.46508e+11 0.000186146 0.000186146 3.88106e-05 0 0 0 0.00100786 2.35938e-05 0 0 0 123559
3.903e+11 0.000873085 0.000873085 0.000107423 0 0 0 0.00286578 5.4657e-05 0 0 0 75594
6.17369e+11 0.00260061 0.00260061 0.000241149 0 0 0 0.00720074 0.000118607 0 0 0 44605
9.7676e+11 0.00747549 0.00747549 0.000550546 0 0 0 0.0153717 0.000251214 0 0.0252446 0 24480
1.54141e+12 0.0157418 0.0157418 0.00110436 0 0 0 0.0285673 0.000487382 0 0.0713235 0 12705
2.43321e+12 0.0309508 0.0309508 0.00226486 0 0 0 0.0469194 0.000933069 0.0122474 0.10199 0.0122474 5848
3.8343e+12 0.0339728 0.0339728 0.00362246 0 0 0 0.0656843 0.00167573 0.0248367 0.128855 0.0248367 2502
6.10595e+12 0.0466744 0.0466744 0.0072098 0 0 0 0.093312 0.00329942 0.0683034 0.127368 0.0683034 857
9.62097e+12 0.0488506 0.0488506 0.0115716 0 0 0 0.119308 0.00569931 0.0938151 0.147799 0.0815031 348
1.51754e+13 0.0465116 0.0465116 0.0186137 0 0 0 0.143383 0.00925689 0.131979 0.117458 0.10799 129
2.44186e+13 0.027027 0.027027 0.027027 0 0 0 0.132204 0.0159823 0.128535 0.115747 0.116156 37
3.69027e+13 0 0 0 0 0 0 0.228314 0.0411376 0.245335 0.113879 0.198689 11
6.1221e+13 0 0 0 0 0 0 0.0384739 0.03036 0.0125161 0.116616 0.0125161 4
1.17074e+14 0 0 0 0 0 0 0.012312 0.012312 0.012312 0 0 1
