#For SF galaxies, QTime is the duration of the last period when they were quenched.
#sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.63475e+07 0.000294722 3.71261e-05 51606.9 12393 0 0 0 0.157927 8.087e-05 0.152176 0.0413866 0.0300323 0.221446 9.37673e-05 0.221198 0.0466312 0.0455748 0.299758 5.59498e-05 0.306915 0.0149103 0.0298114 213761
1.56779e+08 0.00076998 0.000105725 272687 48017.1 0 0 0 0.161024 0.000146571 0.155565 0.0429309 0.0318205 0.228272 0.00016021 0.229637 0.0427099 0.0457352 0.303796 8.83806e-05 0.31017 0.0128339 0.0254845 68833
2.48305e+08 0.00129255 0.000159 627283 88970.1 0 0 0 0.164634 0.000172758 0.159617 0.0432727 0.032879 0.233156 0.000180103 0.234795 0.040855 0.0444698 0.306271 9.32555e-05 0.312089 0.0116394 0.0231718 51062
3.94271e+08 0.00168182 0.000210053 1.22847e+06 143693 0 0 0 0.167916 0.000199125 0.16328 0.0426175 0.0330087 0.237116 0.000202514 0.239131 0.0389647 0.043515 0.308301 9.96612e-05 0.313604 0.0107173 0.0211536 38054
6.23682e+08 0.00398893 0.000377864 2.70823e+06 257724 0 0 0 0.171536 0.00023254 0.167109 0.0432797 0.0337554 0.24161 0.000229513 0.244398 0.036388 0.0427445 0.310216 0.0001071 0.315104 0.00979444 0.0196214 27827
9.8801e+08 0.00595593 0.000542091 5.64641e+06 436975 0 0 0 0.17548 0.000275076 0.171392 0.0428587 0.0341876 0.24565 0.000260752 0.248267 0.0352519 0.0410304 0.311563 0.00012002 0.316213 0.00932109 0.018355 20148
1.56149e+09 0.00953601 0.000819878 9.76533e+06 704923 0 0 0 0.179114 0.000324677 0.176022 0.0413822 0.0354827 0.249652 0.000301503 0.252364 0.0337225 0.039644 0.312892 0.000138738 0.317401 0.0087302 0.0174447 14052
2.47592e+09 0.0126997 0.00113326 1.417e+07 1.03646e+06 0 0 0 0.184614 0.000399388 0.181196 0.0430089 0.0355317 0.254831 0.000356744 0.257801 0.0326127 0.0392078 0.314518 0.000159005 0.319191 0.00770131 0.0171882 9764
3.91625e+09 0.0214755 0.00175228 2.34262e+07 1.59251e+06 0 0 0 0.189685 0.000482722 0.18621 0.0436258 0.0371888 0.259557 0.000413505 0.263267 0.0302223 0.0387648 0.316137 0.000183463 0.320812 0.00689593 0.0162043 6845
6.20613e+09 0.0315028 0.00254867 3.64395e+07 2.46205e+06 0 0 0 0.195183 0.000572954 0.192447 0.0426104 0.0370086 0.265373 0.000479023 0.269155 0.0294351 0.0370235 0.317617 0.000217744 0.322359 0.00625491 0.0155238 4698
9.88712e+09 0.031746 0.0031243 5.276e+07 3.57732e+06 0 0 0 0.202494 0.000713636 0.199484 0.0437067 0.0375093 0.272121 0.000568254 0.276967 0.0266858 0.0377324 0.319617 0.000252446 0.324208 0.00517154 0.0134474 3150
1.56318e+10 0.0497696 0.00466946 7.62065e+07 5.24331e+06 0 0 0 0.207774 0.000849952 0.206647 0.0423303 0.0399832 0.275748 0.000663106 0.281069 0.0258543 0.0380635 0.319969 0.000326972 0.325083 0.0044637 0.0130188 2170
2.48279e+10 0.0638978 0.00618424 1.15706e+08 7.89908e+06 0 0 0 0.211348 0.00100355 0.209051 0.0435904 0.0379984 0.278822 0.000767378 0.284252 0.0241437 0.0354173 0.319535 0.000426982 0.325188 0.00462833 0.0137363 1565
3.94539e+10 0.086324 0.00875071 1.09225e+08 8.93854e+06 0 0 0 0.220107 0.00124995 0.216724 0.045054 0.0365009 0.281691 0.000910435 0.286658 0.022456 0.0333475 0.318288 0.000574632 0.324451 0.00490543 0.0161285 1031
6.14825e+10 0.103011 0.0121106 1.19389e+08 1.1576e+07 0 3.35975e+08 0 0.219291 0.00153604 0.216046 0.0454365 0.0362136 0.278622 0.00115872 0.284256 0.02282 0.0368218 0.315213 0.000788163 0.323067 0.00554207 0.0227736 631
9.66146e+10 0.0839161 0.0164236 1.06515e+08 1.61889e+07 0 0 0 0.221018 0.00233493 0.220372 0.0420575 0.0391203 0.273332 0.00191747 0.280934 0.0206522 0.0400692 0.311567 0.00128663 0.32026 0.00673169 0.0237505 286
1.48587e+11 0.191489 0.0408013 5.0745e+07 1.90993e+07 0 0 0 0.229606 0.00366801 0.230703 0.0376041 0.0454327 0.273155 0.00256505 0.277398 0.0215311 0.0342795 0.30901 0.00180473 0.314001 0.00921682 0.0208151 94
2.34442e+11 0.222222 0.146986 0 0 0 0 0 0.232617 0.0098466 0.21981 0.0540622 0.0140581 0.276555 0.00849041 0.280983 0.0147951 0.0251626 0.306108 0.00653825 0.311176 0.0107934 0.0265405 9
