#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
44.6148 0.000183407 4.99309e-06 23327.6 1434.01 0 0 0 0.232347 1.65136e-05 0.232276 0.050317 0.0488208 0.269692 1.50803e-05 0.276671 0.0362908 0.0533958 0.314064 7.14473e-06 0.320281 0.00999501 0.0231315 7355246
62.4124 1.31206e-05 2.21777e-06 4854.18 1129.26 0 0 0 0.201693 2.81478e-05 0.194785 0.0576207 0.0388568 0.25109 2.65735e-05 0.252855 0.046533 0.0489495 0.312003 1.08031e-05 0.316447 0.0113564 0.0201906 2667569
78.0869 5.56468e-05 6.90195e-06 0 0 0 0 0 0.178639 3.65829e-05 0.172844 0.044344 0.0320157 0.245746 3.63073e-05 0.247017 0.0399784 0.0423888 0.313026 1.35438e-05 0.316298 0.010102 0.0167265 1168081
98.5801 0.000645819 3.54325e-05 13362.7 3841.88 0 0 0 0.174244 5.16343e-05 0.169568 0.0408541 0.0310773 0.255149 4.94396e-05 0.256901 0.0357152 0.0386645 0.316714 1.63964e-05 0.319344 0.00819731 0.0134752 514076
124.139 0.00538263 0.000147978 299011 25276.6 0 0 0 0.183652 7.73716e-05 0.179308 0.0432115 0.0331928 0.266529 6.45304e-05 0.269025 0.030982 0.0354888 0.319734 1.99565e-05 0.322027 0.00673467 0.0112515 244490
156.237 0.0290181 0.000492782 3.05933e+06 122801 0 0 0 0.19697 0.00011492 0.193489 0.0444491 0.0360418 0.275976 8.43909e-05 0.278764 0.027271 0.0322293 0.321679 2.76715e-05 0.324167 0.00554305 0.0104151 116031
196.474 0.110069 0.00135171 2.20816e+07 504170 0 0 0 0.211608 0.000172507 0.209545 0.0446874 0.0392216 0.284689 0.000118408 0.28882 0.0239531 0.0322836 0.322741 4.90547e-05 0.326507 0.0042935 0.0112509 53612
247.104 0.282827 0.00292271 8.89771e+07 1.528e+06 0 0 0 0.221084 0.000256972 0.220369 0.0429309 0.0406546 0.286247 0.000183395 0.291418 0.0230322 0.0341918 0.319043 0.000107725 0.325908 0.00497428 0.0213749 23746
311.001 0.527903 0.00500625 2.14852e+08 3.47812e+06 0 6.06006e+08 0 0.208939 0.000383048 0.207492 0.0422926 0.0383848 0.269087 0.000326402 0.2726 0.0310559 0.0380096 0.305126 0.000251634 0.312946 0.0152249 0.0338171 9945
390.192 0.753767 0.00706825 3.60522e+08 6.76118e+06 3.12754e+08 4.98035e+08 3.12754e+08 0.187546 0.000542136 0.18459 0.036826 0.0300397 0.242211 0.000542518 0.242053 0.0357129 0.0342744 0.283232 0.000504169 0.285779 0.0312732 0.0350118 3716
490.808 0.882764 0.00896734 4.27705e+08 1.19659e+07 4.66944e+08 4.1105e+08 4.66944e+08 0.169886 0.000790908 0.167677 0.03086 0.0257286 0.219291 0.000867839 0.217444 0.0336765 0.0298822 0.261181 0.000905991 0.261287 0.0355516 0.0342318 1288
617.169 0.949405 0.0119745 4.72657e+08 2.39666e+07 4.66944e+08 4.7771e+08 4.66944e+08 0.15716 0.00139777 0.15709 0.0256277 0.0248435 0.19813 0.00156577 0.197634 0.0285628 0.0292061 0.245167 0.001631 0.245845 0.0319972 0.0305461 336
766.088 0.985507 0.0144928 4.00208e+08 4.91467e+07 3.60165e+08 4.50623e+08 3.60165e+08 0.142369 0.00272083 0.137447 0.0237512 0.016628 0.181442 0.00258482 0.180259 0.0223178 0.0237 0.232228 0.00367729 0.232942 0.0313224 0.0351097 69
973.363 1 0 3.88888e+08 1.33299e+08 4.66944e+08 3.43845e+08 4.66944e+08 0.152656 0.0073438 0.150464 0.0219449 0.00945511 0.183383 0.00913761 0.188877 0.0261164 0.0316719 0.232497 0.00760196 0.231764 0.0239988 0.0262472 9
