#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
49.2006 0.0967974 0.101961 0.0025807 0 0 0 0.0489073 0.000426381 0.0322014 0.0553472 0.019443 15300
63.5628 0.167356 0.184144 0.00274165 0 1 0 0.0665925 0.000408305 0.0481327 0.0726422 0.0350761 24660
80.542 0.287148 0.33778 0.00294879 0 1 0 0.103972 0.000448264 0.0821165 0.102281 0.0594458 38454
99.6285 0.434388 0.553259 0.00349131 0 1 0 0.15306 0.000537357 0.132059 0.129283 0.0856709 42340
125.059 0.582644 0.821283 0.00479512 1 1 1 0.218466 0.000742676 0.20284 0.14766 0.119884 31424
156.951 0.711916 1.12169 0.00662661 1 1 1 0.307751 0.00101779 0.302305 0.157978 0.149951 20553
197.218 0.786054 1.33695 0.00925177 1 1 1 0.418625 0.00138627 0.426188 0.147895 0.168384 11975
248.013 0.781062 1.34603 0.012872 1 1 1 0.529865 0.001869 0.545802 0.137471 0.169592 6326
312.161 0.704842 1.13532 0.0174468 1 1 1 0.638852 0.00227128 0.658102 0.104683 0.144593 3222
392.629 0.576975 0.837193 0.0233691 1 1 1 0.722564 0.00294442 0.744203 0.0839522 0.121127 1468
491.888 0.39644 0.540453 0.0308751 0 1 0 0.776154 0.00419239 0.792765 0.0672403 0.0882065 618
617.256 0.327801 0.452282 0.0477178 0 1 0 0.80116 0.00615724 0.826298 0.0503754 0.106708 241
772.345 0.226667 0.253333 0.057244 0 1 0 0.841838 0.00911706 0.859841 0.0487297 0.0697838 75
957.919 0 0 0 0 0 0 0.860432 0.0133803 0.858532 0.0476757 0.0622652 11
1234.8 0 0 0 0 0 0 0.916043 0.916043 0.916043 0 0 1
