#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
50.055 0.0120788 0.0146217 0.00352145 0 0 0 0.0354676 0.00119833 0.0188992 0.0427857 0.0131292 1573
63.9161 0.0257561 0.0262287 0.00250199 0 0 0 0.041236 0.000767784 0.0272846 0.0472936 0.0217268 4232
81.6272 0.0599248 0.061237 0.00229327 0 0 0 0.0618565 0.000599468 0.0462427 0.066625 0.0395485 11431
100.415 0.127478 0.134555 0.0025189 0 0 0 0.0908621 0.000554263 0.0685648 0.0964216 0.0523308 20631
125.679 0.2387 0.263503 0.00339512 0 1 0 0.138741 0.000709098 0.118356 0.121318 0.0814823 21328
157.533 0.387057 0.451596 0.00472421 0 1 0 0.210846 0.000962229 0.196878 0.145624 0.119474 17199
197.563 0.506189 0.627385 0.00654513 1 0 1 0.309719 0.00133946 0.308037 0.155654 0.153688 11634
248.095 0.561169 0.711488 0.00912399 1 0 1 0.420682 0.00186883 0.428836 0.147834 0.167955 6433
311.853 0.495104 0.624235 0.0126132 0 1 0 0.531787 0.00254228 0.549468 0.127923 0.164728 3268
392.272 0.391506 0.472462 0.0167876 0 1 0 0.632747 0.00334996 0.656045 0.0936285 0.142949 1507
491.596 0.274583 0.328386 0.0252496 0 1 0 0.687779 0.00487633 0.709838 0.0784224 0.129346 539
616.874 0.174419 0.186047 0.0319621 0 1 0 0.733793 0.00863506 0.754935 0.0768032 0.106146 172
779.947 0.162791 0.186047 0.0686511 0 1 0 0.770827 0.0139058 0.777981 0.0877605 0.0783676 43
946.404 0 0 0 0 0 0 0.788877 0.0218322 0.769975 0.0775198 0.0359818 5
1213.52 0 0 0 0 0 0 0.817156 0.817156 0.817156 0 0 1
