#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 8.605880e+12 (median) + 4.672020e+12  / - 2.289700e+12
#SM    Stats: 9.795750e+10 (median) + 5.804349e+10  / - 4.077380e+10
#ObsSM Stats: 9.855060e+10 (median) + 6.267140e+10  / - 4.231680e+10
#VMP   Stats: 3.114000e+02 (median) + 4.777002e+01  / - 3.501999e+01
#ICL   Stats: 3.657500e+09 (median) + 1.120920e+10  / - 2.553800e+09
#SSFR  Stats: 2.359529e-12 (median) + 2.664509e-11  / - 1.743657e-12
sfh 0.055623 0 0 0 #avg: 1.06107e-06; avg_err: 1.04967e-06; sd: 0.000137029; counts: 17043
sfh 0.060123 0 0 0 #avg: 0.000271795; avg_err: 3.68462e-05; sd: 0.00481008; counts: 17043
sfh 0.062373 0 0 0 #avg: 0.00202149; avg_err: 0.00019042; sd: 0.0248584; counts: 17043
sfh 0.064623 0 0 0 #avg: 0.00700917; avg_err: 0.00044005; sd: 0.0574463; counts: 17043
sfh 0.066873 0 0 0 #avg: 0.0180784; avg_err: 0.000920128; sd: 0.120118; counts: 17043
sfh 0.069123 0 0 0 #avg: 0.0382717; avg_err: 0.00173378; sd: 0.226337; counts: 17043
sfh 0.071373 0 0.0279263 0 #avg: 0.0653758; avg_err: 0.00234759; sd: 0.306466; counts: 17043
sfh 0.073623 0 0.0818739 0 #avg: 0.0987268; avg_err: 0.00317907; sd: 0.415012; counts: 17043
sfh 0.075873 0 0.159985 0 #avg: 0.143533; avg_err: 0.00422557; sd: 0.551628; counts: 17043
sfh 0.078123 0.00565284 0.257034 0.00565284 #avg: 0.191488; avg_err: 0.0051538; sd: 0.672803; counts: 17043
sfh 0.080373 0.0256099 0.353744 0.0256099 #avg: 0.244415; avg_err: 0.00652376; sd: 0.851645; counts: 17043
sfh 0.082623 0.0561693 0.410394 0.0561693 #avg: 0.2835; avg_err: 0.00610885; sd: 0.79748; counts: 17043
