#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.1659 0.00109039 0.00114 3.61791e-05 0 0 0 0.00030646 5.35425e-06 0 0 0 947368
62.4362 0.00352199 0.00356596 8.94716e-05 0 0 0 0.0012734 1.43536e-05 0 0 0 454856
79.3844 0.0234304 0.0240131 0.00029218 0 0 0 0.0069917 4.75639e-05 0 0 0 288343
98.5957 0.0857821 0.0906028 0.000716392 0 0 0 0.0248921 0.000121376 0 0.0546457 0 179851
124.095 0.218316 0.240674 0.00165192 0 1 0 0.0676829 0.000306539 0.0308166 0.120636 0.0308166 84089
156.176 0.403304 0.478122 0.00324629 0 1 0 0.146599 0.000644868 0.120045 0.161448 0.10929 38921
196.48 0.546789 0.692055 0.0053952 1 0 1 0.261918 0.00114987 0.254521 0.174152 0.165476 18263
247.338 0.599776 0.785012 0.00851282 1 1 1 0.393934 0.00179885 0.401698 0.160944 0.179153 8033
311.479 0.522037 0.675609 0.0124221 1 0 1 0.518859 0.00253949 0.538824 0.133024 0.17595 3653
391.972 0.405016 0.502194 0.0171839 0 1 0 0.624804 0.00345043 0.650532 0.0975763 0.152302 1595
491.434 0.282648 0.34347 0.025577 0 1 0 0.685319 0.00491282 0.70852 0.0796446 0.129026 559
616.846 0.176136 0.1875 0.0316292 0 1 0 0.732004 0.00854473 0.750804 0.0809338 0.109089 176
779.947 0.162791 0.186047 0.0686511 0 1 0 0.770827 0.0139058 0.777981 0.0877605 0.0783676 43
946.404 0 0 0 0 0 0 0.788877 0.0218322 0.769975 0.0775198 0.0359818 5
1213.52 0 0 0 0 0 0 0.817156 0.817156 0.817156 0 0 1
